Date,Open,High,Low,Close,Volume
09/21/2023,"..27.91","..28.00","..27.05","..27.87","2,547,088"
09/20/2023,"..26.18","..29.90","..26.00","..27.91","6,606,056"
09/19/2023,"..25.50","..26.25","..25.45","..26.18","504,756"
09/18/2023,"..25.90","..26.15","..25.42","..25.50","499,096"
09/14/2023,"..25.35","..25.72","..25.30","..25.40","769,446"
09/13/2023,"..25.02","..25.50","..25.01","..25.35","731,419"
09/12/2023,"..25.05","..25.30","..24.96","..25.02","657,898"
09/11/2023,"..25.48","..25.66","..25.05","..25.05","509,432"
09/07/2023,"..25.97","..26.20","..25.65","..25.75","513,958"
09/06/2023,"..25.75","..26.59","..25.70","..25.97","1,172,324"
09/05/2023,"..25.25","..26.00","..25.22","..25.75","1,584,124"
09/04/2023,"..24.98","..25.40","..24.85","..25.25","795,603"
08/31/2023,"..25.40","..25.55","..25.10","..25.12","842,942"
08/30/2023,"..25.39","..25.64","..25.21","..25.40","656,590"
08/29/2023,"..25.79","..26.00","..25.17","..25.39","829,040"
08/28/2023,"..25.68","..26.19","..25.73","..25.79","1,218,942"
08/24/2023,"..25.10","..25.44","..24.82","..25.28","2,280,870"
08/23/2023,"..24.73","..25.35","..24.80","..25.10","3,641,101"
08/22/2023,"..24.45","..24.86","..24.20","..24.73","1,359,566"
08/21/2023,"..24.31","..24.69","..24.10","..24.45","956,207"
08/17/2023,"..24.50","..24.65","..23.95","..24.40","1,695,319"
08/16/2023,"..23.95","..24.50","..23.80","..24.50","3,231,965"
08/15/2023,"..23.01","..23.99","..23.02","..23.95","3,039,743"
08/14/2023,"..23.20","..23.64","..23.00","..23.01","1,262,754"
08/10/2023,"..22.90","..23.26","..22.68","..22.70","1,347,492"
08/09/2023,"..23.40","..23.50","..22.87","..22.90","945,883"
08/08/2023,"..23.51","..23.65","..23.20","..23.40","880,237"
08/07/2023,"..23.50","..23.68","..23.22","..23.51","1,599,725"
08/03/2023,"..22.20","..23.00","..22.33","..22.87","958,497"
08/02/2023,"..22.50","..22.66","..22.02","..22.20","510,587"
08/01/2023,"..22.70","..22.88","..22.50","..22.50","379,384"
07/31/2023,"..22.60","..23.10","..22.60","..22.70","488,621"
07/27/2023,"..22.35","..22.60","..22.20","..22.21","490,184"
07/26/2023,"..22.67","..22.73","..22.35","..22.35","552,737"
07/25/2023,"..22.80","..23.10","..22.65","..22.67","978,889"
07/24/2023,"..23.21","..23.38","..22.75","..22.80","687,331"
07/19/2023,"..23.33","..23.50","..23.05","..23.21","775,751"
07/18/2023,"..23.45","..23.70","..23.32","..23.33","899,901"
07/17/2023,"..23.20","..23.76","..23.30","..23.45","1,213,375"
07/13/2023,"..22.95","..23.39","..22.90","..23.30","1,219,563"
07/12/2023,"..23.01","..23.40","..22.81","..22.95","1,203,678"
07/11/2023,"..23.10","..23.30","..22.73","..23.01","1,553,091"
07/10/2023,"..21.80","..23.15","..21.60","..23.10","1,692,420"
07/06/2023,"..23.81","..23.97","..23.12","..23.22","1,216,606"
07/05/2023,"..22.90","..24.99","..23.12","..23.81","5,046,807"
07/04/2023,"..22.17","..22.90","..22.15","..22.90","1,380,508"
06/26/2023,"..21.83","..22.30","..21.80","..22.17","795,182"
06/22/2023,"..21.62","..21.99","..21.13","..21.99","1,125,642"
06/21/2023,"..22.00","..22.20","..21.13","..21.62","1,775,296"
06/20/2023,"..22.31","..22.45","..21.95","..22.00","1,465,569"
06/19/2023,"..22.68","..22.77","..22.10","..22.31","1,251,957"
06/15/2023,"..22.36","..22.50","..22.12","..22.30","778,163"
06/14/2023,"..22.48","..22.81","..22.20","..22.36","1,204,201"
06/13/2023,"..22.80","..23.14","..22.26","..22.48","2,641,765"
06/12/2023,"..22.70","..23.15","..22.43","..22.80","1,857,961"
06/08/2023,"..20.33","..22.10","..20.40","..22.06","4,814,535"
06/07/2023,"..20.20","..20.74","..20.10","..20.33","3,135,693"
06/06/2023,"..19.70","..20.78","..19.53","..20.20","2,661,526"
06/05/2023,"..20.13","..20.35","..19.61","..19.70","1,272,935"
06/01/2023,"..20.81","..21.05","..20.62","..20.69","859,116"
05/31/2023,"..20.93","..21.28","..20.81","..20.81","2,376,380"
05/30/2023,"..20.15","..21.11","..20.27","..20.93","3,710,998"
05/29/2023,"..19.55","..20.19","..19.40","..20.15","2,058,048"
05/25/2023,"..19.95","..20.16","..19.73","..19.78","1,717,148"
05/24/2023,"..19.26","..20.00","..19.15","..19.95","2,216,798"
05/23/2023,"..19.60","..19.72","..18.90","..19.26","2,686,248"
05/22/2023,"..19.91","..20.15","..19.53","..19.60","2,903,006"
05/18/2023,"..20.60","..20.80","..19.50","..20.30","4,823,015"
05/17/2023,"..22.09","..22.19","..20.45","..20.60","3,283,756"
05/16/2023,"..22.45","..22.54","..21.70","..22.09","2,073,821"
05/15/2023,"..23.28","..22.99","..22.40","..22.45","2,677,096"
05/11/2023,"..23.67","..23.80","..23.31","..23.41","1,709,933"
05/10/2023,"..23.11","..23.67","..22.86","..23.67","2,460,577"
05/09/2023,"..23.77","..24.17","..23.10","..23.11","3,861,980"
05/08/2023,"..22.60","..23.80","..22.63","..23.77","3,202,722"
05/03/2023,"..21.99","..22.45","..21.91","..22.40","2,909,467"
05/02/2023,"..22.16","..22.35","..21.77","..21.99","2,203,800"
05/01/2023,"..22.50","..22.86","..21.80","..22.16","3,891,620"
04/27/2023,"..22.99","..23.55","..23.00","..23.41","2,599,696"
04/26/2023,"..22.50","..22.99","..22.15","..22.99","2,277,771"
04/19/2023,"..22.17","..22.54","..22.12","..22.50","1,881,038"
04/18/2023,"..21.61","..22.42","..21.45","..22.17","3,882,162"
04/13/2023,"..20.85","..21.69","..20.78","..21.61","4,632,572"
04/12/2023,"..20.97","..21.15","..20.70","..20.85","2,418,657"
04/11/2023,"..20.56","..21.07","..20.45","..20.97","2,196,172"
04/10/2023,"..20.90","..21.10","..20.56","..20.56","2,790,892"
04/06/2023,"..20.40","..20.94","..20.30","..20.56","2,056,210"
04/05/2023,"..20.50","..20.76","..20.20","..20.40","2,364,701"
04/04/2023,"..21.10","..21.29","..20.50","..20.50","3,227,645"
04/03/2023,"..20.96","..21.73","..21.00","..21.10","4,656,919"
03/30/2023,"..21.50","..21.70","..20.36","..20.60","4,858,333"
03/29/2023,"..20.75","..21.70","..20.75","..21.50","5,146,668"
03/28/2023,"..19.31","..21.21","..18.61","..20.75","7,464,850"
03/27/2023,"..19.89","..19.99","..18.93","..19.31","4,278,749"
03/23/2023,"..16.16","..17.28","..16.00","..17.28","3,757,076"
03/22/2023,"..16.37","..16.88","..16.00","..16.16","5,530,316"
03/21/2023,"..14.95","..16.40","..15.06","..16.37","4,170,021"
03/20/2023,"..14.56","..15.15","..14.42","..14.95","2,102,224"
03/16/2023,"..13.50","..14.60","..13.41","..14.55","4,853,914"
03/15/2023,"..15.56","..15.95","..13.28","..13.50","3,143,232"
03/14/2023,"..15.30","..15.90","..14.72","..15.56","2,941,741"
03/13/2023,"..16.40","..16.73","..14.75","..15.30","3,328,673"
03/09/2023,"..16.63","..16.88","..16.60","..16.86","1,095,771"
03/08/2023,"..16.82","..16.87","..16.50","..16.63","1,850,795"
03/07/2023,"..17.11","..17.30","..16.71","..16.82","1,857,573"
03/06/2023,"..17.08","..17.43","..17.03","..17.11","3,531,664"
03/02/2023,"..16.81","..17.13","..16.76","..16.77","3,306,220"
03/01/2023,"..16.64","..16.85","..16.49","..16.81","2,948,906"
