Date,Open,High,Low,Close,Volume
09/21/2023,"..28.78","..32.80","..28.00","..30.48","89,578"
09/20/2023,"..24.86","..29.79","..25.59","..28.78","110,838"
09/19/2023,"..23.18","..25.63","..22.70","..24.86","62,435"
09/18/2023,"..23.20","..23.34","..22.50","..23.18","17,470"
09/14/2023,"..24.61","..25.00","..23.10","..23.20","27,871"
09/13/2023,"..23.03","..24.85","..23.35","..24.61","51,081"
09/12/2023,"..21.48","..23.39","..21.44","..23.03","123,947"
09/11/2023,"..21.11","..22.00","..20.50","..21.48","24,842"
09/07/2023,"..21.11","..21.19","..20.42","..21.11","4,010"
09/06/2023,"..21.11","..21.19","..20.57","..21.11","1,867"
09/05/2023,"..21.11","..20.80","..20.64","..21.11","5,306"
09/04/2023,"..21.11","..21.00","..20.18","..21.11","2,140"
08/31/2023,"..20.22","..21.90","..20.40","..21.11","59,400"
08/30/2023,"..20.47","..20.45","..20.15","..20.22","27,775"
08/29/2023,"..20.47","..20.26","..19.64","..20.47","7,719"
08/28/2023,"..20.47","..20.80","..20.10","..20.47","10,695"
08/24/2023,"..20.00","..20.18","..19.55","..20.00","7,057"
08/23/2023,"..20.00","..20.40","..19.81","..20.00","6,379"
08/22/2023,"..20.58","..20.31","..19.91","..20.00","32,334"
08/21/2023,"..20.58","..20.80","..20.00","..20.58","13,553"
08/17/2023,"..20.58","..20.65","..19.80","..20.58","11,019"
08/16/2023,"..20.21","..21.02","..19.62","..20.58","39,604"
08/15/2023,"..19.48","..20.70","..19.20","..20.21","43,149"
08/14/2023,"..19.22","..19.65","..19.20","..19.48","19,167"
08/10/2023,"..19.22","..19.50","..19.05","..19.22","10,797"
08/09/2023,"..19.22","..19.52","..19.15","..19.22","4,493"
08/08/2023,"..19.22","..19.60","..19.27","..19.22","9,893"
08/07/2023,"..19.22","..19.60","..19.23","..19.22","2,390"
08/03/2023,"..19.39","..19.39","..19.00","..19.39","6,614"
08/02/2023,"..19.39","..19.64","..19.01","..19.39","13,285"
08/01/2023,"..19.39","..19.50","..19.00","..19.39","14,338"
07/31/2023,"..19.39","..19.01","..18.60","..19.39","13,284"
07/27/2023,"..19.39","..19.47","..18.20","..19.39","11,857"
07/26/2023,"..19.39","..19.85","..19.05","..19.39","7,797"
07/25/2023,"..19.39","..20.00","..19.28","..19.39","8,038"
07/24/2023,"..20.12","..20.19","..19.06","..19.39","19,025"
07/19/2023,"..20.12","..20.70","..20.00","..20.12","8,702"
07/18/2023,"..19.36","..21.50","..19.85","..20.12","37,956"
07/17/2023,"..19.25","..20.00","..19.01","..19.36","37,560"
07/13/2023,"..19.05","..19.40","..18.71","..19.05","3,499"
07/12/2023,"..19.88","..20.00","..18.52","..19.05","18,593"
07/11/2023,"..21.30","..21.67","..18.00","..19.88","29,946"
07/10/2023,"..22.02","..23.40","..22.00","..23.17","45,002"
07/06/2023,"..22.63","..22.75","..22.40","..22.52","42,345"
07/05/2023,"..22.98","..23.00","..22.50","..22.63","34,753"
07/04/2023,"..22.67","..23.10","..22.60","..22.98","30,659"
06/26/2023,"..22.56","..23.00","..22.60","..22.67","25,645"
06/22/2023,"..22.09","..22.79","..22.02","..22.62","51,389"
06/21/2023,"..22.07","..22.80","..22.00","..22.09","23,145"
06/20/2023,"..22.29","..23.00","..21.99","..22.07","29,718"
06/19/2023,"..22.37","..22.89","..21.50","..22.29","15,659"
06/15/2023,"..22.36","..24.00","..22.03","..23.20","43,176"
06/14/2023,"..20.80","..23.20","..21.00","..22.36","19,147"
06/13/2023,"..18.92","..21.58","..18.00","..20.80","31,131"
06/12/2023,"..18.92","..18.74","..18.74","..18.92","100"
06/08/2023,"..18.92","..17.76","..17.76","..18.92","6"
06/07/2023,"..18.92","..18.79","..17.50","..18.92","1,320"
06/06/2023,"..18.92","..18.89","..17.26","..18.92","5,328"
06/05/2023,"..17.99","..19.36","..17.26","..18.92","21,352"
06/01/2023,"..17.62","..17.65","..16.70","..17.62","4,131"
05/31/2023,"..17.62","..17.85","..17.00","..17.62","6,940"
05/30/2023,"..17.62","..17.95","..16.63","..17.62","4,148"
05/29/2023,"..17.62","..17.61","..17.42","..17.62","1,306"
05/25/2023,"..17.62","..18.39","..17.62","..17.62","145"
05/24/2023,"..17.62","..18.00","..17.60","..17.62","13,020"
05/23/2023,"..17.62","..18.48","..17.90","..17.62","2,320"
05/22/2023,"..17.62","..18.00","..16.84","..17.62","9,676"
05/18/2023,"..17.62","..17.95","..14.11","..17.62","4,507"
05/17/2023,"..17.62","..17.60","..16.80","..17.62","256"
05/16/2023,"..17.62","..17.50","..16.71","..17.62","7,170"
05/15/2023,"..17.62","..17.65","..16.55","..17.62","9,975"
05/11/2023,"..17.62","..17.00","..16.50","..17.62","2,383"
05/10/2023,"..17.62","..17.50","..17.45","..17.62","528"
05/09/2023,"..17.62","..17.50","..17.00","..17.62","2,260"
05/08/2023,"..17.62","..17.50","..16.83","..17.62","2,005"
05/03/2023,"..17.62","..17.70","..16.91","..17.62","1,150"
05/02/2023,"..17.62","..16.88","..16.87","..17.62","800"
05/01/2023,"..17.62","..17.95","..16.87","..17.62","271"
04/27/2023,"..17.62","..17.95","..17.17","..17.62","2,500"
04/26/2023,"..17.62","..18.00","..18.00","..17.62","100"
04/19/2023,"..17.62","..17.70","..16.85","..17.62","1,803"
04/18/2023,"..17.06","..18.00","..16.83","..17.62","20,078"
04/13/2023,"..17.06","..17.20","..17.20","..17.06","50"
04/12/2023,"..17.06","..18.00","..16.58","..17.06","15,534"
04/11/2023,"..17.06","..17.50","..16.71","..17.06","8,316"
04/10/2023,"..17.06","..17.35","..16.80","..17.06","4,857"
04/06/2023,"..17.06","..16.87","..16.62","..17.06","7,533"
04/05/2023,"..17.06","..17.39","..16.71","..17.06","5,031"
04/04/2023,"..16.77","..17.20","..16.59","..17.06","26,719"
04/03/2023,"..16.77","..17.10","..16.52","..16.77","16,269"
03/30/2023,"..16.05","..16.86","..16.05","..16.23","18,510"
03/29/2023,"..16.41","..16.99","..16.05","..16.05","20,711"
03/28/2023,"..16.02","..16.99","..15.20","..16.41","18,468"
03/27/2023,"..16.02","..15.90","..15.61","..16.02","1,000"
03/23/2023,"..16.02","..15.01","..14.74","..16.02","950"
03/22/2023,"..16.02","..16.01","..15.85","..16.02","4,690"
03/21/2023,"..16.02","..16.85","..15.85","..16.02","6,803"
03/20/2023,"..16.02","..15.30","..14.41","..16.02","4,179"
03/16/2023,"..16.02","..15.49","..14.01","..16.02","3,304"
03/15/2023,"..16.21","..17.24","..15.00","..16.02","22,420"
03/14/2023,"..16.21","..16.70","..15.50","..16.21","7,674"
03/13/2023,"..17.47","..18.00","..15.50","..16.21","34,349"
03/09/2023,"..16.45","..16.80","..16.21","..16.78","21,195"
03/08/2023,"..16.08","..16.58","..15.90","..16.45","101,134"
03/07/2023,"..16.08","..16.50","..15.50","..16.08","44,327"
03/06/2023,"..16.40","..17.00","..16.02","..16.08","30,007"
03/02/2023,"..16.28","..16.30","..15.80","..16.28","11,313"
03/01/2023,"..16.67","..17.15","..16.13","..16.28","23,975"
02/28/2023,"..16.67","..17.69","..16.40","..16.67","27,208"
02/27/2023,"..15.97","..17.70","..16.00","..16.67","86,463"
02/23/2023,"..17.01","..17.00","..16.00","..17.00","60,292"
02/22/2023,"..17.01","..17.00","..16.00","..17.01","15,160"
02/21/2023,"..16.33","..17.99","..16.15","..17.01","35,996"
02/20/2023,"..18.35","..18.00","..15.00","..16.33","18,022"
02/16/2023,"..18.35","..18.35","..18.35","..18.35","5,000"
02/15/2023,"..18.35","..18.77","..17.71","..18.35","3,687"
02/14/2023,"..18.35","..19.40","..17.70","..18.35","1,678"
02/13/2023,"..18.90","..19.50","..18.28","..18.35","25,372"
02/09/2023,"..18.75","..18.99","..17.53","..18.91","77,439"
02/08/2023,"..19.00","..18.75","..18.70","..18.75","51,000"
02/07/2023,"..19.00","..19.00","..18.03","..19.00","573"
02/06/2023,"..19.39","..19.00","..17.60","..19.00","86,177"
02/02/2023,"..19.39","..19.66","..18.14","..19.39","243"
02/01/2023,"..18.79","..19.50","..17.21","..19.39","84,850"
01/31/2023,"..19.00","..19.00","..18.07","..18.79","35,863"
01/30/2023,"..18.27","..19.00","..17.16","..19.00","67,500"
01/25/2023,"..18.27","..18.34","..17.02","..18.27","31"
01/24/2023,"..18.27","..17.99","..17.88","..18.27","1,420"
01/23/2023,"..18.27","..17.99","..17.01","..18.27","340"
01/19/2023,"..18.27","..18.96","..18.00","..18.27","3,403"
01/18/2023,"..17.12","..19.10","..18.00","..18.27","35,466"
01/17/2023,"..17.12","..18.00","..17.11","..17.12","5,502"
01/16/2023,"..17.12","..18.00","..17.08","..17.12","5,926"
01/12/2023,"..17.93","..18.00","..16.93","..17.12","21,926"
01/11/2023,"..17.93","..18.25","..17.00","..17.93","3,841"
01/10/2023,"..17.20","..18.00","..17.25","..17.93","31,974"
01/09/2023,"..17.20","..18.50","..17.06","..17.20","11,409"
01/05/2023,"..17.20","..17.38","..17.05","..17.20","6,932"
01/04/2023,"..17.20","..17.50","..17.02","..17.20","8,067"
01/03/2023,"..17.68","..17.50","..17.02","..17.20","18,985"
01/02/2023,"..17.68","..18.00","..17.00","..17.68","2,602"
12/29/2022,"..17.68","..18.70","..17.43","..17.68","600"
12/28/2022,"..17.68","..18.80","..16.30","..17.68","12,598"
12/27/2022,"..17.68","..17.68","..15.85","..17.68","7,013"
12/26/2022,"..17.68","..17.00","..15.28","..17.68","3,126"
12/22/2022,"..17.68","..16.50","..15.31","..17.68","10,746"
12/21/2022,"..17.68","..16.80","..15.67","..17.68","4,011"
12/20/2022,"..17.68","..17.16","..14.25","..17.68","13,842"
12/19/2022,"..17.68","..18.10","..17.10","..17.68","8,804"
12/15/2022,"..18.13","..17.88","..17.59","..18.13","2,340"
12/14/2022,"..18.13","..18.39","..18.00","..18.13","2,227"
12/13/2022,"..17.93","..18.39","..17.52","..18.13","26,251"
12/12/2022,"..17.93","..18.20","..17.26","..17.93","13,961"
12/08/2022,"..16.42","..18.00","..16.50","..17.96","89,253"
12/07/2022,"..15.00","..17.22","..15.20","..16.42","39,709"
12/06/2022,"..15.00","..15.20","..15.00","..15.00","15,605"
12/05/2022,"..15.00","..15.40","..14.71","..15.00","58,280"
12/01/2022,"..13.80","..14.00","..13.90","..14.00","21,501"
11/30/2022,"..13.80","..14.10","..13.90","..13.80","5,145"
11/29/2022,"..13.80","..14.20","..13.52","..13.80","21,062"
11/28/2022,"..13.80","..14.24","..13.80","..13.80","9,543"
11/24/2022,"..13.10","..13.40","..13.11","..13.10","2,000"
11/23/2022,"..13.10","..13.49","..13.20","..13.10","3,600"
11/22/2022,"..13.10","..13.51","..13.10","..13.10","9,002"
11/21/2022,"..13.05","..13.50","..13.10","..13.10","37,345"
11/17/2022,"..13.05","..13.10","..12.75","..13.05","8,685"
11/16/2022,"..13.05","..13.15","..12.70","..13.05","15,500"
11/15/2022,"..13.05","..13.19","..12.63","..13.05","13,391"
11/14/2022,"..12.11","..13.10","..12.50","..13.05","42,608"
11/10/2022,"..12.11","..12.30","..11.70","..12.11","9,332"
11/09/2022,"..12.11","..11.99","..11.65","..12.11","4,300"
11/08/2022,"..12.11","..12.11","..11.68","..12.11","6,020"
11/07/2022,"..12.11","..12.12","..12.00","..12.11","11,435"
11/03/2022,"..12.11","..12.50","..11.67","..12.11","20,501"
11/02/2022,"..12.23","..12.60","..12.05","..12.11","34,170"
11/01/2022,"..11.99","..12.30","..11.82","..12.23","36,593"
10/31/2022,"..11.99","..12.08","..11.79","..11.99","3,101"
10/27/2022,"..11.61","..12.05","..11.65","..11.99","29,159"
10/26/2022,"..11.47","..11.94","..11.12","..11.61","41,397"
10/25/2022,"..11.93","..11.63","..11.05","..11.47","43,521"
10/24/2022,"..12.08","..12.10","..11.60","..11.93","50,963"
10/20/2022,"..12.88","..13.00","..12.50","..12.59","36,691"
10/19/2022,"..12.04","..13.19","..12.16","..12.88","153,511"
10/18/2022,"..11.27","..12.19","..11.13","..12.04","69,980"
10/17/2022,"..11.00","..11.85","..10.50","..11.27","74,522"
10/13/2022,"..11.00","..10.79","..10.02","..11.00","22,621"
10/12/2022,"..11.00","..10.60","..10.15","..11.00","15,529"
10/11/2022,"..11.00","..10.65","..10.60","..11.00","11,434"
10/10/2022,"..11.00","..10.75","..10.51","..11.00","14,838"
10/05/2022,"..11.00","..11.00","..10.70","..11.00","24,690"
10/04/2022,"..11.00","..11.24","..11.00","..11.00","5,000"
10/03/2022,"..11.00","..11.09","..11.04","..11.00","1,000"
09/29/2022,"..11.00","..11.08","..11.05","..11.00","6,900"
09/28/2022,"..11.00","..11.36","..11.00","..11.00","24,300"
09/27/2022,"..10.84","..11.50","..11.00","..11.00","28,300"
09/26/2022,"..10.84","..11.29","..11.00","..10.84","5,140"
09/22/2022,"..10.84","..11.00","..10.80","..10.84","1,500"
