Date,Open,High,Low,Close,Volume
09/21/2023,"..0.71","..0.71","..0.70","..0.70","1,318,641"
09/20/2023,"..0.72","..0.72","..0.70","..0.71","1,295,249"
09/19/2023,"..0.73","..0.73","..0.72","..0.72","1,265,337"
09/18/2023,"..0.72","..0.73","..0.71","..0.73","1,655,493"
09/14/2023,"..0.71","..0.72","..0.71","..0.71","383,600"
09/13/2023,"..0.72","..0.72","..0.71","..0.71","743,463"
09/12/2023,"..0.73","..0.73","..0.72","..0.72","1,599,398"
09/11/2023,"..0.71","..0.73","..0.71","..0.73","1,989,103"
09/07/2023,"..0.71","..0.72","..0.70","..0.71","978,453"
09/06/2023,"..0.72","..0.73","..0.71","..0.71","1,302,627"
09/05/2023,"..0.72","..0.73","..0.71","..0.72","1,463,083"
09/04/2023,"..0.73","..0.74","..0.71","..0.72","1,087,807"
08/31/2023,"..0.74","..0.77","..0.74","..0.74","3,460,062"
08/30/2023,"..0.71","..0.75","..0.72","..0.74","4,845,336"
08/29/2023,"..0.69","..0.72","..0.69","..0.71","3,604,728"
08/28/2023,"..0.70","..0.70","..0.69","..0.69","1,798,801"
08/24/2023,"..0.70","..0.71","..0.68","..0.69","1,364,745"
08/23/2023,"..0.70","..0.72","..0.70","..0.70","1,908,043"
08/22/2023,"..0.69","..0.70","..0.69","..0.70","1,361,176"
08/21/2023,"..0.69","..0.69","..0.68","..0.69","1,820,733"
08/17/2023,"..0.70","..0.71","..0.70","..0.70","1,522,281"
08/16/2023,"..0.70","..0.71","..0.70","..0.70","2,800,718"
08/15/2023,"..0.71","..0.71","..0.70","..0.70","2,795,648"
08/14/2023,"..0.72","..0.72","..0.71","..0.71","4,059,641"
08/10/2023,"..0.77","..0.77","..0.76","..0.76","484,657"
08/09/2023,"..0.77","..0.77","..0.77","..0.77","288,107"
08/08/2023,"..0.76","..0.79","..0.76","..0.77","1,144,671"
08/07/2023,"..0.76","..0.77","..0.76","..0.76","442,460"
08/03/2023,"..0.76","..0.77","..0.75","..0.76","621,016"
08/02/2023,"..0.77","..0.77","..0.76","..0.76","684,523"
08/01/2023,"..0.78","..0.79","..0.77","..0.77","1,174,324"
07/31/2023,"..0.77","..0.82","..0.77","..0.78","7,475,283"
07/27/2023,"..0.76","..0.77","..0.75","..0.76","2,231,836"
07/26/2023,"..0.77","..0.79","..0.75","..0.76","3,009,416"
07/25/2023,"..0.73","..0.78","..0.73","..0.77","5,049,985"
07/24/2023,"..0.73","..0.75","..0.73","..0.73","628,077"
07/19/2023,"..0.73","..0.74","..0.73","..0.73","285,164"
07/18/2023,"..0.73","..0.76","..0.72","..0.73","807,968"
07/17/2023,"..0.73","..0.75","..0.72","..0.73","648,248"
07/13/2023,"..0.73","..0.76","..0.73","..0.73","364,248"
07/12/2023,"..0.75","..0.74","..0.72","..0.73","888,306"
07/11/2023,"..0.73","..0.75","..0.72","..0.75","1,489,374"
07/10/2023,"..0.71","..0.74","..0.69","..0.73","659,217"
07/06/2023,"..0.80","..0.80","..0.77","..0.78","1,562,776"
07/05/2023,"..0.80","..0.82","..0.79","..0.80","622,945"
07/04/2023,"..0.80","..0.82","..0.80","..0.80","1,439,224"
06/26/2023,"..0.80","..0.81","..0.80","..0.80","1,472,662"
06/22/2023,"..0.81","..0.82","..0.78","..0.80","1,088,484"
06/21/2023,"..0.83","..0.84","..0.80","..0.81","1,311,198"
06/20/2023,"..0.83","..0.84","..0.82","..0.83","1,801,067"
06/19/2023,"..0.84","..0.85","..0.83","..0.83","1,898,661"
06/15/2023,"..0.85","..0.85","..0.82","..0.83","1,674,589"
06/14/2023,"..0.85","..0.86","..0.84","..0.85","3,188,441"
06/13/2023,"..0.85","..0.87","..0.85","..0.85","2,409,080"
06/12/2023,"..0.84","..0.85","..0.84","..0.85","850,814"
06/08/2023,"..0.86","..0.87","..0.84","..0.85","1,773,988"
06/07/2023,"..0.86","..0.89","..0.85","..0.86","2,916,775"
06/06/2023,"..0.89","..0.91","..0.86","..0.86","5,281,163"
06/05/2023,"..0.94","..0.94","..0.88","..0.89","8,499,777"
06/01/2023,"..0.89","..0.95","..0.90","..0.92","8,235,019"
05/31/2023,"..0.90","..0.93","..0.88","..0.89","6,193,862"
05/30/2023,"..0.90","..0.92","..0.88","..0.90","4,889,646"
05/29/2023,"..0.83","..0.97","..0.85","..0.90","10,700,390"
05/25/2023,"..0.79","..0.79","..0.76","..0.77","1,637,682"
05/24/2023,"..0.77","..0.80","..0.77","..0.79","1,698,475"
05/23/2023,"..0.75","..0.79","..0.75","..0.77","2,863,547"
05/22/2023,"..0.72","..0.77","..0.72","..0.75","2,340,926"
05/18/2023,"..0.71","..0.72","..0.71","..0.71","561,445"
05/17/2023,"..0.72","..0.73","..0.70","..0.71","1,139,226"
05/16/2023,"..0.73","..0.74","..0.71","..0.72","1,350,328"
05/15/2023,"..0.74","..0.75","..0.73","..0.73","976,808"
05/11/2023,"..0.74","..0.78","..0.74","..0.74","1,136,730"
05/10/2023,"..0.77","..0.76","..0.72","..0.74","999,387"
05/09/2023,"..0.77","..0.78","..0.76","..0.77","1,927,187"
05/08/2023,"..0.76","..0.78","..0.77","..0.77","1,356,881"
05/03/2023,"..0.79","..0.79","..0.76","..0.77","1,368,652"
05/02/2023,"..0.78","..0.79","..0.78","..0.79","1,005,177"
05/01/2023,"..0.79","..0.80","..0.77","..0.78","890,675"
04/27/2023,"..0.80","..0.81","..0.79","..0.80","942,979"
04/26/2023,"..0.81","..0.82","..0.67","..0.80","1,422,721"
04/19/2023,"..0.83","..0.84","..0.81","..0.81","992,967"
04/18/2023,"..0.84","..0.85","..0.83","..0.83","556,345"
04/13/2023,"..0.84","..0.85","..0.83","..0.84","788,441"
04/12/2023,"..0.84","..0.86","..0.83","..0.84","973,335"
04/11/2023,"..0.84","..0.85","..0.82","..0.84","939,908"
04/10/2023,"..0.83","..0.85","..0.83","..0.84","960,963"
04/06/2023,"..0.82","..0.84","..0.81","..0.82","1,505,532"
04/05/2023,"..0.82","..0.84","..0.81","..0.82","2,628,056"
04/04/2023,"..0.81","..0.83","..0.80","..0.82","843,042"
04/03/2023,"..0.80","..0.81","..0.79","..0.81","515,913"
03/30/2023,"..0.81","..0.83","..0.79","..0.79","682,520"
03/29/2023,"..0.81","..0.83","..0.81","..0.81","2,166,472"
03/28/2023,"..0.80","..0.83","..0.81","..0.81","811,503"
03/27/2023,"..0.81","..0.83","..0.80","..0.80","610,080"
03/23/2023,"..0.80","..0.81","..0.78","..0.80","377,881"
03/22/2023,"..0.80","..0.84","..0.79","..0.80","825,568"
03/21/2023,"..0.77","..0.83","..0.78","..0.80","1,757,521"
03/20/2023,"..0.76","..0.80","..0.75","..0.77","505,316"
03/16/2023,"..0.73","..0.77","..0.66","..0.73","1,327,365"
03/15/2023,"..0.82","..0.86","..0.71","..0.73","1,672,383"
03/14/2023,"..0.82","..0.84","..0.75","..0.82","741,595"
03/13/2023,"..0.90","..0.91","..0.81","..0.82","1,427,082"
03/09/2023,"..0.93","..0.95","..0.92","..0.93","2,156,860"
03/08/2023,"..0.93","..0.95","..0.91","..0.93","3,116,583"
03/07/2023,"..0.92","..0.96","..0.92","..0.93","5,072,066"
03/06/2023,"..0.92","..0.93","..0.90","..0.92","3,309,316"
03/02/2023,"..0.87","..0.94","..0.87","..0.92","4,451,852"
03/01/2023,"..0.89","..0.90","..0.86","..0.87","2,526,152"
02/28/2023,"..0.83","..0.90","..0.83","..0.89","6,962,346"
02/27/2023,"..0.85","..0.85","..0.82","..0.83","2,627,821"
02/23/2023,"..0.79","..0.84","..0.78","..0.83","2,688,505"
02/22/2023,"..0.81","..0.81","..0.79","..0.79","1,544,861"
02/21/2023,"..0.78","..0.83","..0.78","..0.81","1,620,057"
02/20/2023,"..0.79","..0.79","..0.75","..0.78","1,315,017"
02/14/2023,"..0.80","..0.81","..0.79","..0.81","2,380,277"
02/13/2023,"..0.82","..0.82","..0.78","..0.80","1,640,879"
02/09/2023,"..0.75","..0.82","..0.74","..0.81","3,690,259"
02/08/2023,"..0.75","..0.76","..0.71","..0.75","1,325,196"
02/07/2023,"..0.74","..0.77","..0.75","..0.75","1,741,481"
02/06/2023,"..0.69","..0.76","..0.68","..0.74","2,487,670"
02/02/2023,"..0.70","..0.73","..0.68","..0.69","839,515"
02/01/2023,"..0.70","..0.71","..0.69","..0.70","408,036"
01/31/2023,"..0.74","..0.73","..0.70","..0.70","469,617"
01/30/2023,"..0.74","..0.75","..0.71","..0.74","320,998"
01/25/2023,"..0.74","..0.74","..0.73","..0.74","664,384"
01/24/2023,"..0.74","..0.74","..0.72","..0.74","384,750"
01/23/2023,"..0.75","..0.76","..0.73","..0.74","727,312"
01/19/2023,"..0.76","..0.78","..0.74","..0.75","1,448,030"
01/18/2023,"..0.74","..0.79","..0.75","..0.76","1,779,041"
01/17/2023,"..0.73","..0.76","..0.73","..0.74","949,720"
01/16/2023,"..0.72","..0.74","..0.72","..0.73","956,730"
01/12/2023,"..0.73","..0.75","..0.73","..0.73","647,926"
01/11/2023,"..0.76","..0.77","..0.73","..0.73","1,496,025"
01/10/2023,"..0.79","..0.79","..0.76","..0.76","1,096,182"
01/09/2023,"..0.81","..0.81","..0.79","..0.79","1,289,910"
01/05/2023,"..0.82","..0.82","..0.81","..0.81","908,882"
01/04/2023,"..0.82","..0.84","..0.79","..0.82","2,744,465"
