Date,Open,High,Low,Close,Volume
09/21/2023,"..3.20","..3.34","..3.23","..3.20","19,963"
09/20/2023,"..3.26","..3.35","..3.20","..3.20","270,607"
09/19/2023,"..3.33","..3.41","..3.25","..3.26","376,269"
09/18/2023,"..3.26","..3.35","..3.25","..3.33","120,140"
09/14/2023,"..3.12","..3.24","..3.07","..3.13","233,513"
09/13/2023,"..3.20","..3.30","..3.05","..3.12","267,940"
09/12/2023,"..3.30","..3.30","..3.17","..3.20","159,319"
09/11/2023,"..3.30","..3.35","..3.21","..3.30","61,109"
09/07/2023,"..3.30","..3.40","..3.29","..3.30","161,175"
09/06/2023,"..3.40","..3.44","..3.28","..3.30","137,379"
09/05/2023,"..3.27","..3.43","..3.28","..3.40","422,542"
09/04/2023,"..3.39","..3.55","..3.25","..3.27","381,746"
08/31/2023,"..3.18","..3.65","..3.16","..3.44","1,355,852"
08/30/2023,"..2.93","..3.51","..2.93","..3.18","1,389,366"
08/29/2023,"..3.00","..3.02","..2.90","..2.93","117,336"
08/28/2023,"..3.00","..3.00","..2.96","..3.00","111,781"
08/24/2023,"..3.00","..3.02","..2.99","..3.00","100,001"
08/23/2023,"..3.00","..3.04","..2.92","..3.00","28,267"
08/22/2023,"..3.00","..3.00","..2.90","..3.00","73,981"
08/21/2023,"..2.98","..3.01","..3.00","..3.00","200,300"
08/17/2023,"..2.95","..2.99","..2.90","..2.95","56,102"
08/16/2023,"..2.95","..2.97","..2.90","..2.95","45,169"
08/15/2023,"..2.95","..2.93","..2.90","..2.95","86,680"
08/14/2023,"..2.95","..3.00","..2.89","..2.95","60,000"
08/10/2023,"..3.01","..3.05","..2.94","..3.01","45,685"
08/09/2023,"..3.01","..3.07","..2.96","..3.01","5,818"
08/08/2023,"..3.01","..3.08","..2.96","..3.01","35,392"
08/07/2023,"..3.01","..3.05","..2.96","..3.01","1,367"
08/03/2023,"..3.00","..3.05","..2.94","..3.01","133,875"
08/02/2023,"..3.00","..3.05","..2.90","..3.00","273,400"
08/01/2023,"..3.00","..3.07","..2.95","..3.00","25,508"
07/31/2023,"..3.00","..2.99","..2.85","..3.00","7,579"
07/27/2023,"..3.00","..3.00","..2.86","..3.00","25,510"
07/26/2023,"..3.00","..3.00","..2.90","..3.00","51,502"
07/25/2023,"..2.97","..3.00","..2.85","..3.00","124,700"
07/24/2023,"..2.97","..2.97","..2.85","..2.97","16,320"
07/19/2023,"..2.97","..2.97","..2.85","..2.97","6,477"
07/18/2023,"..2.97","..2.97","..2.85","..2.97","79,315"
07/17/2023,"..2.97","..3.00","..2.85","..2.97","11,552"
07/13/2023,"..2.99","..2.97","..2.86","..2.99","9,000"
07/12/2023,"..2.99","..2.97","..2.89","..2.99","18,530"
07/11/2023,"..2.81","..3.00","..2.74","..2.99","211,300"
07/10/2023,"..2.81","..2.92","..2.80","..2.81","102,001"
07/06/2023,"..2.93","..2.90","..2.80","..2.86","141,310"
07/05/2023,"..2.93","..2.83","..2.78","..2.93","1,309"
07/04/2023,"..2.93","..2.95","..2.90","..2.93","7,040"
06/26/2023,"..2.91","..2.95","..2.87","..2.93","311,909"
06/22/2023,"..2.91","..2.81","..2.80","..2.91","79,500"
06/21/2023,"..2.91","..2.88","..2.80","..2.91","58,344"
06/20/2023,"..2.91","..2.99","..2.83","..2.91","91,426"
06/19/2023,"..2.91","..2.84","..2.83","..2.91","22,450"
06/15/2023,"..2.91","..2.90","..2.87","..2.91","73,500"
06/14/2023,"..2.91","..2.90","..2.85","..2.91","80,738"
06/13/2023,"..3.00","..2.98","..2.83","..2.91","152,817"
06/12/2023,"..3.00","..3.00","..2.93","..3.00","10,989"
06/08/2023,"..2.95","..3.00","..2.85","..2.90","260,071"
06/07/2023,"..3.00","..3.00","..2.90","..2.95","199,524"
06/06/2023,"..3.00","..3.00","..2.93","..3.00","328,750"
06/05/2023,"..3.00","..3.09","..2.98","..3.00","127,638"
06/01/2023,"..3.00","..3.15","..3.00","..3.00","173,228"
05/31/2023,"..2.99","..3.10","..3.00","..3.00","308,315"
05/30/2023,"..2.90","..3.10","..2.92","..2.99","944,928"
05/29/2023,"..2.85","..2.92","..2.85","..2.90","333,123"
05/25/2023,"..2.83","..2.85","..2.77","..2.81","110,953"
05/24/2023,"..2.80","..2.87","..2.62","..2.83","273,154"
05/23/2023,"..2.75","..2.83","..2.70","..2.80","317,350"
05/22/2023,"..2.69","..2.82","..2.71","..2.75","337,011"
05/18/2023,"..2.80","..2.84","..2.66","..2.69","254,063"
05/17/2023,"..2.70","..2.81","..2.70","..2.80","509,812"
05/16/2023,"..2.66","..2.75","..2.61","..2.70","438,581"
05/15/2023,"..2.80","..2.83","..2.61","..2.66","884,307"
05/11/2023,"..2.48","..2.60","..2.40","..2.60","495,359"
05/10/2023,"..2.48","..2.50","..2.40","..2.48","94,181"
05/09/2023,"..2.45","..2.51","..2.45","..2.48","456,974"
05/08/2023,"..2.40","..2.45","..2.37","..2.45","203,729"
05/03/2023,"..2.35","..2.40","..2.35","..2.40","442,529"
05/02/2023,"..2.31","..2.40","..2.30","..2.35","610,300"
05/01/2023,"..2.32","..2.33","..2.20","..2.31","665,758"
04/27/2023,"..2.40","..2.43","..2.35","..2.36","189,855"
04/26/2023,"..2.39","..2.43","..2.32","..2.40","167,127"
04/19/2023,"..2.39","..2.37","..2.27","..2.39","62,243"
04/18/2023,"..2.39","..2.45","..2.36","..2.39","71,090"
04/13/2023,"..2.39","..2.43","..2.37","..2.39","46,828"
04/12/2023,"..2.39","..2.40","..2.37","..2.39","112,921"
04/11/2023,"..2.33","..2.40","..2.30","..2.39","205,001"
04/10/2023,"..2.40","..2.36","..2.28","..2.33","183,900"
04/06/2023,"..2.42","..2.42","..2.35","..2.40","223,884"
04/05/2023,"..2.36","..2.45","..2.35","..2.42","279,632"
04/04/2023,"..2.30","..2.38","..2.22","..2.36","199,001"
