Date,Open,High,Low,Close,Volume
09/21/2023,"..0.47","..0.47","..0.46","..0.46","6,774,542"
09/19/2023,"..0.50","..0.50","..0.48","..0.49","29,065,836"
09/18/2023,"..0.50","..0.50","..0.49","..0.49","12,293,831"
09/14/2023,"..0.49","..0.50","..0.49","..0.49","14,992,078"
09/13/2023,"..0.49","..0.49","..0.48","..0.49","8,358,590"
09/12/2023,"..0.50","..0.50","..0.49","..0.49","11,669,587"
09/11/2023,"..0.51","..0.51","..0.49","..0.49","19,215,436"
09/07/2023,"..0.47","..0.49","..0.47","..0.49","21,717,027"
09/06/2023,"..0.47","..0.48","..0.47","..0.47","6,757,849"
09/05/2023,"..0.47","..0.48","..0.47","..0.47","10,996,245"
09/04/2023,"..0.47","..0.48","..0.47","..0.47","9,491,002"
08/31/2023,"..0.47","..0.48","..0.47","..0.47","8,966,994"
08/30/2023,"..0.47","..0.48","..0.46","..0.47","12,539,566"
08/29/2023,"..0.47","..0.47","..0.46","..0.47","13,812,614"
08/28/2023,"..0.47","..0.48","..0.46","..0.47","17,098,492"
08/24/2023,"..0.48","..0.48","..0.47","..0.47","13,626,920"
08/23/2023,"..0.48","..0.49","..0.47","..0.47","18,673,779"
08/22/2023,"..0.48","..0.49","..0.48","..0.48","12,251,765"
08/21/2023,"..0.48","..0.49","..0.47","..0.48","25,993,172"
08/17/2023,"..0.48","..0.50","..0.47","..0.48","25,866,455"
08/16/2023,"..0.51","..0.51","..0.48","..0.48","62,939,816"
08/15/2023,"..0.43","..0.51","..0.43","..0.51","143,566,281"
08/14/2023,"..0.45","..0.45","..0.44","..0.45","20,747,637"
08/10/2023,"..0.47","..0.49","..0.45","..0.46","43,886,043"
08/09/2023,"..0.42","..0.44","..0.41","..0.44","18,536,408"
08/08/2023,"..0.42","..0.43","..0.41","..0.42","3,993,936"
08/07/2023,"..0.40","..0.42","..0.40","..0.42","13,329,278"
08/03/2023,"..0.40","..0.41","..0.40","..0.40","4,158,551"
08/02/2023,"..0.41","..0.42","..0.40","..0.40","5,475,843"
08/01/2023,"..0.41","..0.41","..0.40","..0.41","6,333,093"
07/31/2023,"..0.40","..0.41","..0.39","..0.40","6,207,945"
07/27/2023,"..0.43","..0.43","..0.40","..0.40","18,393,252"
07/26/2023,"..0.43","..0.44","..0.41","..0.43","7,190,299"
07/25/2023,"..0.43","..0.44","..0.42","..0.42","5,618,740"
07/24/2023,"..0.45","..0.46","..0.42","..0.43","8,243,487"
07/19/2023,"..0.42","..0.44","..0.42","..0.44","29,889,277"
07/18/2023,"..0.44","..0.44","..0.42","..0.42","25,066,645"
07/17/2023,"..0.42","..0.47","..0.42","..0.44","70,028,102"
07/13/2023,"..0.47","..0.47","..0.47","..0.47","1,799,782"
