Date,Open,High,Low,Close,Volume
09/21/2023,"..47.00","..49.87","..47.02","..49.36","641,142"
09/20/2023,"..48.12","..48.89","..47.00","..47.00","576,017"
09/19/2023,"..49.26","..49.96","..47.95","..48.12","426,025"
09/18/2023,"..47.73","..50.25","..48.15","..49.26","1,078,735"
09/14/2023,"..43.91","..45.50","..43.70","..44.95","465,077"
09/13/2023,"..43.19","..44.50","..43.06","..43.91","183,428"
09/12/2023,"..43.06","..43.37","..42.80","..43.19","111,402"
09/11/2023,"..43.90","..44.30","..42.49","..43.06","190,995"
09/07/2023,"..40.96","..42.34","..40.86","..42.00","613,183"
09/06/2023,"..42.22","..42.22","..40.70","..40.96","350,642"
09/05/2023,"..43.02","..43.44","..42.06","..42.22","118,934"
09/04/2023,"..43.19","..43.59","..43.01","..43.02","67,485"
08/31/2023,"..43.64","..44.40","..42.17","..43.95","142,398"
08/30/2023,"..44.35","..44.48","..43.45","..43.64","31,434"
08/29/2023,"..44.46","..45.40","..43.21","..44.35","172,981"
08/28/2023,"..41.50","..46.45","..41.27","..44.46","895,213"
08/24/2023,"..37.30","..37.60","..37.12","..37.30","53,424"
08/23/2023,"..37.65","..37.74","..37.16","..37.30","46,566"
08/22/2023,"..37.38","..37.70","..37.00","..37.65","123,675"
08/21/2023,"..37.12","..37.50","..37.14","..37.38","97,754"
08/17/2023,"..36.90","..37.39","..36.72","..36.81","40,551"
08/16/2023,"..37.22","..37.80","..36.90","..36.90","207,531"
08/15/2023,"..37.82","..37.98","..37.10","..37.22","138,385"
08/14/2023,"..37.49","..38.30","..37.44","..37.82","370,677"
08/10/2023,"..37.30","..37.60","..37.10","..37.17","148,371"
08/09/2023,"..37.00","..37.89","..37.01","..37.30","154,213"
08/08/2023,"..36.93","..37.50","..36.90","..37.00","194,231"
08/07/2023,"..36.78","..37.33","..36.72","..36.93","130,106"
08/03/2023,"..36.81","..37.06","..36.60","..36.72","94,543"
08/02/2023,"..37.73","..38.00","..36.80","..36.81","257,577"
08/01/2023,"..37.99","..39.30","..37.52","..37.73","1,215,459"
07/31/2023,"..37.13","..38.25","..37.20","..37.99","251,335"
07/27/2023,"..37.37","..37.90","..36.80","..37.00","89,004"
07/26/2023,"..36.51","..38.05","..36.10","..37.37","263,828"
07/25/2023,"..36.57","..37.00","..36.21","..36.51","101,040"
07/24/2023,"..36.94","..38.05","..36.05","..36.57","253,666"
07/19/2023,"..35.16","..37.00","..35.26","..36.94","368,007"
07/18/2023,"..35.05","..35.40","..35.05","..35.16","29,751"
07/17/2023,"..35.00","..35.56","..34.70","..35.05","108,611"
07/13/2023,"..34.84","..35.80","..34.85","..35.48","86,529"
07/12/2023,"..35.78","..35.95","..34.50","..34.84","85,407"
07/11/2023,"..37.00","..36.90","..35.06","..35.78","168,883"
07/10/2023,"..33.17","..37.00","..32.78","..37.00","226,154"
07/06/2023,"..35.21","..35.44","..34.25","..34.61","307,034"
07/05/2023,"..35.27","..35.90","..34.97","..35.21","149,722"
07/04/2023,"..36.81","..36.91","..34.80","..35.27","291,143"
06/26/2023,"..36.61","..36.99","..36.25","..36.81","68,237"
06/22/2023,"..37.17","..38.40","..37.12","..37.27","53,271"
06/21/2023,"..38.50","..38.70","..37.10","..37.17","69,476"
06/20/2023,"..40.79","..38.80","..38.00","..38.50","152,104"
06/19/2023,"..40.60","..41.25","..40.05","..40.79","195,695"
06/15/2023,"..39.58","..40.49","..39.95","..40.34","82,335"
06/14/2023,"..39.54","..40.75","..39.50","..39.58","75,089"
06/13/2023,"..40.96","..41.80","..39.00","..39.54","307,000"
06/12/2023,"..41.80","..41.99","..40.80","..40.96","101,419"
06/08/2023,"..38.75","..39.59","..37.60","..38.10","125,451"
06/07/2023,"..39.55","..39.98","..38.56","..38.75","120,325"
06/06/2023,"..41.01","..41.68","..39.50","..39.55","294,572"
06/05/2023,"..42.00","..42.89","..40.95","..41.01","130,735"
06/01/2023,"..41.58","..43.40","..40.83","..41.95","256,878"
05/31/2023,"..39.35","..42.02","..39.35","..41.58","423,888"
05/30/2023,"..39.63","..40.19","..39.02","..39.35","192,735"
05/29/2023,"..39.99","..41.25","..39.20","..39.63","338,766"
05/25/2023,"..35.55","..38.49","..35.89","..38.22","373,433"
05/24/2023,"..35.90","..35.90","..35.03","..35.55","51,025"
05/23/2023,"..36.07","..36.17","..34.22","..35.90","207,492"
05/22/2023,"..36.44","..36.88","..35.00","..36.07","95,716"
05/18/2023,"..37.26","..37.99","..36.15","..36.61","156,979"
05/17/2023,"..39.01","..39.98","..37.03","..37.26","232,199"
05/16/2023,"..40.37","..40.36","..38.90","..39.01","98,515"
05/15/2023,"..40.27","..41.90","..39.50","..40.37","139,144"
05/11/2023,"..38.76","..40.00","..39.03","..39.60","183,063"
05/10/2023,"..37.60","..39.00","..37.60","..38.76","143,371"
05/09/2023,"..37.12","..39.49","..37.26","..37.60","346,960"
05/08/2023,"..34.53","..37.63","..34.15","..37.12","517,324"
