Date,Open,High,Low,Close,Volume
09/21/2023,"..1.43","..1.44","..1.41","..1.43","111,474"
09/20/2023,"..1.47","..1.48","..1.40","..1.43","350,277"
09/19/2023,"..1.47","..1.49","..1.46","..1.47","106,100"
09/18/2023,"..1.46","..1.49","..1.46","..1.47","283,173"
09/14/2023,"..1.47","..1.48","..1.44","..1.46","410,482"
09/13/2023,"..1.47","..1.48","..1.45","..1.47","189,209"
09/12/2023,"..1.47","..1.49","..1.45","..1.47","172,837"
09/11/2023,"..1.47","..1.50","..1.46","..1.47","67,878"
09/07/2023,"..1.49","..1.51","..1.47","..1.48","635,127"
09/06/2023,"..1.50","..1.53","..1.48","..1.49","478,616"
09/05/2023,"..1.50","..1.57","..1.50","..1.50","1,205,713"
09/04/2023,"..1.50","..1.52","..1.48","..1.50","230,291"
08/31/2023,"..1.52","..1.56","..1.50","..1.52","1,733,175"
08/30/2023,"..1.43","..1.60","..1.44","..1.52","5,543,232"
08/29/2023,"..1.42","..1.44","..1.42","..1.43","292,757"
08/28/2023,"..1.45","..1.45","..1.42","..1.42","293,376"
08/24/2023,"..1.46","..1.46","..1.41","..1.43","250,387"
08/23/2023,"..1.43","..1.48","..1.42","..1.46","658,363"
08/22/2023,"..1.42","..1.45","..1.41","..1.43","227,132"
08/21/2023,"..1.42","..1.43","..1.40","..1.42","56,434"
08/17/2023,"..1.42","..1.42","..1.37","..1.42","168,830"
08/16/2023,"..1.42","..1.46","..1.40","..1.42","212,906"
08/15/2023,"..1.42","..1.45","..1.42","..1.42","189,015"
08/14/2023,"..1.44","..1.47","..1.41","..1.42","748,401"
08/10/2023,"..1.44","..1.46","..1.40","..1.44","197,677"
08/09/2023,"..1.44","..1.47","..1.39","..1.44","62,345"
08/08/2023,"..1.47","..1.48","..1.40","..1.44","463,829"
08/07/2023,"..1.47","..1.48","..1.45","..1.47","256,138"
08/03/2023,"..1.40","..1.42","..1.38","..1.40","83,022"
08/02/2023,"..1.40","..1.43","..1.39","..1.40","697,817"
08/01/2023,"..1.39","..1.41","..1.37","..1.40","352,904"
07/31/2023,"..1.39","..1.39","..1.36","..1.39","165,272"
07/27/2023,"..1.38","..1.40","..1.36","..1.38","380,044"
07/26/2023,"..1.38","..1.38","..1.35","..1.38","92,475"
07/25/2023,"..1.38","..1.39","..1.35","..1.38","192,364"
07/24/2023,"..1.38","..1.41","..1.37","..1.38","106,554"
07/19/2023,"..1.38","..1.41","..1.38","..1.38","190,948"
07/18/2023,"..1.38","..1.39","..1.37","..1.38","78,385"
07/17/2023,"..1.40","..1.42","..1.37","..1.38","332,911"
07/13/2023,"..1.40","..1.42","..1.38","..1.40","155,207"
07/12/2023,"..1.40","..1.43","..1.38","..1.40","162,185"
07/11/2023,"..1.40","..1.42","..1.40","..1.40","74,828"
07/10/2023,"..1.48","..1.43","..1.38","..1.40","233,725"
07/06/2023,"..1.49","..1.50","..1.46","..1.48","236,770"
07/05/2023,"..1.49","..1.51","..1.47","..1.49","369,728"
07/04/2023,"..1.47","..1.51","..1.45","..1.49","253,174"
06/26/2023,"..1.46","..1.48","..1.44","..1.47","287,089"
06/22/2023,"..1.50","..1.50","..1.46","..1.47","277,690"
06/21/2023,"..1.50","..1.52","..1.47","..1.50","450,387"
06/20/2023,"..1.50","..1.52","..1.50","..1.50","1,109,188"
06/19/2023,"..1.53","..1.55","..1.49","..1.50","430,672"
06/15/2023,"..1.58","..1.58","..1.54","..1.54","779,230"
06/14/2023,"..1.57","..1.62","..1.57","..1.58","3,040,069"
06/13/2023,"..1.51","..1.61","..1.51","..1.57","3,451,693"
06/12/2023,"..1.49","..1.53","..1.48","..1.51","232,347"
06/08/2023,"..1.52","..1.53","..1.47","..1.49","310,329"
06/07/2023,"..1.53","..1.55","..1.52","..1.52","355,939"
06/06/2023,"..1.53","..1.55","..1.52","..1.53","486,977"
06/05/2023,"..1.52","..1.56","..1.52","..1.53","567,179"
06/01/2023,"..1.54","..1.58","..1.51","..1.53","542,625"
05/31/2023,"..1.54","..1.56","..1.51","..1.54","1,156,262"
05/30/2023,"..1.56","..1.58","..1.50","..1.54","546,022"
05/29/2023,"..1.49","..1.59","..1.50","..1.56","2,150,911"
05/25/2023,"..1.36","..1.47","..1.35","..1.46","3,119,315"
05/24/2023,"..1.36","..1.38","..1.35","..1.36","288,871"
05/23/2023,"..1.34","..1.38","..1.34","..1.36","364,041"
05/22/2023,"..1.34","..1.37","..1.34","..1.34","205,701"
05/18/2023,"..1.34","..1.35","..1.32","..1.33","263,071"
05/17/2023,"..1.38","..1.39","..1.34","..1.34","683,272"
05/16/2023,"..1.38","..1.37","..1.34","..1.38","169,909"
05/15/2023,"..1.38","..1.39","..1.35","..1.38","214,126"
05/11/2023,"..1.37","..1.39","..1.36","..1.37","292,500"
05/10/2023,"..1.38","..1.39","..1.35","..1.37","379,064"
05/09/2023,"..1.34","..1.38","..1.36","..1.38","757,257"
05/08/2023,"..1.34","..1.37","..1.34","..1.34","182,858"
05/03/2023,"..1.35","..1.38","..1.34","..1.34","440,747"
05/02/2023,"..1.35","..1.38","..1.33","..1.35","161,961"
05/01/2023,"..1.38","..1.39","..1.34","..1.35","315,395"
04/27/2023,"..1.34","..1.39","..1.33","..1.38","1,068,788"
04/26/2023,"..1.33","..1.35","..1.31","..1.34","545,633"
04/19/2023,"..1.31","..1.34","..1.31","..1.33","265,877"
04/18/2023,"..1.35","..1.35","..1.30","..1.31","839,547"
04/13/2023,"..1.35","..1.37","..1.33","..1.35","183,576"
04/12/2023,"..1.35","..1.39","..1.34","..1.35","377,026"
04/11/2023,"..1.35","..1.38","..1.34","..1.35","301,445"
04/10/2023,"..1.35","..1.40","..1.34","..1.35","187,291"
04/06/2023,"..1.35","..1.43","..1.34","..1.35","1,422,922"
04/05/2023,"..1.35","..1.44","..1.33","..1.35","441,148"
04/04/2023,"..1.32","..1.38","..1.32","..1.35","1,004,180"
04/03/2023,"..1.26","..1.35","..1.28","..1.32","257,280"
03/30/2023,"..1.29","..1.31","..1.26","..1.26","472,554"
03/29/2023,"..1.29","..1.32","..1.26","..1.29","137,543"
03/28/2023,"..1.31","..1.31","..1.21","..1.29","294,975"
03/27/2023,"..1.34","..1.36","..1.30","..1.31","261,172"
03/23/2023,"..1.29","..1.31","..1.11","..1.30","457,133"
03/22/2023,"..1.30","..1.33","..1.27","..1.29","363,417"
03/21/2023,"..1.26","..1.32","..1.26","..1.30","361,808"
03/20/2023,"..1.19","..1.27","..1.23","..1.26","446,908"
03/16/2023,"..1.24","..1.29","..1.12","..1.19","573,129"
03/15/2023,"..1.39","..1.40","..1.11","..1.24","786,774"
03/14/2023,"..1.34","..1.41","..1.32","..1.39","713,522"
03/13/2023,"..1.48","..1.50","..1.33","..1.34","1,185,843"
03/09/2023,"..1.54","..1.57","..1.54","..1.55","604,482"
03/08/2023,"..1.53","..1.56","..1.51","..1.54","580,055"
03/07/2023,"..1.60","..1.63","..1.52","..1.53","1,940,008"
03/06/2023,"..1.64","..1.69","..1.59","..1.60","2,106,804"
03/02/2023,"..1.47","..1.62","..1.51","..1.53","6,661,215"
03/01/2023,"..1.44","..1.50","..1.45","..1.47","428,199"
02/28/2023,"..1.43","..1.47","..1.42","..1.44","382,370"
02/27/2023,"..1.46","..1.47","..1.43","..1.43","311,585"
02/23/2023,"..1.43","..1.45","..1.40","..1.43","302,176"
02/22/2023,"..1.48","..1.49","..1.42","..1.43","599,956"
02/21/2023,"..1.50","..1.51","..1.46","..1.48","1,427,787"
02/20/2023,"..1.54","..1.55","..1.49","..1.50","536,623"
02/16/2023,"..1.53","..1.54","..1.52","..1.53","508,375"
02/15/2023,"..1.53","..1.55","..1.51","..1.53","1,102,027"
02/14/2023,"..1.51","..1.55","..1.50","..1.53","675,664"
02/13/2023,"..1.51","..1.53","..1.51","..1.51","161,127"
02/09/2023,"..1.52","..1.54","..1.51","..1.52","562,347"
02/08/2023,"..1.52","..1.55","..1.51","..1.52","361,829"
02/07/2023,"..1.50","..1.54","..1.48","..1.52","1,032,468"
02/06/2023,"..1.52","..1.56","..1.48","..1.50","912,831"
02/02/2023,"..1.58","..1.64","..1.55","..1.57","726,806"
02/01/2023,"..1.57","..1.60","..1.55","..1.58","322,384"
01/31/2023,"..1.61","..1.63","..1.57","..1.57","490,023"
01/30/2023,"..1.64","..1.66","..1.60","..1.61","1,002,603"
01/25/2023,"..1.65","..1.68","..1.64","..1.65","857,200"
01/24/2023,"..1.67","..1.71","..1.63","..1.65","1,609,750"
01/23/2023,"..1.75","..1.77","..1.67","..1.67","2,348,193"
01/19/2023,"..1.68","..1.72","..1.65","..1.67","810,559"
01/18/2023,"..1.65","..1.70","..1.63","..1.68","2,030,500"
01/17/2023,"..1.67","..1.70","..1.64","..1.65","1,758,309"
01/16/2023,"..1.62","..1.68","..1.62","..1.67","1,501,511"
01/12/2023,"..1.63","..1.67","..1.59","..1.60","1,182,979"
01/11/2023,"..1.66","..1.72","..1.61","..1.63","2,535,440"
