Date,Open,High,Low,Close,Volume
09/21/2023,"..22.55","..22.90","..22.21","..22.63","1,257,070"
09/20/2023,"..22.66","..23.28","..22.50","..22.55","3,492,168"
09/19/2023,"..22.70","..23.00","..22.60","..22.66","1,153,724"
09/18/2023,"..22.26","..22.74","..22.29","..22.70","753,476"
09/14/2023,"..22.60","..22.80","..22.42","..22.51","1,437,743"
09/13/2023,"..21.91","..22.60","..21.80","..22.60","2,175,483"
09/12/2023,"..22.30","..22.60","..21.83","..21.91","865,984"
09/11/2023,"..23.00","..23.07","..22.25","..22.30","2,765,601"
09/07/2023,"..22.40","..23.05","..21.80","..22.59","2,491,956"
09/06/2023,"..23.11","..23.39","..22.30","..22.40","1,245,502"
09/05/2023,"..23.01","..23.70","..23.01","..23.11","1,341,566"
09/04/2023,"..22.30","..23.50","..22.35","..23.01","2,444,330"
08/31/2023,"..23.00","..23.15","..22.45","..23.15","1,926,343"
08/30/2023,"..22.80","..23.24","..22.45","..23.00","1,454,160"
08/29/2023,"..21.33","..22.80","..21.25","..22.80","4,878,479"
08/28/2023,"..21.54","..21.98","..21.12","..21.33","1,596,789"
08/24/2023,"..20.01","..21.05","..20.56","..20.98","5,302,521"
08/23/2023,"..20.15","..20.60","..19.91","..20.01","1,288,262"
08/22/2023,"..20.00","..20.44","..19.93","..20.15","1,442,977"
08/21/2023,"..19.92","..20.21","..19.81","..20.00","769,678"
08/17/2023,"..20.26","..20.58","..20.12","..20.12","1,524,350"
08/16/2023,"..19.88","..21.00","..19.63","..20.26","2,257,692"
08/15/2023,"..19.96","..20.20","..19.84","..19.88","604,531"
08/14/2023,"..20.00","..20.50","..19.94","..19.96","2,442,593"
08/10/2023,"..19.50","..19.80","..19.32","..19.60","569,966"
08/09/2023,"..19.42","..20.00","..19.45","..19.50","2,186,775"
08/08/2023,"..19.61","..19.88","..19.42","..19.42","837,766"
08/07/2023,"..19.25","..20.00","..19.06","..19.61","1,898,176"
08/03/2023,"..18.52","..18.79","..18.02","..18.47","625,245"
08/02/2023,"..18.74","..18.88","..18.52","..18.52","677,569"
08/01/2023,"..18.85","..19.09","..18.60","..18.74","795,207"
07/31/2023,"..18.69","..18.90","..18.55","..18.85","1,072,130"
07/27/2023,"..18.79","..18.98","..18.00","..18.30","1,987,180"
07/26/2023,"..18.50","..18.83","..18.47","..18.79","1,123,417"
07/25/2023,"..18.81","..19.11","..18.30","..18.50","1,367,077"
07/24/2023,"..19.15","..19.20","..18.75","..18.81","1,007,984"
07/19/2023,"..19.45","..19.50","..19.10","..19.15","545,977"
07/18/2023,"..19.26","..19.68","..19.27","..19.45","1,333,403"
07/17/2023,"..18.70","..19.55","..18.65","..19.26","3,017,375"
07/13/2023,"..18.86","..19.15","..18.80","..18.92","1,298,722"
07/12/2023,"..18.90","..19.02","..18.66","..18.86","907,527"
07/11/2023,"..18.62","..19.14","..18.60","..18.90","2,885,786"
07/10/2023,"..17.82","..18.98","..17.62","..18.62","3,303,897"
07/06/2023,"..19.33","..19.50","..18.65","..18.66","1,517,723"
07/05/2023,"..19.36","..19.90","..18.85","..19.33","3,672,624"
07/04/2023,"..20.37","..20.50","..19.22","..19.36","1,831,621"
06/26/2023,"..19.70","..20.50","..19.72","..20.37","1,490,308"
06/22/2023,"..20.50","..21.17","..20.36","..20.90","5,206,028"
06/21/2023,"..20.40","..20.90","..20.10","..20.50","2,645,163"
06/20/2023,"..20.00","..20.86","..20.00","..20.40","5,358,511"
06/19/2023,"..19.80","..20.40","..19.60","..20.00","7,772,115"
06/15/2023,"..19.30","..19.45","..18.88","..18.94","2,274,317"
06/14/2023,"..19.30","..20.12","..19.10","..19.30","5,021,777"
06/13/2023,"..18.61","..19.40","..18.56","..19.30","4,089,455"
06/12/2023,"..18.89","..18.97","..18.55","..18.61","407,070"
06/08/2023,"..17.90","..18.21","..17.80","..18.10","2,714,025"
06/07/2023,"..18.27","..18.70","..17.85","..17.90","3,107,127"
06/06/2023,"..18.33","..18.80","..18.17","..18.27","2,526,193"
06/05/2023,"..18.60","..18.89","..18.15","..18.33","1,279,307"
06/01/2023,"..19.30","..19.47","..18.70","..18.81","2,716,759"
05/31/2023,"..17.78","..19.90","..18.00","..19.30","13,168,730"
05/30/2023,"..17.22","..17.79","..17.21","..17.78","3,798,297"
05/29/2023,"..16.86","..17.30","..16.89","..17.22","2,393,211"
05/25/2023,"..16.27","..16.66","..16.20","..16.42","1,889,942"
05/24/2023,"..16.15","..16.40","..16.00","..16.27","1,826,519"
05/23/2023,"..16.06","..16.40","..15.70","..16.15","1,883,138"
05/22/2023,"..16.49","..16.83","..15.89","..16.06","2,435,920"
05/18/2023,"..16.92","..16.96","..16.07","..16.58","1,635,056"
05/17/2023,"..17.58","..17.38","..16.90","..16.92","2,216,640"
05/16/2023,"..17.40","..17.60","..17.11","..17.58","3,594,634"
05/15/2023,"..17.70","..17.84","..17.12","..17.40","2,701,937"
05/11/2023,"..17.50","..17.85","..16.95","..17.10","2,450,082"
05/10/2023,"..17.20","..17.54","..16.75","..17.50","2,064,931"
05/09/2023,"..17.65","..17.93","..17.20","..17.20","3,005,246"
05/08/2023,"..16.87","..17.70","..17.00","..17.65","3,347,465"
05/03/2023,"..17.00","..17.52","..16.96","..17.09","1,962,347"
05/02/2023,"..17.08","..17.35","..16.75","..17.00","2,190,274"
05/01/2023,"..17.71","..17.90","..16.92","..17.08","5,252,411"
04/27/2023,"..17.47","..18.25","..17.35","..18.24","6,492,406"
04/26/2023,"..17.13","..17.62","..17.03","..17.47","2,786,298"
04/19/2023,"..17.48","..17.60","..17.01","..17.13","3,118,699"
04/18/2023,"..17.45","..17.75","..17.40","..17.48","6,367,707"
04/13/2023,"..17.41","..17.80","..17.42","..17.45","4,365,319"
04/12/2023,"..17.18","..17.75","..17.12","..17.41","7,538,977"
04/11/2023,"..16.99","..17.27","..16.91","..17.18","3,147,748"
04/10/2023,"..16.13","..17.05","..16.15","..16.99","8,045,318"
04/06/2023,"..15.77","..16.06","..15.64","..15.83","2,524,127"
04/05/2023,"..15.89","..16.18","..15.70","..15.77","2,649,804"
04/04/2023,"..16.06","..16.20","..15.80","..15.89","3,324,449"
04/03/2023,"..15.87","..16.45","..15.95","..16.06","5,885,671"
03/30/2023,"..15.45","..15.59","..14.80","..15.00","6,105,712"
03/29/2023,"..14.91","..16.00","..14.99","..15.45","9,927,356"
03/28/2023,"..14.00","..15.00","..13.60","..14.91","12,358,150"
03/27/2023,"..13.90","..14.01","..13.35","..14.00","4,075,588"
03/23/2023,"..12.81","..13.10","..12.65","..13.10","1,330,444"
03/22/2023,"..13.02","..13.38","..12.80","..12.81","3,723,951"
03/21/2023,"..12.13","..13.20","..12.27","..13.02","5,178,693"
03/20/2023,"..11.77","..12.38","..11.73","..12.13","4,377,388"
03/16/2023,"..11.66","..12.07","..10.91","..12.00","6,568,467"
03/15/2023,"..12.80","..13.25","..11.20","..11.66","5,800,827"
03/14/2023,"..12.46","..12.98","..12.21","..12.80","2,597,335"
03/13/2023,"..12.82","..13.23","..12.10","..12.46","2,779,349"
03/09/2023,"..13.42","..13.75","..13.45","..13.75","1,645,565"
03/08/2023,"..13.80","..13.83","..13.30","..13.42","1,869,806"
03/07/2023,"..14.30","..14.39","..13.71","..13.80","2,647,307"
03/06/2023,"..13.96","..14.53","..14.01","..14.30","6,307,244"
03/02/2023,"..14.13","..14.50","..14.00","..14.04","3,135,161"
03/01/2023,"..13.80","..14.40","..13.44","..14.13","7,064,247"
02/28/2023,"..13.44","..13.80","..13.32","..13.80","2,080,452"
02/27/2023,"..13.58","..13.74","..13.44","..13.44","1,825,708"
02/23/2023,"..13.08","..13.29","..12.85","..13.25","1,457,804"
02/22/2023,"..13.60","..13.80","..13.00","..13.08","3,163,527"
02/21/2023,"..13.40","..13.70","..13.13","..13.60","4,323,743"
02/20/2023,"..14.23","..14.30","..13.34","..13.40","5,479,293"
02/16/2023,"..13.50","..14.40","..13.55","..14.29","10,381,740"
02/15/2023,"..13.66","..13.72","..13.45","..13.50","3,311,853"
02/14/2023,"..13.12","..13.66","..13.12","..13.66","3,050,200"
02/13/2023,"..13.23","..13.40","..13.10","..13.12","1,590,897"
02/09/2023,"..12.41","..13.00","..12.35","..12.95","4,873,806"
02/08/2023,"..12.20","..12.81","..12.00","..12.41","4,608,679"
02/07/2023,"..11.96","..12.33","..12.05","..12.20","1,799,182"
02/06/2023,"..11.93","..12.21","..11.90","..11.96","2,363,018"
02/02/2023,"..12.80","..13.00","..11.90","..12.03","5,164,877"
02/01/2023,"..12.79","..13.10","..12.63","..12.80","4,698,145"
01/31/2023,"..13.40","..13.58","..12.72","..12.79","4,612,700"
01/30/2023,"..13.65","..14.10","..13.40","..13.40","10,138,860"
01/25/2023,"..12.80","..13.55","..12.93","..13.41","5,739,565"
01/24/2023,"..12.90","..13.07","..12.75","..12.80","1,513,749"
01/23/2023,"..13.03","..13.19","..12.80","..12.90","3,108,464"
01/19/2023,"..12.84","..13.19","..12.65","..12.76","3,327,040"
01/18/2023,"..13.40","..13.63","..12.84","..12.84","2,991,921"
01/17/2023,"..13.55","..13.80","..13.35","..13.40","3,315,405"
01/16/2023,"..13.42","..13.99","..13.55","..13.55","6,487,568"
01/12/2023,"..12.89","..13.32","..12.60","..12.75","4,029,478"
01/11/2023,"..12.89","..13.85","..12.81","..12.89","6,022,046"
01/10/2023,"..13.60","..13.72","..12.83","..12.89","6,347,192"
01/09/2023,"..13.62","..14.20","..13.51","..13.60","4,774,186"
01/05/2023,"..13.00","..13.95","..13.17","..13.62","10,769,750"
01/04/2023,"..12.40","..13.08","..11.74","..13.00","11,528,200"
01/03/2023,"..12.11","..12.61","..12.20","..12.40","3,904,808"
01/02/2023,"..12.00","..12.24","..11.80","..12.11","2,740,137"
12/29/2022,"..12.21","..12.35","..11.90","..12.00","2,410,641"
12/28/2022,"..11.89","..12.25","..11.85","..12.21","2,314,972"
12/27/2022,"..11.68","..12.01","..11.55","..11.89","2,969,940"
12/26/2022,"..10.80","..11.68","..10.91","..11.68","2,642,397"
12/22/2022,"..11.63","..11.84","..11.23","..11.27","1,680,096"
12/21/2022,"..11.62","..11.93","..11.45","..11.63","2,306,416"
12/20/2022,"..12.09","..12.40","..11.60","..11.62","3,071,820"
12/19/2022,"..11.93","..12.22","..11.51","..12.09","2,809,385"
12/15/2022,"..12.67","..13.04","..12.10","..12.25","4,485,865"
12/14/2022,"..12.46","..12.96","..12.25","..12.67","6,030,806"
12/13/2022,"..11.96","..12.70","..12.01","..12.46","4,125,885"
12/12/2022,"..11.96","..12.10","..11.25","..11.96","4,611,342"
12/08/2022,"..11.83","..12.73","..11.50","..12.54","5,916,337"
12/07/2022,"..11.32","..12.20","..11.51","..11.83","5,776,165"
12/06/2022,"..10.35","..11.88","..10.30","..11.32","15,714,890"
12/05/2022,"..9.97","..10.35","..9.98","..10.35","9,650,733"
12/01/2022,"..9.25","..9.50","..9.23","..9.49","3,497,058"
11/30/2022,"..9.40","..9.55","..9.20","..9.25","4,092,208"
11/29/2022,"..9.40","..9.61","..9.32","..9.40","4,707,569"
11/28/2022,"..9.48","..9.50","..9.17","..9.40","3,267,490"
11/24/2022,"..8.70","..9.10","..8.69","..9.04","3,589,488"
