Date,Open,High,Low,Close,Volume
09/21/2023,"..3.85","..3.98","..3.85","..3.87","214,000"
09/20/2023,"..3.90","..3.89","..3.85","..3.85","1,947,861"
09/19/2023,"..3.87","..3.90","..3.86","..3.90","245,161"
09/18/2023,"..3.99","..3.99","..3.85","..3.87","286,824"
09/14/2023,"..3.85","..4.00","..3.80","..3.99","4,561,080"
09/13/2023,"..3.85","..3.89","..3.80","..3.85","219,591"
09/12/2023,"..3.85","..3.89","..3.85","..3.85","106,887"
09/11/2023,"..3.90","..3.90","..3.80","..3.85","2,003,053"
09/07/2023,"..3.71","..4.00","..3.70","..3.90","765,060"
09/06/2023,"..3.71","..3.96","..3.77","..3.71","22,681"
09/05/2023,"..3.71","..3.99","..3.75","..3.71","68,978"
09/04/2023,"..3.71","..3.80","..3.75","..3.71","68,762"
08/31/2023,"..3.77","..3.79","..3.71","..3.71","178,810"
08/30/2023,"..3.77","..3.77","..3.72","..3.77","3,046"
08/29/2023,"..3.77","..3.77","..3.70","..3.77","24,513"
08/28/2023,"..3.77","..3.81","..3.71","..3.77","78,075"
08/24/2023,"..3.80","..3.80","..3.70","..3.77","84,362"
08/23/2023,"..3.83","..3.98","..3.78","..3.80","273,927"
08/22/2023,"..3.70","..4.28","..3.56","..3.83","3,447,305"
08/21/2023,"..3.70","..3.75","..3.66","..3.70","68,141"
08/17/2023,"..3.71","..3.79","..3.60","..3.71","2,428,769"
08/16/2023,"..3.75","..3.75","..3.70","..3.71","1,179,774"
08/15/2023,"..3.73","..3.79","..3.71","..3.75","169,244"
08/14/2023,"..3.76","..3.76","..3.70","..3.73","137,054"
08/10/2023,"..3.76","..3.76","..3.70","..3.76","33,437"
08/09/2023,"..3.76","..3.80","..3.70","..3.76","17,641"
08/08/2023,"..3.76","..3.76","..3.71","..3.76","34,863"
08/07/2023,"..3.72","..3.85","..3.72","..3.76","503,021"
08/03/2023,"..3.72","..3.75","..3.60","..3.72","26,908"
08/02/2023,"..3.79","..3.80","..3.70","..3.72","114,743"
08/01/2023,"..3.93","..3.92","..3.77","..3.79","342,812"
07/31/2023,"..3.93","..3.92","..3.82","..3.93","51,194"
07/27/2023,"..3.93","..3.95","..3.81","..3.93","31,255"
07/26/2023,"..3.92","..3.97","..3.90","..3.93","76,695"
07/25/2023,"..3.89","..3.95","..3.89","..3.92","77,955"
07/24/2023,"..3.85","..3.90","..3.85","..3.89","2,042,407"
07/19/2023,"..3.85","..3.90","..3.83","..3.85","77,852"
07/18/2023,"..3.90","..3.99","..3.80","..3.85","652,856"
07/17/2023,"..4.00","..4.00","..3.82","..3.90","186,780"
07/13/2023,"..3.83","..3.90","..3.85","..3.85","825,212"
07/12/2023,"..3.83","..3.89","..3.78","..3.83","41,746"
07/11/2023,"..3.81","..3.90","..3.75","..3.83","100,586"
07/10/2023,"..3.82","..3.87","..3.73","..3.81","120,543"
07/06/2023,"..3.85","..3.90","..3.81","..3.85","516,943"
07/05/2023,"..3.89","..3.92","..3.83","..3.85","98,414"
07/04/2023,"..3.86","..3.95","..3.85","..3.89","287,498"
