Date,Open,High,Low,Close,Volume
09/21/2023,"..1.85","..1.85","..1.73","..1.85","92,983"
09/20/2023,"..1.85","..1.84","..1.75","..1.85","99,060"
09/19/2023,"..1.87","..1.85","..1.80","..1.85","927,401"
09/18/2023,"..1.87","..1.83","..1.80","..1.87","42,000"
09/14/2023,"..1.87","..1.84","..1.80","..1.87","96,955"
09/13/2023,"..1.87","..1.84","..1.80","..1.87","42,000"
09/12/2023,"..1.87","..1.85","..1.80","..1.87","81,961"
09/11/2023,"..1.87","..1.90","..1.82","..1.87","67,837"
09/07/2023,"..1.87","..1.84","..1.80","..1.87","72,000"
09/06/2023,"..1.87","..1.86","..1.82","..1.87","133,352"
09/05/2023,"..1.81","..1.90","..1.81","..1.87","184,081"
09/04/2023,"..1.81","..1.82","..1.78","..1.81","76,690"
08/31/2023,"..1.86","..1.85","..1.80","..1.81","271,471"
08/30/2023,"..1.82","..1.99","..1.80","..1.86","962,571"
08/29/2023,"..1.72","..1.87","..1.74","..1.82","428,006"
08/28/2023,"..1.72","..1.72","..1.65","..1.72","81,507"
08/24/2023,"..1.72","..1.75","..1.70","..1.72","54,624"
08/23/2023,"..1.75","..1.76","..1.70","..1.72","180,765"
08/22/2023,"..1.75","..1.79","..1.70","..1.75","268,354"
08/21/2023,"..1.75","..1.70","..1.66","..1.75","35,501"
08/17/2023,"..1.75","..1.68","..1.68","..1.75","228"
08/16/2023,"..1.75","..1.68","..1.68","..1.75","21,000"
08/15/2023,"..1.75","..1.72","..1.72","..1.75","228"
08/14/2023,"..1.75","..1.72","..1.66","..1.75","25,000"
08/10/2023,"..1.75","..1.70","..1.67","..1.75","40,727"
08/09/2023,"..1.75","..1.75","..1.69","..1.75","46,765"
08/08/2023,"..1.75","..1.72","..1.68","..1.75","58,997"
08/07/2023,"..1.75","..1.72","..1.70","..1.75","41,883"
08/03/2023,"..1.75","..1.73","..1.70","..1.75","19,775"
08/02/2023,"..1.75","..1.75","..1.69","..1.75","32,013"
08/01/2023,"..1.75","..1.76","..1.70","..1.75","115,408"
07/31/2023,"..1.75","..1.73","..1.68","..1.75","3,033"
07/27/2023,"..1.75","..1.75","..1.68","..1.75","22,452"
07/26/2023,"..1.75","..1.66","..1.65","..1.75","14,000"
07/25/2023,"..1.75","..1.67","..1.64","..1.75","26,000"
07/24/2023,"..1.75","..1.70","..1.66","..1.75","25,876"
07/19/2023,"..1.75","..1.68","..1.65","..1.75","8,091"
07/18/2023,"..1.75","..1.68","..1.66","..1.75","33,866"
07/13/2023,"..1.75","..1.75","..1.62","..1.75","134,399"
07/12/2023,"..1.75","..1.75","..1.65","..1.75","37,345"
07/11/2023,"..1.75","..1.70","..1.64","..1.75","53,132"
07/10/2023,"..1.75","..1.68","..1.61","..1.75","23,413"
07/06/2023,"..1.75","..1.76","..1.68","..1.75","11,123"
07/05/2023,"..1.75","..1.71","..1.70","..1.75","13,468"
07/04/2023,"..1.75","..1.78","..1.76","..1.75","6,800"
06/26/2023,"..1.75","..1.75","..1.68","..1.75","23,602"
06/22/2023,"..1.75","..1.75","..1.70","..1.75","35,720"
06/21/2023,"..1.75","..1.75","..1.71","..1.75","51,216"
06/20/2023,"..1.75","..1.74","..1.71","..1.75","43,653"
06/19/2023,"..1.75","..1.75","..1.73","..1.75","23,447"
06/15/2023,"..1.75","..1.75","..1.73","..1.75","46,045"
06/14/2023,"..1.75","..1.81","..1.73","..1.75","69,462"
06/13/2023,"..1.75","..1.78","..1.73","..1.75","33,138"
06/12/2023,"..1.75","..1.78","..1.73","..1.75","18,276"
06/08/2023,"..1.75","..1.75","..1.70","..1.75","20,789"
06/07/2023,"..1.75","..1.81","..1.73","..1.75","144,494"
06/06/2023,"..1.75","..1.78","..1.75","..1.75","225,246"
06/05/2023,"..1.75","..1.83","..1.77","..1.75","50,164"
06/01/2023,"..1.84","..1.82","..1.70","..1.75","211,719"
05/31/2023,"..1.84","..1.80","..1.80","..1.84","19,064"
05/30/2023,"..1.84","..1.86","..1.80","..1.84","127,326"
05/29/2023,"..1.84","..1.86","..1.80","..1.84","83,422"
05/25/2023,"..1.74","..1.76","..1.76","..1.74","4,075"
05/24/2023,"..1.74","..1.78","..1.75","..1.74","77,624"
05/23/2023,"..1.74","..1.74","..1.74","..1.74","16,202"
05/22/2023,"..1.74","..1.77","..1.75","..1.74","23,694"
05/18/2023,"..1.74","..1.74","..1.68","..1.74","13,000"
05/17/2023,"..1.74","..1.75","..1.74","..1.74","77,415"
05/16/2023,"..1.74","..1.76","..1.74","..1.74","43,182"
05/15/2023,"..1.74","..1.81","..1.75","..1.74","66,062"
05/11/2023,"..1.74","..1.84","..1.77","..1.74","29,362"
05/10/2023,"..1.74","..1.80","..1.77","..1.74","134,550"
05/09/2023,"..1.74","..1.78","..1.77","..1.74","135,500"
05/08/2023,"..1.74","..1.77","..1.74","..1.74","119,197"
05/03/2023,"..1.74","..1.77","..1.71","..1.74","22,600"
05/02/2023,"..1.74","..1.79","..1.74","..1.74","89,670"
05/01/2023,"..1.79","..1.82","..1.72","..1.74","262,457"
04/27/2023,"..1.95","..1.87","..1.80","..1.84","256,109"
04/26/2023,"..1.95","..1.89","..1.85","..1.95","64,206"
04/18/2023,"..1.95","..1.82","..1.77","..1.95","22,040"
04/13/2023,"..1.95","..1.92","..1.88","..1.95","10,000"
04/12/2023,"..1.95","..1.85","..1.81","..1.95","33,900"
04/11/2023,"..1.95","..1.86","..1.86","..1.95","3,032"
04/10/2023,"..1.95","..1.95","..1.80","..1.95","65,310"
04/06/2023,"..1.95","..1.86","..1.84","..1.95","34,528"
04/05/2023,"..1.95","..1.90","..1.86","..1.95","16,016"
04/04/2023,"..1.95","..1.94","..1.86","..1.95","24,248"
04/03/2023,"..1.95","..1.85","..1.80","..1.95","8,459"
03/30/2023,"..1.95","..1.85","..1.77","..1.95","24,549"
03/29/2023,"..1.95","..1.81","..1.80","..1.95","5,000"
03/28/2023,"..1.95","..1.80","..1.80","..1.95","1,491"
03/27/2023,"..1.95","..1.81","..1.80","..1.95","14,000"
03/22/2023,"..1.95","..1.95","..1.76","..1.95","3,003"
03/21/2023,"..1.95","..1.95","..1.88","..1.95","90,000"
03/20/2023,"..1.95","..1.85","..1.77","..1.95","112,736"
03/16/2023,"..1.95","..1.67","..1.56","..1.95","186,580"
03/15/2023,"..1.95","..1.95","..1.57","..1.95","34,218"
03/14/2023,"..1.95","..1.87","..1.80","..1.95","23,532"
03/13/2023,"..1.95","..1.90","..1.72","..1.95","82,470"
03/09/2023,"..1.95","..1.97","..1.90","..1.95","21,933"
03/08/2023,"..1.95","..1.97","..1.86","..1.95","67,500"
03/07/2023,"..1.95","..2.00","..1.91","..1.95","23,003"
03/06/2023,"..1.95","..2.00","..1.93","..1.95","30,100"
03/02/2023,"..1.95","..2.00","..1.94","..1.95","38,850"
03/01/2023,"..1.95","..2.00","..1.93","..1.95","41,436"
02/28/2023,"..1.95","..1.95","..1.93","..1.95","3,400"
02/27/2023,"..1.95","..1.99","..1.95","..1.95","61,059"
02/23/2023,"..1.95","..2.00","..1.91","..1.95","52,029"
02/22/2023,"..1.95","..1.98","..1.92","..1.95","40,076"
02/21/2023,"..1.95","..1.97","..1.92","..1.95","37,130"
02/20/2023,"..1.95","..1.98","..1.93","..1.95","23,756"
02/16/2023,"..1.95","..1.98","..1.90","..1.95","68,142"
02/15/2023,"..1.95","..1.99","..1.90","..1.95","109,096"
02/14/2023,"..2.12","..2.00","..1.90","..1.95","214,167"
02/13/2023,"..2.12","..2.00","..1.93","..2.12","20,384"
02/09/2023,"..2.12","..1.95","..1.90","..2.12","23,400"
02/08/2023,"..2.12","..1.95","..1.88","..2.12","49,845"
02/07/2023,"..2.12","..2.00","..1.86","..2.12","68,800"
02/06/2023,"..2.12","..1.95","..1.90","..2.12","26,861"
02/02/2023,"..2.12","..1.99","..1.91","..2.12","62,865"
02/01/2023,"..2.12","..2.05","..1.96","..2.12","4,303"
01/31/2023,"..2.12","..2.02","..1.99","..2.12","44,100"
01/30/2023,"..2.12","..2.13","..2.01","..2.12","72,154"
01/25/2023,"..2.12","..2.20","..2.07","..2.12","131,877"
01/24/2023,"..2.27","..2.26","..2.07","..2.12","156,444"
01/23/2023,"..2.19","..2.31","..2.18","..2.27","397,298"
01/19/2023,"..2.01","..2.24","..2.00","..2.21","897,334"
01/18/2023,"..2.00","..2.05","..1.95","..2.01","174,772"
01/17/2023,"..2.00","..2.00","..1.99","..2.00","187,698"
01/16/2023,"..1.96","..2.03","..1.98","..2.00","235,936"
01/12/2023,"..2.00","..1.95","..1.95","..2.00","15,000"
01/11/2023,"..2.00","..2.00","..1.95","..2.00","126,595"
01/10/2023,"..2.00","..1.97","..1.92","..2.00","51,000"
01/09/2023,"..2.00","..2.04","..1.97","..2.00","393,694"
01/05/2023,"..2.03","..2.03","..1.96","..2.00","532,786"
01/04/2023,"..2.02","..2.05","..1.94","..2.03","154,539"
01/03/2023,"..1.94","..2.03","..1.98","..2.02","366,197"
01/02/2023,"..1.94","..1.94","..1.91","..1.94","50,663"
12/29/2022,"..1.94","..1.90","..1.85","..1.94","57,044"
12/28/2022,"..1.94","..1.92","..1.88","..1.94","50,080"
12/27/2022,"..1.94","..1.94","..1.87","..1.94","57,534"
12/26/2022,"..1.94","..1.90","..1.84","..1.94","43,400"
12/22/2022,"..1.94","..1.94","..1.88","..1.94","47,985"
12/21/2022,"..1.94","..1.95","..1.89","..1.94","47,680"
12/20/2022,"..1.94","..1.93","..1.91","..1.94","6,956"
12/19/2022,"..1.94","..1.90","..1.87","..1.94","30,120"
12/15/2022,"..1.94","..1.95","..1.93","..1.94","63,860"
12/14/2022,"..1.92","..1.98","..1.92","..1.94","214,650"
12/13/2022,"..1.93","..1.95","..1.90","..1.92","177,941"
12/12/2022,"..1.93","..1.93","..1.82","..1.93","37,527"
12/08/2022,"..1.90","..2.00","..1.88","..1.96","434,867"
12/07/2022,"..1.91","..1.92","..1.90","..1.90","182,991"
12/06/2022,"..1.92","..1.94","..1.89","..1.91","280,516"
12/05/2022,"..1.91","..1.97","..1.90","..1.92","567,758"
12/01/2022,"..1.91","..1.93","..1.89","..1.91","72,300"
11/30/2022,"..1.91","..1.94","..1.89","..1.91","68,134"
11/29/2022,"..1.89","..1.93","..1.88","..1.91","161,549"
11/28/2022,"..1.85","..1.90","..1.87","..1.89","275,096"
11/24/2022,"..1.82","..1.87","..1.83","..1.82","42,362"
11/23/2022,"..1.82","..1.85","..1.82","..1.82","97,027"
11/22/2022,"..1.85","..1.85","..1.81","..1.82","212,335"
11/21/2022,"..1.81","..1.85","..1.77","..1.85","169,932"
11/17/2022,"..1.78","..1.81","..1.77","..1.79","366,652"
11/16/2022,"..1.75","..1.79","..1.74","..1.78","313,097"
11/15/2022,"..1.75","..1.75","..1.71","..1.75","44,272"
11/14/2022,"..1.75","..1.74","..1.72","..1.75","157,075"
11/10/2022,"..1.75","..1.75","..1.72","..1.75","82,902"
11/09/2022,"..1.75","..1.74","..1.68","..1.75","79,146"
11/08/2022,"..1.75","..1.72","..1.70","..1.75","121,400"
11/07/2022,"..1.75","..1.76","..1.72","..1.75","66,837"
11/03/2022,"..1.72","..1.76","..1.71","..1.72","45,005"
11/02/2022,"..1.79","..1.77","..1.70","..1.72","380,873"
11/01/2022,"..1.79","..1.75","..1.70","..1.79","30,665"
10/31/2022,"..1.79","..1.72","..1.67","..1.79","35,000"
10/27/2022,"..1.79","..1.79","..1.73","..1.79","96,362"
10/26/2022,"..1.79","..1.72","..1.70","..1.79","145,812"
10/25/2022,"..1.79","..1.75","..1.72","..1.79","75,085"
10/24/2022,"..1.79","..1.79","..1.73","..1.79","94,710"
10/20/2022,"..1.75","..1.82","..1.72","..1.79","508,255"
10/19/2022,"..1.75","..1.75","..1.71","..1.75","82,650"
10/18/2022,"..1.75","..1.77","..1.73","..1.75","36,384"
10/17/2022,"..1.75","..1.79","..1.72","..1.75","118,000"
10/13/2022,"..1.74","..1.74","..1.65","..1.74","64,091"
10/12/2022,"..1.74","..1.74","..1.68","..1.74","10,610"
10/11/2022,"..1.74","..1.73","..1.67","..1.74","158,500"
10/10/2022,"..1.74","..1.77","..1.72","..1.74","138,588"
10/05/2022,"..1.74","..1.79","..1.75","..1.74","97,700"
10/04/2022,"..1.74","..1.80","..1.75","..1.74","35,370"
10/03/2022,"..1.83","..1.84","..1.72","..1.74","267,369"
09/29/2022,"..1.83","..1.91","..1.80","..1.83","180,930"
09/28/2022,"..1.83","..2.01","..1.83","..1.83","281,322"
09/27/2022,"..1.82","..1.90","..1.82","..1.83","293,964"
09/26/2022,"..1.80","..1.87","..1.80","..1.82","197,312"
09/22/2022,"..1.79","..1.86","..1.71","..1.80","302,741"
