Date,Open,High,Low,Close,Volume
09/21/2023,"..12.89","..13.76","..12.80","..13.68","5,838,381"
09/20/2023,"..13.00","..13.64","..12.62","..12.89","4,737,165"
09/19/2023,"..13.35","..13.74","..13.00","..13.00","4,415,927"
09/18/2023,"..13.60","..13.83","..13.25","..13.35","2,560,833"
09/14/2023,"..11.83","..14.19","..11.80","..13.21","11,163,070"
09/13/2023,"..11.43","..11.85","..11.37","..11.83","2,723,920"
09/12/2023,"..11.57","..11.74","..11.28","..11.43","1,914,065"
09/11/2023,"..11.40","..11.85","..11.45","..11.57","5,173,495"
09/07/2023,"..11.22","..11.59","..11.15","..11.36","2,247,770"
09/06/2023,"..11.44","..11.47","..11.05","..11.22","1,742,889"
09/05/2023,"..11.30","..11.88","..11.33","..11.44","6,679,006"
09/04/2023,"..10.76","..11.38","..10.70","..11.30","9,497,088"
08/31/2023,"..10.77","..10.95","..10.70","..10.90","5,901,982"
08/30/2023,"..10.68","..10.90","..10.68","..10.77","12,535,160"
08/29/2023,"..10.60","..10.85","..10.56","..10.68","3,606,811"
08/28/2023,"..10.60","..10.65","..10.50","..10.60","4,895,010"
08/24/2023,"..10.30","..10.51","..10.21","..10.30","5,306,398"
08/23/2023,"..10.06","..10.35","..10.10","..10.30","4,484,669"
08/22/2023,"..9.63","..10.10","..9.61","..10.06","8,724,939"
08/21/2023,"..9.62","..9.70","..9.50","..9.63","1,171,273"
08/17/2023,"..9.66","..9.68","..9.25","..9.31","1,705,882"
08/16/2023,"..9.69","..9.75","..9.61","..9.66","597,645"
08/15/2023,"..9.48","..9.70","..9.42","..9.69","1,396,556"
08/14/2023,"..9.51","..9.63","..9.46","..9.48","963,852"
08/10/2023,"..9.47","..9.52","..9.40","..9.42","459,022"
08/09/2023,"..9.51","..9.63","..9.41","..9.47","980,733"
08/08/2023,"..9.38","..9.63","..9.30","..9.51","2,255,155"
08/07/2023,"..9.30","..9.39","..9.21","..9.38","728,659"
08/03/2023,"..9.10","..9.19","..9.02","..9.16","241,487"
08/02/2023,"..9.05","..9.17","..9.05","..9.10","879,569"
08/01/2023,"..9.38","..9.45","..9.00","..9.05","2,947,029"
07/31/2023,"..9.30","..9.38","..9.22","..9.38","638,459"
07/27/2023,"..8.92","..9.05","..8.92","..9.00","1,411,149"
07/26/2023,"..9.04","..9.10","..8.91","..8.92","388,961"
07/25/2023,"..9.13","..9.25","..9.02","..9.04","638,806"
07/24/2023,"..9.32","..9.40","..9.12","..9.13","610,784"
07/19/2023,"..9.31","..9.46","..9.28","..9.32","1,934,110"
07/18/2023,"..9.25","..9.32","..9.20","..9.31","1,111,540"
07/17/2023,"..9.10","..9.27","..9.10","..9.25","1,537,803"
07/13/2023,"..9.16","..9.25","..9.01","..9.01","867,237"
07/12/2023,"..8.66","..9.36","..8.88","..9.16","5,474,480"
07/11/2023,"..8.50","..8.70","..8.47","..8.66","2,202,617"
07/10/2023,"..8.44","..8.60","..8.42","..8.50","1,923,946"
07/06/2023,"..8.89","..8.94","..8.73","..8.76","1,667,474"
07/05/2023,"..8.92","..9.03","..8.85","..8.89","3,414,664"
07/04/2023,"..9.00","..9.11","..8.92","..8.92","1,832,123"
06/26/2023,"..8.93","..9.08","..8.87","..9.00","7,752,065"
06/22/2023,"..9.09","..9.09","..8.90","..9.00","1,922,951"
06/21/2023,"..9.11","..9.11","..8.88","..9.09","3,184,627"
06/20/2023,"..9.18","..9.30","..9.05","..9.11","2,288,780"
