Date,Open,High,Low,Close,Volume
09/21/2023,"0.03","0.03","0.03","0.03","20,111"
09/20/2023,"0.03","0.03","0.03","0.03","20,900"
09/19/2023,"0.03","0.03","0.03","0.03","37,400"
09/18/2023,"0.03","0.03","0.03","0.03","134,933"
09/13/2023,"0.03","0.03","0.03","0.03","74,234"
09/12/2023,"0.03","0.03","0.03","0.03","12,500"
09/07/2023,"0.03","0.03","0.03","0.03","60,000"
09/06/2023,"0.03","0.03","0.03","0.03","3,772"
09/04/2023,"0.03","0.03","0.03","0.03","26,400"
08/31/2023,"0.03","0.03","0.03","0.03","4,950"
08/29/2023,"0.03","0.03","0.03","0.03","42,432"
08/28/2023,"0.03","0.03","0.03","0.03","2,000"
08/24/2023,"0.03","0.03","0.03","0.03","54,611"
08/23/2023,"0.03","0.03","0.03","0.03","82,528"
08/22/2023,"0.03","0.03","0.03","0.03","26,755"
08/17/2023,"0.03","0.03","0.03","0.03","250"
08/16/2023,"0.03","0.03","0.03","0.03","111,000"
08/15/2023,"0.03","0.03","0.03","0.03","24,899"
08/14/2023,"0.03","0.03","0.03","0.03","160,855"
08/10/2023,"0.03","0.03","0.03","0.03","150,412"
08/09/2023,"0.03","0.03","0.03","0.03","21,928"
08/08/2023,"0.03","0.03","0.03","0.03","31,000"
08/07/2023,"0.03","0.03","0.03","0.03","96,137"
08/02/2023,"0.03","0.03","0.03","0.03","51,500"
07/31/2023,"0.03","0.03","0.03","0.03","3,800"
07/27/2023,"0.03","0.03","0.03","0.03","13,299"
07/26/2023,"0.03","0.03","0.03","0.03","124,951"
07/25/2023,"0.03","0.03","0.03","0.03","22,000"
07/24/2023,"0.03","0.03","0.03","0.03","2,000"
07/19/2023,"0.03","0.03","0.03","0.03","26,020"
07/18/2023,"0.03","0.03","0.03","0.03","34,954"
07/17/2023,"0.03","0.03","0.03","0.03","7,333"
07/13/2023,"0.03","0.03","0.03","0.03","39,913"
07/11/2023,"0.03","0.03","0.03","0.03","32,899"
07/10/2023,"0.03","0.03","0.03","0.03","11,692"
07/06/2023,"0.03","0.03","0.03","0.03","17,317"
07/05/2023,"0.03","0.03","0.03","0.03","3,050"
06/22/2023,"0.03","0.03","0.03","0.03","87,931"
06/21/2023,"0.03","0.03","0.03","0.03","388,297"
06/20/2023,"0.03","0.03","0.03","0.03","10,200"
06/13/2023,"0.03","0.03","0.03","0.03","156,672"
06/12/2023,"0.03","0.03","0.03","0.03","1,250"
06/08/2023,"0.03","0.03","0.03","0.03","58,792"
06/07/2023,"0.03","0.03","0.03","0.03","6,474"
06/06/2023,"0.03","0.03","0.03","0.03","10,100"
06/05/2023,"0.03","0.03","0.03","0.03","30,920"
06/01/2023,"0.03","0.03","0.03","0.03","2,500"
05/30/2023,"0.03","0.03","0.03","0.03","46,000"
05/29/2023,"0.03","0.03","0.03","0.03","73,537"
05/25/2023,"0.03","0.03","0.03","0.03","28,963"
05/24/2023,"0.03","0.03","0.03","0.03","29,040"
05/23/2023,"0.03","0.03","0.03","0.03","188,264"
05/22/2023,"0.03","0.03","0.03","0.03","500"
05/18/2023,"0.03","0.03","0.03","0.03","6,401"
05/16/2023,"0.03","0.03","0.03","0.03","100,500"
05/15/2023,"0.03","0.04","0.03","0.03","53,375"
05/11/2023,"0.04","0.04","0.03","0.03","291,297"
05/10/2023,"0.04","0.04","0.03","0.04","61,501"
05/09/2023,"0.04","0.04","0.03","0.04","64,217"
05/08/2023,"0.04","0.03","0.03","0.04","42,795"
05/03/2023,"0.04","0.04","0.03","0.04","39,800"
05/02/2023,"0.04","0.04","0.04","0.04","2,660"
05/01/2023,"0.04","0.04","0.04","0.04","40,050"
04/27/2023,"0.04","0.04","0.03","0.04","61,709"
04/26/2023,"0.04","0.04","0.04","0.04","64,410"
04/19/2023,"0.04","0.04","0.04","0.04","15,000"
04/18/2023,"0.04","0.04","0.03","0.04","26,400"
04/13/2023,"0.04","0.04","0.04","0.04","83,169"
04/12/2023,"0.04","0.04","0.03","0.04","195,445"
04/11/2023,"0.04","0.03","0.03","0.04","6,069"
04/06/2023,"0.04","0.04","0.04","0.04","63,500"
04/05/2023,"0.04","0.04","0.03","0.04","50,000"
04/03/2023,"0.04","0.03","0.03","0.04","9"
03/30/2023,"0.04","0.03","0.03","0.04","11,000"
03/23/2023,"0.04","0.03","0.03","0.04","46,050"
03/22/2023,"0.04","0.04","0.03","0.04","3,705"
03/21/2023,"0.04","0.03","0.03","0.04","6,000"
03/20/2023,"0.04","0.04","0.03","0.04","50,000"
03/16/2023,"0.04","0.04","0.03","0.04","118,516"
03/15/2023,"0.04","0.03","0.03","0.04","87,828"
03/14/2023,"0.04","0.04","0.03","0.04","92,999"
03/09/2023,"0.04","0.04","0.03","0.04","17,351"
03/08/2023,"0.04","0.04","0.04","0.04","26,000"
03/07/2023,"0.04","0.04","0.04","0.04","103,239"
03/02/2023,"0.04","0.04","0.04","0.04","20,710"
02/28/2023,"0.04","0.04","0.04","0.04","96,202"
02/27/2023,"0.04","0.04","0.04","0.04","66,671"
02/22/2023,"0.04","0.04","0.04","0.04","30,317"
02/21/2023,"0.04","0.04","0.04","0.04","50,006"
02/20/2023,"0.04","0.04","0.04","0.04","49,861"
02/14/2023,"0.04","0.04","0.04","0.04","1,409"
02/09/2023,"0.04","0.04","0.04","0.04","50,600"
02/08/2023,"0.04","0.04","0.04","0.04","82,720"
02/07/2023,"0.04","0.04","0.04","0.04","60,850"
02/06/2023,"0.04","0.04","0.04","0.04","86,252"
02/02/2023,"0.04","0.04","0.04","0.04","14,039"
02/01/2023,"0.04","0.04","0.04","0.04","6,423"
01/31/2023,"0.04","0.04","0.04","0.04","5,577"
01/30/2023,"0.04","0.04","0.04","0.04","119,789"
01/25/2023,"0.04","0.04","0.04","0.04","9,989"
01/24/2023,"0.04","0.04","0.04","0.04","96,459"
01/23/2023,"0.04","0.04","0.04","0.04","59,553"
01/19/2023,"0.04","0.04","0.04","0.04","150,800"
01/18/2023,"0.04","0.04","0.04","0.04","31,460"
01/17/2023,"0.04","0.04","0.04","0.04","30,000"
01/16/2023,"0.04","0.04","0.04","0.04","8,800"
01/12/2023,"0.05","0.04","0.04","0.04","578,452"
01/11/2023,"0.05","0.04","0.04","0.05","19,627"
01/10/2023,"0.05","0.04","0.04","0.05","78,050"
01/09/2023,"0.05","0.04","0.04","0.05","55,414"
01/03/2023,"0.05","0.04","0.04","0.05","18,424"
01/02/2023,"0.05","0.04","0.04","0.05","1,000"
12/29/2022,"0.05","0.04","0.04","0.05","183,897"
12/28/2022,"0.05","0.04","0.04","0.05","76,280"
12/26/2022,"0.05","0.04","0.04","0.05","85,069"
12/22/2022,"0.05","0.04","0.04","0.05","124,900"
12/20/2022,"0.05","0.04","0.04","0.05","3,120"
12/15/2022,"0.05","0.04","0.04","0.05","93,603"
12/14/2022,"0.05","0.04","0.04","0.05","20,001"
12/13/2022,"0.05","0.04","0.04","0.05","117,930"
12/12/2022,"0.05","0.04","0.04","0.05","176,733"
12/08/2022,"0.05","0.04","0.04","0.05","83,085"
12/07/2022,"0.05","0.04","0.04","0.05","29,017"
12/06/2022,"0.05","0.04","0.04","0.05","34,031"
12/05/2022,"0.05","0.04","0.04","0.05","50,000"
12/01/2022,"0.05","0.04","0.04","0.05","38,500"
11/30/2022,"0.05","0.04","0.04","0.05","76,909"
11/29/2022,"0.05","0.05","0.04","0.05","211,875"
11/28/2022,"0.05","0.04","0.04","0.05","30,853"
11/24/2022,"0.05","0.05","0.05","0.05","336,875"
11/23/2022,"0.04","0.05","0.04","0.05","882,750"
