Date,Open,High,Low,Close,Volume
09/21/2023,"..0.89","..0.91","..0.87","..0.88","526,097"
09/20/2023,"..0.91","..0.93","..0.88","..0.89","1,289,172"
09/19/2023,"..0.90","..0.93","..0.91","..0.91","1,991,039"
09/18/2023,"..0.88","..0.93","..0.88","..0.90","2,927,009"
09/14/2023,"..0.88","..0.89","..0.87","..0.87","1,463,622"
09/13/2023,"..0.88","..0.89","..0.87","..0.88","263,479"
09/12/2023,"..0.89","..0.90","..0.87","..0.88","460,877"
09/11/2023,"..0.89","..0.90","..0.88","..0.89","112,854"
09/07/2023,"..0.90","..0.91","..0.89","..0.89","416,657"
09/06/2023,"..0.91","..0.93","..0.89","..0.90","679,556"
09/05/2023,"..0.92","..0.93","..0.90","..0.91","796,450"
09/04/2023,"..0.91","..0.92","..0.90","..0.92","723,563"
08/31/2023,"..0.93","..0.96","..0.91","..0.91","1,401,297"
08/30/2023,"..0.88","..0.97","..0.88","..0.93","6,872,455"
08/29/2023,"..0.88","..0.90","..0.88","..0.88","410,513"
08/28/2023,"..0.88","..0.93","..0.87","..0.88","1,553,304"
08/24/2023,"..0.88","..0.90","..0.85","..0.86","769,921"
08/23/2023,"..0.90","..0.93","..0.86","..0.88","2,702,131"
08/22/2023,"..0.86","..0.91","..0.84","..0.90","2,966,604"
08/21/2023,"..0.86","..0.84","..0.83","..0.86","110,894"
08/17/2023,"..0.86","..0.85","..0.83","..0.86","85,914"
08/16/2023,"..0.86","..0.85","..0.84","..0.86","305,666"
08/15/2023,"..0.86","..0.85","..0.83","..0.86","294,535"
08/14/2023,"..0.86","..0.85","..0.84","..0.86","134,042"
08/10/2023,"..0.86","..0.85","..0.84","..0.86","257,079"
08/09/2023,"..0.85","..0.87","..0.84","..0.86","370,297"
08/08/2023,"..0.84","..0.86","..0.82","..0.85","996,279"
08/07/2023,"..0.82","..0.85","..0.83","..0.84","406,831"
08/03/2023,"..0.84","..0.84","..0.82","..0.82","451,934"
08/02/2023,"..0.85","..0.87","..0.81","..0.84","749,345"
08/01/2023,"..0.85","..0.85","..0.83","..0.85","97,618"
07/31/2023,"..0.86","..0.87","..0.83","..0.85","399,932"
07/27/2023,"..0.82","..0.82","..0.81","..0.81","371,506"
07/26/2023,"..0.82","..0.82","..0.81","..0.82","261,659"
07/25/2023,"..0.82","..0.83","..0.81","..0.82","254,649"
07/24/2023,"..0.82","..0.82","..0.82","..0.82","231,430"
07/19/2023,"..0.82","..0.84","..0.82","..0.82","395,794"
07/18/2023,"..0.81","..0.82","..0.81","..0.82","408,817"
07/17/2023,"..0.81","..0.82","..0.81","..0.81","484,223"
07/13/2023,"..0.82","..0.83","..0.81","..0.82","401,987"
07/12/2023,"..0.82","..0.83","..0.81","..0.82","170,567"
07/11/2023,"..0.81","..0.83","..0.81","..0.82","593,296"
07/10/2023,"..0.82","..0.82","..0.79","..0.81","549,869"
07/06/2023,"..0.84","..0.84","..0.83","..0.83","467,661"
07/05/2023,"..0.84","..0.85","..0.83","..0.84","316,607"
07/04/2023,"..0.84","..0.86","..0.83","..0.84","601,168"
06/26/2023,"..0.85","..0.88","..0.83","..0.84","693,126"
06/22/2023,"..0.85","..0.87","..0.84","..0.85","402,324"
06/21/2023,"..0.88","..0.89","..0.84","..0.85","922,654"
06/20/2023,"..0.88","..0.91","..0.88","..0.88","989,177"
06/19/2023,"..0.90","..0.91","..0.88","..0.88","859,496"
06/15/2023,"..0.88","..0.91","..0.87","..0.90","786,239"
06/14/2023,"..0.87","..0.91","..0.87","..0.88","528,254"
06/13/2023,"..0.91","..0.91","..0.87","..0.87","1,667,131"
06/12/2023,"..0.91","..0.93","..0.90","..0.91","404,819"
06/08/2023,"..0.95","..0.95","..0.90","..0.90","2,954,779"
06/07/2023,"..0.90","..0.98","..0.92","..0.95","6,266,092"
06/06/2023,"..0.90","..0.92","..0.89","..0.90","764,653"
06/05/2023,"..0.92","..0.93","..0.89","..0.90","1,226,440"
06/01/2023,"..0.90","..0.91","..0.89","..0.90","583,360"
05/31/2023,"..0.91","..0.92","..0.89","..0.90","1,251,340"
05/30/2023,"..0.92","..0.94","..0.90","..0.91","1,456,753"
05/29/2023,"..0.90","..0.93","..0.90","..0.92","2,836,397"
05/25/2023,"..0.88","..0.89","..0.86","..0.87","578,461"
05/24/2023,"..0.86","..0.89","..0.86","..0.88","1,815,270"
05/23/2023,"..0.85","..0.86","..0.84","..0.86","607,125"
05/22/2023,"..0.82","..0.86","..0.82","..0.85","1,123,486"
05/18/2023,"..0.82","..0.83","..0.81","..0.82","185,203"
05/17/2023,"..0.81","..0.83","..0.81","..0.82","449,027"
05/16/2023,"..0.84","..0.84","..0.81","..0.81","516,135"
05/15/2023,"..0.84","..0.85","..0.83","..0.84","309,994"
05/11/2023,"..0.83","..0.85","..0.82","..0.84","394,626"
05/10/2023,"..0.85","..0.86","..0.82","..0.83","654,576"
05/09/2023,"..0.84","..0.87","..0.84","..0.85","569,341"
05/08/2023,"..0.83","..0.85","..0.83","..0.84","1,131,529"
05/03/2023,"..0.84","..0.84","..0.82","..0.83","582,498"
05/02/2023,"..0.85","..0.85","..0.83","..0.84","761,156"
05/01/2023,"..0.86","..0.88","..0.84","..0.85","696,592"
04/27/2023,"..0.84","..0.87","..0.85","..0.86","1,335,456"
04/26/2023,"..0.84","..0.85","..0.83","..0.84","267,614"
04/19/2023,"..0.84","..0.85","..0.83","..0.84","699,894"
04/18/2023,"..0.84","..0.85","..0.83","..0.84","276,342"
04/13/2023,"..0.85","..0.84","..0.83","..0.84","431,487"
04/12/2023,"..0.85","..0.85","..0.84","..0.85","302,793"
04/11/2023,"..0.83","..0.85","..0.83","..0.85","847,501"
04/10/2023,"..0.83","..0.84","..0.82","..0.83","145,333"
04/06/2023,"..0.82","..0.86","..0.82","..0.83","834,833"
04/05/2023,"..0.81","..0.83","..0.81","..0.82","685,156"
04/04/2023,"..0.79","..0.83","..0.79","..0.81","1,488,426"
04/03/2023,"..0.77","..0.80","..0.77","..0.79","1,141,708"
03/30/2023,"..0.78","..0.79","..0.76","..0.78","311,377"
03/29/2023,"..0.76","..0.79","..0.76","..0.78","1,321,212"
03/28/2023,"..0.77","..0.77","..0.74","..0.76","562,321"
03/27/2023,"..0.77","..0.79","..0.76","..0.77","906,910"
03/23/2023,"..0.73","..0.75","..0.72","..0.73","217,571"
03/22/2023,"..0.75","..0.77","..0.73","..0.73","821,972"
03/21/2023,"..0.72","..0.76","..0.72","..0.75","849,505"
03/20/2023,"..0.69","..0.72","..0.67","..0.72","785,945"
03/16/2023,"..0.71","..0.70","..0.61","..0.68","1,707,237"
03/15/2023,"..0.75","..0.79","..0.70","..0.71","880,693"
03/14/2023,"..0.75","..0.79","..0.72","..0.75","1,064,710"
03/13/2023,"..0.85","..0.86","..0.75","..0.75","1,133,579"
03/09/2023,"..0.88","..0.90","..0.88","..0.89","427,016"
03/08/2023,"..0.90","..0.91","..0.87","..0.88","1,000,070"
03/07/2023,"..0.93","..0.94","..0.87","..0.90","754,035"
03/06/2023,"..0.94","..0.96","..0.92","..0.93","3,369,226"
03/02/2023,"..0.89","..0.91","..0.89","..0.90","1,124,469"
03/01/2023,"..0.90","..0.92","..0.89","..0.89","678,162"
02/28/2023,"..0.90","..0.92","..0.89","..0.90","373,868"
02/27/2023,"..0.90","..0.94","..0.90","..0.90","1,012,610"
02/23/2023,"..0.89","..0.91","..0.87","..0.88","457,693"
02/22/2023,"..0.88","..0.92","..0.88","..0.89","863,275"
02/21/2023,"..0.88","..0.89","..0.87","..0.88","566,909"
02/20/2023,"..0.88","..0.90","..0.87","..0.88","1,019,264"
02/16/2023,"..0.90","..0.91","..0.89","..0.89","771,743"
