Date,Open,High,Low,Close,Volume
09/21/2023,"..135.02","..137.00","..134.99","..135.00","3,602"
09/20/2023,"..135.02","..135.00","..134.00","..135.02","1,074"
09/19/2023,"..132.97","..137.00","..133.03","..135.02","2,415"
09/18/2023,"..132.97","..135.81","..133.11","..132.97","1,077"
09/14/2023,"..132.97","..135.00","..133.00","..132.97","907"
09/13/2023,"..132.97","..136.43","..132.50","..132.97","91"
09/11/2023,"..132.97","..135.00","..130.50","..132.97","174"
09/07/2023,"..123.98","..133.50","..132.51","..132.97","4,082"
09/06/2023,"..123.98","..135.00","..133.00","..123.98","221"
09/05/2023,"..123.98","..136.00","..135.00","..123.98","81"
08/31/2023,"..123.98","..135.75","..135.75","..123.98","25"
08/30/2023,"..123.98","..135.80","..132.02","..123.98","104"
08/29/2023,"..123.98","..135.79","..131.72","..123.98","122"
08/28/2023,"..123.98","..135.80","..135.79","..123.98","18"
08/24/2023,"..123.98","..135.80","..135.80","..123.98","2"
08/17/2023,"..123.98","..133.99","..128.52","..123.98","202"
08/15/2023,"..123.98","..134.00","..134.00","..123.98","1"
08/14/2023,"..123.98","..133.00","..126.02","..123.98","198"
08/10/2023,"..123.98","..132.75","..125.00","..123.98","5"
08/08/2023,"..123.98","..132.99","..124.00","..123.98","318"
08/07/2023,"..123.98","..129.31","..129.31","..123.98","10"
08/03/2023,"..123.98","..129.23","..129.22","..123.98","30"
07/31/2023,"..123.98","..132.50","..131.15","..123.98","171"
07/27/2023,"..123.98","..126.02","..126.02","..123.98","13"
07/26/2023,"..123.98","..130.00","..126.01","..123.98","69"
07/25/2023,"..123.98","..130.00","..127.00","..123.98","89"
07/24/2023,"..123.98","..132.99","..132.98","..123.98","75"
07/19/2023,"..123.98","..124.01","..124.01","..123.98","1"
07/18/2023,"..123.98","..124.50","..123.28","..123.98","56"
07/12/2023,"..123.98","..138.91","..123.80","..123.98","118"
07/11/2023,"..123.98","..120.50","..120.00","..123.98","203"
07/10/2023,"..128.00","..143.90","..100.00","..123.98","695"
07/06/2023,"..123.98","..128.00","..127.50","..123.98","43"
07/05/2023,"..123.98","..127.00","..126.50","..123.98","501"
07/04/2023,"..134.86","..147.99","..126.52","..123.98","1,297"
06/26/2023,"..123.98","..133.99","..130.04","..123.98","51"
06/20/2023,"..123.98","..132.00","..131.47","..123.98","60"
06/15/2023,"..123.98","..132.50","..132.50","..123.98","156"
06/14/2023,"..123.98","..134.98","..131.31","..123.98","70"
06/13/2023,"..123.98","..131.31","..131.31","..123.98","1"
06/12/2023,"..123.98","..131.02","..131.02","..123.98","1"
06/08/2023,"..123.98","..130.75","..130.56","..123.98","52"
06/07/2023,"..123.98","..131.00","..131.00","..123.98","395"
06/06/2023,"..123.98","..130.71","..130.70","..123.98","21"
06/01/2023,"..123.98","..138.90","..128.05","..123.98","183"
05/31/2023,"..123.98","..138.99","..129.25","..123.98","216"
05/30/2023,"..123.98","..130.26","..130.26","..123.98","1"
05/29/2023,"..123.98","..139.89","..130.21","..123.98","492"
05/25/2023,"..123.98","..133.00","..129.04","..123.98","81"
05/24/2023,"..123.98","..133.00","..130.00","..123.98","61"
05/23/2023,"..123.98","..135.00","..128.56","..123.98","37"
05/22/2023,"..123.98","..128.50","..128.03","..123.98","33"
05/18/2023,"..123.98","..143.98","..128.03","..123.98","273"
05/17/2023,"..123.98","..144.25","..135.00","..123.98","10"
05/16/2023,"..123.98","..144.99","..135.01","..123.98","25"
05/15/2023,"..123.98","..140.00","..135.00","..123.98","258"
05/11/2023,"..123.98","..135.00","..135.00","..123.98","39"
05/09/2023,"..123.98","..144.00","..142.00","..123.98","22"
05/08/2023,"..123.98","..145.00","..130.10","..123.98","18"
05/03/2023,"..123.98","..147.89","..141.99","..123.98","124"
05/02/2023,"..123.98","..144.50","..143.00","..123.98","20"
05/01/2023,"..123.98","..147.90","..128.00","..123.98","81"
04/27/2023,"..123.98","..148.00","..124.02","..123.98","495"
04/26/2023,"..123.98","..140.00","..121.03","..123.98","143"
04/19/2023,"..123.98","..126.00","..125.80","..123.98","148"
04/18/2023,"..123.98","..120.02","..118.00","..123.98","39"
04/13/2023,"..123.98","..125.96","..121.03","..123.98","1,020"
04/12/2023,"..123.98","..121.01","..121.00","..123.98","50"
04/11/2023,"..123.98","..121.01","..121.01","..123.98","11"
04/10/2023,"..123.98","..123.98","..118.31","..123.98","502"
04/06/2023,"..123.98","..123.97","..118.15","..123.98","61"
04/05/2023,"..123.98","..123.98","..122.75","..123.98","294"
04/04/2023,"..123.98","..122.75","..122.75","..123.98","4"
04/03/2023,"..123.98","..122.75","..116.67","..123.98","272"
03/30/2023,"..123.98","..122.94","..116.30","..123.98","27"
03/29/2023,"..123.98","..123.00","..116.20","..123.98","19"
03/28/2023,"..123.98","..121.98","..116.00","..123.98","79"
03/20/2023,"..123.98","..123.98","..121.99","..123.98","96"
03/16/2023,"..123.98","..123.98","..116.00","..123.98","776"
03/15/2023,"..123.98","..126.53","..115.72","..123.98","55"
03/14/2023,"..123.98","..148.75","..103.67","..123.98","1,153"
03/13/2023,"..123.98","..119.50","..103.50","..123.98","180"
03/09/2023,"..123.98","..123.97","..116.05","..123.98","243"
03/08/2023,"..123.98","..123.90","..116.60","..123.98","238"
03/07/2023,"..123.98","..123.98","..116.36","..123.98","77"
03/06/2023,"..123.98","..124.00","..116.35","..123.98","68"
03/02/2023,"..123.98","..124.00","..116.09","..123.98","90"
02/27/2023,"..123.98","..121.86","..118.02","..123.98","128"
02/23/2023,"..123.98","..121.89","..115.72","..123.98","82"
02/22/2023,"..123.98","..121.89","..121.70","..123.98","91"
02/21/2023,"..123.98","..121.88","..118.53","..123.98","108"
02/20/2023,"..123.98","..123.00","..118.50","..123.98","68"
02/16/2023,"..123.98","..118.03","..118.00","..123.98","100"
02/15/2023,"..123.98","..120.00","..118.03","..123.98","346"
02/14/2023,"..123.98","..122.00","..120.00","..123.98","46"
02/13/2023,"..123.98","..118.00","..118.00","..123.98","3"
02/09/2023,"..123.98","..122.97","..115.00","..123.98","64"
02/08/2023,"..123.98","..122.95","..122.95","..123.98","40"
02/07/2023,"..123.98","..107.79","..107.79","..123.98","1"
02/06/2023,"..123.98","..123.98","..102.02","..123.98","64"
02/02/2023,"..123.98","..124.49","..119.01","..123.98","37"
02/01/2023,"..123.98","..123.06","..123.06","..123.98","252"
01/30/2023,"..123.98","..120.20","..120.01","..123.98","22"
01/25/2023,"..123.98","..124.90","..123.00","..123.98","1,452"
01/24/2023,"..123.98","..124.90","..119.00","..123.98","307"
01/23/2023,"..123.98","..123.50","..121.76","..123.98","137"
01/19/2023,"..123.98","..125.99","..120.12","..123.98","25"
01/18/2023,"..123.98","..124.00","..121.50","..123.98","52"
01/17/2023,"..123.98","..127.90","..127.90","..123.98","78"
01/16/2023,"..123.98","..129.00","..117.01","..123.98","318"
01/12/2023,"..123.98","..130.00","..120.11","..123.98","102"
01/11/2023,"..123.98","..130.00","..123.98","..123.98","1,302"
01/10/2023,"..123.98","..135.00","..125.50","..123.98","486"
01/09/2023,"..123.98","..135.00","..122.17","..123.98","293"
01/05/2023,"..123.98","..129.00","..121.50","..123.98","754"
01/04/2023,"..117.61","..129.25","..118.25","..123.98","3,417"
01/03/2023,"..117.61","..123.54","..120.51","..117.61","303"
01/02/2023,"..117.61","..123.33","..117.52","..117.61","1,760"
12/29/2022,"..108.19","..123.51","..117.50","..117.61","3,747"
12/28/2022,"..108.19","..124.00","..117.30","..108.19","106"
12/27/2022,"..108.19","..124.50","..117.00","..108.19","1,372"
12/26/2022,"..108.19","..119.10","..117.33","..108.19","299"
12/22/2022,"..108.19","..123.00","..119.10","..108.19","341"
12/21/2022,"..108.19","..119.10","..119.10","..108.19","110"
12/20/2022,"..108.19","..125.00","..119.10","..108.19","40"
12/19/2022,"..108.19","..125.00","..119.10","..108.19","422"
12/15/2022,"..108.19","..128.99","..117.40","..108.19","1,658"
12/14/2022,"..108.19","..120.00","..117.30","..108.19","263"
12/13/2022,"..108.19","..120.00","..116.75","..108.19","2,142"
12/12/2022,"..108.19","..129.00","..119.00","..108.19","433"
12/08/2022,"..108.19","..128.99","..115.02","..108.19","1,040"
12/07/2022,"..108.19","..129.00","..102.21","..108.19","1,957"
12/06/2022,"..90.44","..108.48","..101.56","..108.19","3,337"
12/05/2022,"..90.44","..107.89","..99.05","..90.44","1,566"
12/01/2022,"..90.44","..100.00","..98.01","..90.44","1,457"
11/30/2022,"..90.44","..103.50","..99.11","..90.44","849"
11/29/2022,"..90.44","..104.25","..97.10","..90.44","408"
11/28/2022,"..90.44","..105.56","..90.50","..90.44","615"
11/24/2022,"..90.44","..108.52","..108.05","..90.44","498"
11/23/2022,"..90.44","..108.52","..107.43","..90.44","39"
11/22/2022,"..90.44","..108.52","..108.00","..90.44","2,002"
11/21/2022,"..90.44","..108.52","..107.00","..90.44","196"
11/17/2022,"..90.44","..107.49","..105.07","..90.44","102"
11/16/2022,"..90.44","..107.75","..105.01","..90.44","565"
11/15/2022,"..90.44","..107.47","..102.30","..90.44","538"
11/14/2022,"..90.44","..108.00","..101.00","..90.44","1,459"
11/10/2022,"..90.44","..103.56","..99.50","..90.44","201"
11/09/2022,"..90.44","..103.63","..100.11","..90.44","198"
11/08/2022,"..90.44","..103.64","..100.05","..90.44","158"
11/07/2022,"..90.44","..103.70","..100.00","..90.44","102"
11/03/2022,"..90.44","..104.84","..100.00","..90.44","80"
11/02/2022,"..90.44","..104.99","..99.50","..90.44","33"
11/01/2022,"..90.44","..105.00","..100.00","..90.44","740"
10/31/2022,"..90.44","..105.00","..98.03","..90.44","1,103"
10/27/2022,"..90.44","..101.96","..97.03","..90.44","53"
10/26/2022,"..90.44","..102.00","..97.03","..90.44","165"
10/25/2022,"..90.44","..102.00","..97.06","..90.44","130"
10/24/2022,"..90.44","..102.00","..97.00","..90.44","71"
10/20/2022,"..90.44","..102.00","..102.00","..90.44","3"
10/19/2022,"..90.44","..100.00","..96.65","..90.44","121"
10/18/2022,"..90.44","..100.00","..95.31","..90.44","346"
10/17/2022,"..90.44","..95.14","..95.10","..90.44","11"
10/13/2022,"..90.44","..99.00","..95.03","..90.44","6"
10/12/2022,"..90.44","..95.00","..95.00","..90.44","1"
10/10/2022,"..90.44","..97.76","..95.00","..90.44","54"
10/05/2022,"..90.44","..100.00","..99.45","..90.44","114"
10/03/2022,"..90.44","..99.40","..99.30","..90.44","202"
09/28/2022,"..90.44","..99.69","..92.06","..90.44","554"
09/27/2022,"..90.44","..99.96","..92.08","..90.44","133"
09/26/2022,"..90.44","..99.99","..94.00","..90.44","62"
