Date,Open,High,Low,Close,Volume
09/21/2023,"..0.63","..0.64","..0.62","..0.63","1,647,261"
09/20/2023,"..0.65","..0.65","..0.62","..0.63","4,162,000"
09/19/2023,"..0.65","..0.66","..0.65","..0.65","1,437,301"
09/18/2023,"..0.66","..0.66","..0.65","..0.65","1,618,936"
09/14/2023,"..0.65","..0.67","..0.65","..0.65","4,335,270"
09/13/2023,"..0.64","..0.66","..0.64","..0.65","3,786,350"
09/12/2023,"..0.64","..0.66","..0.64","..0.64","3,600,042"
09/11/2023,"..0.66","..0.67","..0.64","..0.64","6,061,383"
09/07/2023,"..0.66","..0.69","..0.66","..0.67","6,435,872"
09/06/2023,"..0.71","..0.72","..0.66","..0.66","14,644,290"
09/05/2023,"..0.62","..0.73","..0.62","..0.71","50,453,840"
09/04/2023,"..0.61","..0.63","..0.60","..0.62","8,681,193"
08/31/2023,"..0.60","..0.62","..0.60","..0.60","2,445,740"
08/30/2023,"..0.59","..0.61","..0.58","..0.60","4,105,145"
08/29/2023,"..0.59","..0.60","..0.59","..0.59","1,317,548"
08/28/2023,"..0.59","..0.60","..0.58","..0.59","941,418"
08/24/2023,"..0.59","..0.60","..0.59","..0.59","1,092,043"
08/23/2023,"..0.59","..0.61","..0.59","..0.59","3,183,837"
08/22/2023,"..0.60","..0.61","..0.59","..0.59","4,312,148"
08/21/2023,"..0.59","..0.61","..0.59","..0.60","1,247,706"
08/17/2023,"..0.61","..0.61","..0.60","..0.60","975,572"
08/16/2023,"..0.61","..0.62","..0.61","..0.61","824,767"
08/15/2023,"..0.61","..0.62","..0.61","..0.61","1,300,052"
08/14/2023,"..0.61","..0.62","..0.61","..0.61","853,710"
08/10/2023,"..0.62","..0.62","..0.61","..0.62","3,633,295"
08/09/2023,"..0.62","..0.63","..0.62","..0.62","1,657,962"
08/08/2023,"..0.62","..0.64","..0.62","..0.62","6,376,127"
08/07/2023,"..0.63","..0.64","..0.62","..0.62","2,459,745"
08/03/2023,"..0.61","..0.65","..0.61","..0.63","12,518,040"
08/02/2023,"..0.60","..0.62","..0.58","..0.61","3,656,876"
08/01/2023,"..0.60","..0.60","..0.59","..0.60","359,126"
07/31/2023,"..0.60","..0.61","..0.59","..0.60","198,340"
07/27/2023,"..0.58","..0.60","..0.58","..0.60","1,951,591"
07/26/2023,"..0.58","..0.58","..0.57","..0.58","415,232"
07/25/2023,"..0.58","..0.58","..0.57","..0.58","185,805"
07/24/2023,"..0.58","..0.59","..0.58","..0.58","318,262"
07/19/2023,"..0.58","..0.59","..0.58","..0.58","165,189"
07/18/2023,"..0.58","..0.59","..0.58","..0.58","155,205"
07/17/2023,"..0.58","..0.59","..0.58","..0.58","1,071,586"
07/13/2023,"..0.59","..0.59","..0.58","..0.58","605,342"
07/12/2023,"..0.58","..0.59","..0.58","..0.59","620,964"
07/11/2023,"..0.58","..0.59","..0.58","..0.58","311,757"
07/10/2023,"..0.58","..0.58","..0.56","..0.58","577,304"
07/06/2023,"..0.60","..0.60","..0.59","..0.59","1,896,230"
07/05/2023,"..0.60","..0.61","..0.60","..0.60","1,004,236"
07/04/2023,"..0.61","..0.62","..0.60","..0.60","1,031,992"
06/26/2023,"..0.61","..0.62","..0.60","..0.61","2,526,686"
06/22/2023,"..0.60","..0.60","..0.59","..0.60","1,492,826"
06/21/2023,"..0.60","..0.60","..0.60","..0.60","1,034,459"
06/20/2023,"..0.60","..0.60","..0.59","..0.60","1,797,056"
06/19/2023,"..0.60","..0.60","..0.59","..0.60","1,849,745"
06/15/2023,"..0.59","..0.60","..0.59","..0.59","939,501"
06/14/2023,"..0.60","..0.60","..0.59","..0.59","1,462,570"
06/13/2023,"..0.60","..0.60","..0.59","..0.60","2,266,977"
06/12/2023,"..0.60","..0.60","..0.60","..0.60","393,591"
06/08/2023,"..0.61","..0.62","..0.60","..0.60","2,083,272"
06/07/2023,"..0.61","..0.62","..0.61","..0.61","1,883,106"
06/06/2023,"..0.61","..0.62","..0.60","..0.61","2,608,903"
06/05/2023,"..0.61","..0.63","..0.61","..0.61","1,350,930"
06/01/2023,"..0.60","..0.61","..0.59","..0.61","2,331,655"
05/31/2023,"..0.60","..0.62","..0.59","..0.60","2,079,722"
05/30/2023,"..0.60","..0.61","..0.59","..0.60","3,383,019"
05/29/2023,"..0.58","..0.62","..0.58","..0.60","8,976,490"
05/25/2023,"..0.58","..0.58","..0.56","..0.56","2,011,222"
05/24/2023,"..0.58","..0.58","..0.57","..0.58","1,021,738"
05/23/2023,"..0.55","..0.59","..0.55","..0.58","5,371,488"
05/22/2023,"..0.55","..0.56","..0.55","..0.55","941,304"
05/18/2023,"..0.55","..0.56","..0.54","..0.54","1,191,307"
05/17/2023,"..0.55","..0.56","..0.55","..0.55","457,236"
05/16/2023,"..0.56","..0.56","..0.55","..0.55","748,358"
05/15/2023,"..0.56","..0.56","..0.55","..0.56","2,279,168"
05/11/2023,"..0.55","..0.56","..0.55","..0.56","1,488,063"
05/10/2023,"..0.55","..0.56","..0.55","..0.55","671,805"
05/09/2023,"..0.56","..0.57","..0.55","..0.55","1,698,676"
05/08/2023,"..0.56","..0.57","..0.55","..0.56","855,144"
05/03/2023,"..0.55","..0.57","..0.55","..0.56","635,958"
05/02/2023,"..0.55","..0.56","..0.55","..0.55","630,444"
05/01/2023,"..0.58","..0.58","..0.55","..0.55","1,161,017"
04/27/2023,"..0.54","..0.58","..0.54","..0.57","1,745,459"
04/26/2023,"..0.54","..0.55","..0.54","..0.54","901,747"
04/19/2023,"..0.54","..0.56","..0.54","..0.54","1,187,561"
04/18/2023,"..0.54","..0.55","..0.54","..0.54","297,366"
04/13/2023,"..0.54","..0.56","..0.55","..0.54","218,312"
04/12/2023,"..0.54","..0.56","..0.55","..0.54","175,192"
04/11/2023,"..0.54","..0.56","..0.55","..0.54","276,151"
04/10/2023,"..0.54","..0.56","..0.54","..0.54","389,541"
04/06/2023,"..0.56","..0.58","..0.56","..0.56","829,937"
04/05/2023,"..0.56","..0.58","..0.56","..0.56","491,325"
04/04/2023,"..0.56","..0.57","..0.56","..0.56","329,396"
04/03/2023,"..0.55","..0.57","..0.55","..0.56","824,338"
03/30/2023,"..0.53","..0.55","..0.53","..0.53","1,277,554"
03/29/2023,"..0.53","..0.54","..0.53","..0.53","551,470"
03/28/2023,"..0.54","..0.54","..0.53","..0.53","1,221,253"
03/27/2023,"..0.53","..0.55","..0.53","..0.54","1,088,882"
03/23/2023,"..0.53","..0.54","..0.52","..0.53","83,764"
03/22/2023,"..0.53","..0.54","..0.53","..0.53","358,287"
03/21/2023,"..0.51","..0.54","..0.52","..0.53","656,823"
03/20/2023,"..0.51","..0.54","..0.50","..0.51","520,789"
03/16/2023,"..0.53","..0.53","..0.49","..0.51","1,264,174"
03/15/2023,"..0.56","..0.60","..0.49","..0.53","861,670"
