Date,Open,High,Low,Close,Volume
09/21/2023,"..0.48","..0.49","..0.47","..0.48","2,763,340"
09/20/2023,"..0.50","..0.50","..0.48","..0.48","5,294,814"
09/19/2023,"..0.51","..0.52","..0.50","..0.50","6,529,052"
09/18/2023,"..0.53","..0.53","..0.51","..0.51","6,696,949"
09/14/2023,"..0.48","..0.50","..0.47","..0.49","7,238,093"
09/13/2023,"..0.48","..0.49","..0.47","..0.48","2,922,356"
09/12/2023,"..0.49","..0.50","..0.48","..0.48","5,646,727"
09/11/2023,"..0.51","..0.51","..0.48","..0.49","3,930,056"
09/07/2023,"..0.51","..0.52","..0.51","..0.51","2,595,508"
09/06/2023,"..0.52","..0.53","..0.51","..0.51","5,783,629"
09/05/2023,"..0.51","..0.55","..0.52","..0.52","16,731,730"
09/04/2023,"..0.52","..0.53","..0.50","..0.51","7,837,680"
08/31/2023,"..0.48","..0.56","..0.48","..0.54","47,599,898"
08/30/2023,"..0.46","..0.49","..0.46","..0.48","4,363,862"
08/29/2023,"..0.46","..0.47","..0.46","..0.46","1,685,254"
08/28/2023,"..0.46","..0.47","..0.46","..0.46","1,603,988"
08/24/2023,"..0.46","..0.46","..0.45","..0.45","1,215,632"
08/23/2023,"..0.47","..0.48","..0.45","..0.46","3,869,042"
08/22/2023,"..0.45","..0.49","..0.46","..0.47","9,072,951"
08/21/2023,"..0.45","..0.46","..0.45","..0.45","1,824,943"
08/17/2023,"..0.46","..0.46","..0.44","..0.45","1,505,780"
08/16/2023,"..0.46","..0.47","..0.45","..0.46","3,802,066"
08/15/2023,"..0.46","..0.47","..0.46","..0.46","1,938,040"
08/14/2023,"..0.46","..0.47","..0.46","..0.46","1,042,529"
08/10/2023,"..0.48","..0.48","..0.46","..0.47","1,340,966"
08/09/2023,"..0.47","..0.48","..0.47","..0.48","3,559,697"
08/08/2023,"..0.47","..0.48","..0.46","..0.47","3,122,207"
08/07/2023,"..0.47","..0.48","..0.46","..0.47","2,754,864"
08/03/2023,"..0.45","..0.47","..0.45","..0.45","2,067,397"
08/02/2023,"..0.47","..0.48","..0.45","..0.45","3,718,994"
08/01/2023,"..0.47","..0.49","..0.46","..0.47","739,145"
07/31/2023,"..0.48","..0.48","..0.46","..0.47","2,376,789"
07/27/2023,"..0.41","..0.44","..0.41","..0.44","4,327,184"
07/26/2023,"..0.41","..0.42","..0.41","..0.41","310,227"
07/25/2023,"..0.42","..0.43","..0.41","..0.41","1,214,651"
07/24/2023,"..0.42","..0.43","..0.42","..0.42","402,858"
07/19/2023,"..0.42","..0.42","..0.42","..0.42","317,989"
07/18/2023,"..0.42","..0.42","..0.41","..0.42","512,949"
07/17/2023,"..0.42","..0.44","..0.41","..0.42","779,151"
07/13/2023,"..0.41","..0.42","..0.41","..0.41","605,688"
07/12/2023,"..0.42","..0.42","..0.41","..0.41","932,195"
07/11/2023,"..0.41","..0.42","..0.41","..0.42","1,300,183"
07/10/2023,"..0.41","..0.42","..0.39","..0.41","2,046,634"
07/06/2023,"..0.46","..0.46","..0.45","..0.45","956,843"
07/05/2023,"..0.45","..0.47","..0.45","..0.46","2,654,095"
07/04/2023,"..0.45","..0.47","..0.45","..0.45","836,479"
06/26/2023,"..0.45","..0.45","..0.44","..0.45","750,496"
06/22/2023,"..0.45","..0.46","..0.45","..0.46","901,757"
06/21/2023,"..0.46","..0.46","..0.45","..0.45","1,708,336"
06/20/2023,"..0.47","..0.47","..0.46","..0.46","1,553,947"
06/19/2023,"..0.48","..0.48","..0.47","..0.47","1,456,321"
06/15/2023,"..0.48","..0.48","..0.48","..0.48","484,092"
06/14/2023,"..0.47","..0.48","..0.48","..0.48","972,987"
06/13/2023,"..0.48","..0.49","..0.47","..0.47","1,281,751"
06/12/2023,"..0.48","..0.48","..0.47","..0.48","453,014"
06/08/2023,"..0.48","..0.49","..0.48","..0.48","879,514"
06/07/2023,"..0.49","..0.50","..0.48","..0.48","1,674,370"
06/06/2023,"..0.50","..0.51","..0.49","..0.49","2,227,801"
06/05/2023,"..0.50","..0.51","..0.50","..0.50","2,885,255"
06/01/2023,"..0.49","..0.50","..0.48","..0.49","1,506,517"
05/31/2023,"..0.49","..0.50","..0.48","..0.49","1,761,471"
05/30/2023,"..0.50","..0.50","..0.49","..0.49","3,404,330"
05/29/2023,"..0.51","..0.52","..0.50","..0.50","3,616,318"
05/25/2023,"..0.48","..0.48","..0.46","..0.48","3,573,238"
05/24/2023,"..0.44","..0.49","..0.46","..0.48","9,469,386"
05/23/2023,"..0.42","..0.45","..0.42","..0.44","4,658,316"
05/22/2023,"..0.41","..0.44","..0.42","..0.42","3,114,128"
05/18/2023,"..0.42","..0.42","..0.41","..0.41","796,901"
05/17/2023,"..0.42","..0.43","..0.42","..0.42","686,544"
05/16/2023,"..0.42","..0.43","..0.42","..0.42","313,521"
05/15/2023,"..0.43","..0.44","..0.42","..0.42","896,003"
05/11/2023,"..0.43","..0.44","..0.42","..0.43","889,204"
05/10/2023,"..0.44","..0.44","..0.42","..0.43","1,135,360"
05/09/2023,"..0.42","..0.45","..0.42","..0.44","2,895,272"
05/08/2023,"..0.42","..0.43","..0.42","..0.42","785,163"
05/03/2023,"..0.42","..0.43","..0.41","..0.42","356,320"
05/02/2023,"..0.42","..0.45","..0.42","..0.42","627,708"
05/01/2023,"..0.43","..0.43","..0.42","..0.42","991,566"
04/27/2023,"..0.43","..0.45","..0.42","..0.43","596,697"
04/26/2023,"..0.42","..0.45","..0.41","..0.43","892,624"
04/19/2023,"..0.42","..0.43","..0.41","..0.42","992,483"
04/18/2023,"..0.46","..0.45","..0.42","..0.42","1,028,520"
04/13/2023,"..0.46","..0.46","..0.43","..0.46","523,050"
04/12/2023,"..0.46","..0.46","..0.43","..0.46","570,938"
04/11/2023,"..0.45","..0.49","..0.45","..0.46","2,223,111"
04/10/2023,"..0.44","..0.47","..0.43","..0.45","3,451,315"
04/06/2023,"..0.43","..0.45","..0.43","..0.43","1,931,615"
04/05/2023,"..0.42","..0.44","..0.42","..0.43","1,465,188"
04/04/2023,"..0.40","..0.42","..0.39","..0.42","758,834"
04/03/2023,"..0.39","..0.40","..0.39","..0.40","1,393,887"
03/30/2023,"..0.41","..0.41","..0.39","..0.39","932,116"
03/29/2023,"..0.41","..0.41","..0.40","..0.41","458,716"
03/28/2023,"..0.41","..0.41","..0.38","..0.41","644,415"
03/27/2023,"..0.42","..0.42","..0.40","..0.41","891,930"
03/23/2023,"..0.42","..0.42","..0.41","..0.42","103,772"
03/22/2023,"..0.41","..0.43","..0.35","..0.42","1,844,880"
03/21/2023,"..0.41","..0.43","..0.41","..0.41","472,757"
03/20/2023,"..0.41","..0.42","..0.41","..0.41","590,999"
03/16/2023,"..0.42","..0.43","..0.37","..0.40","1,362,670"
03/15/2023,"..0.46","..0.48","..0.40","..0.42","1,556,897"
03/14/2023,"..0.48","..0.47","..0.40","..0.46","1,023,942"
03/13/2023,"..0.48","..0.48","..0.42","..0.48","677,608"
03/09/2023,"..0.49","..0.49","..0.47","..0.48","1,376,844"
03/08/2023,"..0.49","..0.50","..0.48","..0.49","805,105"
03/07/2023,"..0.49","..0.50","..0.48","..0.49","2,003,589"
03/06/2023,"..0.49","..0.50","..0.48","..0.49","484,659"
03/02/2023,"..0.52","..0.52","..0.50","..0.51","656,309"
03/01/2023,"..0.52","..0.52","..0.50","..0.52","137,760"
02/28/2023,"..0.52","..0.52","..0.50","..0.52","482,861"
02/27/2023,"..0.53","..0.53","..0.51","..0.52","1,414,060"
02/23/2023,"..0.50","..0.51","..0.49","..0.50","1,562,782"
02/22/2023,"..0.51","..0.52","..0.49","..0.50","1,935,905"
02/21/2023,"..0.48","..0.52","..0.48","..0.51","4,180,604"
02/20/2023,"..0.49","..0.49","..0.48","..0.48","1,383,587"
02/16/2023,"..0.48","..0.49","..0.48","..0.48","2,129,166"
02/15/2023,"..0.47","..0.48","..0.47","..0.48","2,045,797"
02/14/2023,"..0.48","..0.48","..0.47","..0.47","1,754,901"
02/13/2023,"..0.48","..0.48","..0.47","..0.48","470,758"
02/09/2023,"..0.46","..0.47","..0.45","..0.47","853,048"
02/08/2023,"..0.45","..0.47","..0.45","..0.46","2,086,390"
02/07/2023,"..0.42","..0.46","..0.42","..0.45","1,298,987"
02/06/2023,"..0.42","..0.44","..0.42","..0.42","1,119,960"
02/02/2023,"..0.45","..0.46","..0.44","..0.44","1,113,041"
02/01/2023,"..0.46","..0.48","..0.44","..0.45","912,938"
01/31/2023,"..0.49","..0.50","..0.45","..0.46","3,213,242"
01/30/2023,"..0.51","..0.51","..0.49","..0.49","1,437,289"
01/25/2023,"..0.50","..0.51","..0.50","..0.51","871,395"
01/24/2023,"..0.51","..0.52","..0.50","..0.50","821,773"
01/23/2023,"..0.51","..0.52","..0.51","..0.51","763,138"
01/19/2023,"..0.51","..0.52","..0.51","..0.51","1,659,717"
01/18/2023,"..0.51","..0.52","..0.51","..0.51","2,772,720"
01/17/2023,"..0.51","..0.52","..0.50","..0.51","1,268,219"
01/16/2023,"..0.49","..0.52","..0.49","..0.51","1,236,811"
01/12/2023,"..0.52","..0.52","..0.50","..0.50","1,981,977"
01/11/2023,"..0.52","..0.53","..0.50","..0.52","991,846"
01/10/2023,"..0.54","..0.54","..0.52","..0.52","1,366,526"
01/09/2023,"..0.55","..0.56","..0.53","..0.54","1,599,015"
01/05/2023,"..0.55","..0.57","..0.54","..0.55","2,734,240"
01/04/2023,"..0.57","..0.57","..0.54","..0.55","4,507,718"
01/03/2023,"..0.55","..0.57","..0.55","..0.57","5,640,609"
01/02/2023,"..0.54","..0.55","..0.54","..0.55","2,021,001"
12/29/2022,"..0.54","..0.56","..0.53","..0.54","1,413,524"
12/28/2022,"..0.54","..0.55","..0.53","..0.54","1,851,037"
12/27/2022,"..0.52","..0.56","..0.52","..0.54","2,835,070"
12/26/2022,"..0.53","..0.53","..0.52","..0.52","2,248,671"
12/22/2022,"..0.57","..0.57","..0.55","..0.55","2,171,933"
12/21/2022,"..0.57","..0.58","..0.56","..0.57","3,120,680"
12/20/2022,"..0.58","..0.60","..0.57","..0.57","3,939,989"
12/19/2022,"..0.58","..0.59","..0.57","..0.58","1,476,275"
12/15/2022,"..0.60","..0.61","..0.57","..0.58","5,814,477"
