Date,Open,High,Low,Close,Volume
09/21/2023,"..4.14","..4.18","..4.07","..4.13","964,136"
09/20/2023,"..4.32","..4.35","..4.10","..4.14","1,361,557"
09/19/2023,"..4.33","..4.40","..4.31","..4.32","946,757"
09/18/2023,"..4.28","..4.34","..4.28","..4.33","645,192"
09/14/2023,"..4.32","..4.38","..4.30","..4.30","877,198"
09/13/2023,"..4.29","..4.34","..4.25","..4.32","664,125"
09/12/2023,"..4.34","..4.38","..4.27","..4.29","670,197"
09/11/2023,"..4.42","..4.51","..4.30","..4.34","1,630,354"
09/07/2023,"..4.56","..4.58","..4.47","..4.51","1,990,438"
09/06/2023,"..4.53","..4.70","..4.45","..4.56","4,524,162"
09/05/2023,"..4.38","..4.67","..4.39","..4.53","4,620,126"
09/04/2023,"..4.38","..4.41","..4.35","..4.38","312,889"
08/31/2023,"..4.34","..4.40","..4.32","..4.33","689,893"
08/30/2023,"..4.35","..4.40","..4.33","..4.34","726,081"
08/29/2023,"..4.35","..4.45","..4.32","..4.35","836,291"
08/28/2023,"..4.37","..4.43","..4.34","..4.35","1,121,845"
08/24/2023,"..4.40","..4.45","..4.30","..4.39","1,068,853"
08/23/2023,"..4.45","..4.66","..4.37","..4.40","7,419,374"
08/22/2023,"..4.44","..4.54","..4.43","..4.45","1,496,806"
08/21/2023,"..4.40","..4.53","..4.38","..4.44","1,385,540"
08/17/2023,"..4.34","..4.51","..4.34","..4.37","1,537,929"
08/16/2023,"..4.45","..4.56","..4.33","..4.34","2,688,730"
08/15/2023,"..4.28","..4.55","..4.30","..4.45","4,353,387"
08/14/2023,"..4.24","..4.30","..4.20","..4.28","886,828"
08/10/2023,"..4.25","..4.30","..4.16","..4.17","847,513"
08/09/2023,"..4.23","..4.33","..4.15","..4.25","616,910"
08/08/2023,"..4.30","..4.32","..4.20","..4.23","577,658"
08/07/2023,"..4.28","..4.38","..4.26","..4.30","745,279"
08/03/2023,"..4.13","..4.20","..4.11","..4.12","388,996"
08/02/2023,"..4.11","..4.18","..4.08","..4.13","379,643"
08/01/2023,"..4.13","..4.16","..4.10","..4.11","210,790"
07/31/2023,"..4.15","..4.21","..4.12","..4.13","284,008"
07/27/2023,"..4.09","..4.17","..4.10","..4.15","246,733"
07/26/2023,"..4.15","..4.18","..4.07","..4.09","231,358"
07/25/2023,"..4.21","..4.24","..4.12","..4.15","315,915"
07/24/2023,"..4.30","..4.33","..4.17","..4.21","740,281"
07/19/2023,"..4.24","..4.42","..4.26","..4.30","2,988,349"
07/18/2023,"..4.21","..4.30","..4.21","..4.24","1,007,492"
07/17/2023,"..4.20","..4.30","..4.19","..4.21","808,447"
07/13/2023,"..4.09","..4.17","..4.07","..4.13","527,269"
07/12/2023,"..4.08","..4.15","..4.04","..4.09","592,663"
07/11/2023,"..4.10","..4.18","..4.03","..4.08","702,260"
07/10/2023,"..4.01","..4.12","..3.95","..4.10","418,400"
07/06/2023,"..4.41","..4.43","..4.25","..4.26","382,371"
07/05/2023,"..4.37","..4.54","..4.40","..4.41","484,078"
07/04/2023,"..4.36","..4.50","..4.36","..4.37","483,702"
06/26/2023,"..4.33","..4.39","..4.26","..4.36","313,920"
06/22/2023,"..4.35","..4.43","..4.33","..4.37","576,588"
06/21/2023,"..4.49","..4.56","..4.34","..4.35","709,814"
06/20/2023,"..4.54","..4.59","..4.43","..4.49","682,685"
06/19/2023,"..4.66","..4.73","..4.31","..4.54","1,122,651"
06/15/2023,"..4.50","..4.68","..4.52","..4.56","1,193,193"
06/14/2023,"..4.55","..4.65","..4.46","..4.50","867,242"
06/13/2023,"..4.62","..4.67","..4.53","..4.55","746,699"
06/12/2023,"..4.59","..4.70","..4.57","..4.62","1,322,555"
06/08/2023,"..4.73","..4.84","..4.66","..4.71","943,533"
06/07/2023,"..4.85","..4.93","..4.72","..4.73","961,302"
06/06/2023,"..4.94","..5.05","..4.83","..4.85","1,605,543"
06/05/2023,"..4.89","..5.15","..4.94","..4.94","4,842,400"
06/01/2023,"..4.69","..4.81","..4.71","..4.79","1,421,941"
05/31/2023,"..4.82","..4.99","..4.66","..4.69","4,231,804"
05/30/2023,"..4.73","..4.84","..4.70","..4.82","2,816,128"
05/29/2023,"..4.56","..4.84","..4.60","..4.73","3,655,245"
05/25/2023,"..4.40","..4.55","..4.44","..4.45","1,071,503"
05/24/2023,"..4.32","..4.53","..4.38","..4.40","1,981,573"
05/23/2023,"..4.30","..4.38","..4.09","..4.32","1,098,626"
05/22/2023,"..4.36","..4.45","..4.27","..4.30","701,106"
05/18/2023,"..4.30","..4.38","..4.21","..4.31","917,144"
05/17/2023,"..4.47","..4.55","..4.26","..4.30","1,006,322"
05/16/2023,"..4.49","..4.55","..4.40","..4.47","2,285,471"
05/15/2023,"..4.65","..4.75","..4.45","..4.49","1,358,990"
05/11/2023,"..4.73","..4.80","..4.61","..4.62","1,593,084"
05/10/2023,"..4.67","..4.75","..4.62","..4.73","2,470,072"
05/09/2023,"..4.89","..4.93","..4.66","..4.67","2,992,816"
05/08/2023,"..4.66","..4.93","..4.70","..4.89","3,704,023"
05/03/2023,"..4.57","..4.66","..4.50","..4.56","2,491,956"
05/02/2023,"..4.44","..4.65","..4.40","..4.57","2,167,819"
05/01/2023,"..4.64","..4.70","..4.39","..4.44","2,042,116"
04/27/2023,"..4.72","..4.95","..4.75","..4.85","3,329,024"
04/26/2023,"..4.51","..4.84","..4.51","..4.72","2,902,340"
04/19/2023,"..4.54","..4.63","..4.50","..4.51","1,066,831"
04/18/2023,"..4.52","..4.60","..4.49","..4.54","1,503,040"
04/13/2023,"..4.54","..4.58","..4.48","..4.52","1,035,762"
04/12/2023,"..4.67","..4.75","..4.52","..4.54","1,918,142"
04/11/2023,"..4.41","..4.80","..4.40","..4.67","4,350,768"
04/10/2023,"..4.33","..4.44","..4.30","..4.41","1,539,325"
04/06/2023,"..4.52","..4.59","..4.39","..4.41","1,606,685"
04/05/2023,"..4.55","..4.68","..4.46","..4.52","2,848,215"
04/04/2023,"..4.33","..4.59","..4.36","..4.55","4,024,808"
04/03/2023,"..4.18","..4.39","..4.21","..4.33","3,949,477"
03/30/2023,"..4.26","..4.32","..4.10","..4.13","2,432,507"
03/29/2023,"..4.05","..4.35","..4.08","..4.26","3,504,636"
03/28/2023,"..4.06","..4.14","..3.97","..4.05","1,775,494"
