Date,Open,High,Low,Close,Volume
09/21/2023,"..14.97","..14.97","..14.50","..14.21","2,620"
09/20/2023,"..14.01","..14.50","..14.01","..14.21","4,174"
09/19/2023,"..14.99","..14.99","..14.25","..14.21","3,945"
09/18/2023,"..14.32","..14.99","..14.32","..14.21","1,649"
09/14/2023,"..14.60","..14.80","..14.60","..14.21","641"
09/13/2023,"..14.99","..15.63","..14.50","..14.21","1,490"
09/12/2023,"..15.60","..15.60","..14.12","..14.21","600"
09/11/2023,"..14.76","..15.59","..14.76","..14.21","1,824"
09/07/2023,"..13.76","..13.95","..13.76","..14.21","510"
09/06/2023,"..13.75","..13.80","..13.75","..14.21","1,005"
09/05/2023,"..13.60","..13.70","..13.60","..14.21","1,687"
09/04/2023,"..13.90","..14.35","..13.90","..14.21","2,500"
08/31/2023,"..13.56","..13.95","..13.22","..14.21","790"
08/30/2023,"..14.41","..15.40","..14.18","..14.21","12,253"
08/29/2023,"..14.30","..15.50","..14.19","..15.75","2,177"
08/28/2023,"..15.75","..15.75","..14.30","..15.75","313"
08/24/2023,"..17.60","..17.60","..15.85","..17.50","5,411"
08/23/2023,"..17.75","..17.77","..15.20","..17.50","9,927"
08/22/2023,"..14.70","..16.17","..14.70","..16.17","19,715"
08/21/2023,"..14.96","..15.99","..14.00","..14.70","10,996"
08/17/2023,"..13.60","..13.60","..13.60","..13.60","11,908"
08/16/2023,"..13.60","..13.60","..13.60","..12.37","9,090"
08/15/2023,"..12.37","..12.37","..12.37","..12.37","24,789"
08/14/2023,"..11.25","..11.25","..11.23","..11.25","30,756"
08/10/2023,"..8.46","..9.31","..8.46","..9.31","25,124"
08/09/2023,"..8.35","..8.47","..8.35","..8.47","7,000"
07/31/2023,"..7.70","..7.70","..7.70","..8.47","14"
07/18/2023,"..8.20","..8.20","..8.20","..8.47","700"
06/22/2023,"..8.35","..8.35","..8.35","..8.47","1,000"
06/19/2023,"..8.00","..8.02","..8.00","..8.47","215"
06/15/2023,"..8.01","..8.03","..8.01","..8.47","130"
06/13/2023,"..7.90","..7.90","..7.90","..8.47","554"
06/08/2023,"..8.20","..8.20","..8.20","..8.47","406"
