Date,Open,High,Low,Close,Volume
09/21/2023,"..0.96","..1.00","..0.96","..1.06","60,343"
09/20/2023,"..1.05","..1.05","..0.96","..1.06","41,249"
09/19/2023,"..1.00","..1.05","..0.99","..1.06","74,199"
09/18/2023,"..1.02","..1.03","..0.96","..1.06","53,720"
09/14/2023,"..1.00","..1.10","..1.00","..1.06","190,062"
09/13/2023,"..0.95","..1.01","..0.92","..1.00","682,413"
09/12/2023,"..0.94","..0.96","..0.89","..0.92","90,086"
09/11/2023,"..0.93","..0.96","..0.87","..0.92","114,036"
09/07/2023,"..0.93","..1.00","..0.86","..0.92","238,792"
09/06/2023,"..1.00","..1.00","..0.87","..0.92","229,086"
09/05/2023,"..1.04","..1.04","..0.93","..0.96","274,401"
09/04/2023,"..0.94","..0.94","..0.89","..0.94","177,877"
08/31/2023,"..0.94","..0.94","..0.87","..0.86","130,851"
08/30/2023,"..0.86","..0.94","..0.86","..0.86","43,904"
08/29/2023,"..0.86","..0.86","..0.81","..0.86","8,575"
08/28/2023,"..0.87","..0.91","..0.87","..0.86","35,000"
08/24/2023,"..0.81","..0.86","..0.81","..0.86","6,664"
08/23/2023,"..0.81","..0.93","..0.81","..0.86","7,371"
08/22/2023,"..0.92","..0.92","..0.80","..0.86","7,231"
08/21/2023,"..0.85","..0.94","..0.85","..0.86","18,130"
08/16/2023,"..0.80","..0.80","..0.79","..0.80","2,450"
08/10/2023,"..0.84","..0.87","..0.80","..0.80","68,971"
08/09/2023,"..0.86","..0.86","..0.86","..0.80","749"
08/03/2023,"..0.80","..0.80","..0.73","..0.80","14,000"
08/02/2023,"..0.82","..0.82","..0.82","..0.80","2,429"
07/27/2023,"..0.80","..0.83","..0.80","..0.80","2,786"
07/26/2023,"..0.83","..0.83","..0.83","..0.80","644"
07/24/2023,"..0.88","..0.88","..0.86","..0.80","15,246"
07/19/2023,"..0.80","..0.88","..0.80","..0.80","10,857"
07/18/2023,"..0.80","..0.88","..0.80","..0.80","64,330"
07/17/2023,"..0.87","..0.88","..0.87","..0.80","50,218"
07/13/2023,"..0.86","..0.88","..0.86","..0.80","16,135"
07/12/2023,"..0.73","..0.73","..0.73","..0.80","7"
07/06/2023,"..0.73","..0.73","..0.73","..0.80","105"
07/04/2023,"..0.86","..0.86","..0.86","..0.80","3,080"
06/26/2023,"..0.87","..0.87","..0.87","..0.80","2,660"
06/21/2023,"..0.86","..0.86","..0.77","..0.80","10,528"
06/19/2023,"..0.74","..0.87","..0.74","..0.80","4,858"
06/15/2023,"..0.87","..0.87","..0.87","..0.80","350"
06/14/2023,"..0.88","..0.88","..0.88","..0.80","7"
06/13/2023,"..0.73","..0.88","..0.72","..0.80","44,450"
06/08/2023,"..0.86","..0.87","..0.86","..0.80","35,175"
06/07/2023,"..0.77","..0.86","..0.77","..0.80","28"
06/06/2023,"..0.88","..0.88","..0.87","..0.80","9,450"
06/01/2023,"..0.87","..0.87","..0.87","..0.80","49"
05/31/2023,"..0.87","..0.87","..0.73","..0.80","30,884"
05/30/2023,"..0.86","..0.86","..0.86","..0.80","28"
05/29/2023,"..0.87","..0.87","..0.73","..0.80","37,240"
05/25/2023,"..0.80","..0.88","..0.80","..0.80","13,482"
05/24/2023,"..0.88","..0.88","..0.88","..0.80","91"
05/23/2023,"..0.88","..0.88","..0.79","..0.80","581"
05/22/2023,"..0.88","..0.88","..0.88","..0.80","140"
05/18/2023,"..0.88","..0.88","..0.88","..0.80","70"
05/17/2023,"..0.79","..0.79","..0.79","..0.80","4,277"
05/16/2023,"..0.79","..0.79","..0.79","..0.80","651"
05/11/2023,"..0.86","..0.86","..0.79","..0.80","2,107"
05/10/2023,"..0.86","..0.88","..0.86","..0.80","56,028"
05/08/2023,"..0.88","..0.88","..0.86","..0.80","77,007"
05/01/2023,"..0.80","..0.80","..0.77","..0.80","13,965"
04/26/2023,"..0.80","..0.80","..0.80","..0.80","77"
04/18/2023,"..0.80","..0.80","..0.80","..0.80","133"
04/12/2023,"..0.73","..0.81","..0.73","..0.80","53,879"
04/11/2023,"..0.72","..0.72","..0.72","..0.80","966"
04/04/2023,"..0.73","..0.80","..0.73","..0.80","469"
03/29/2023,"..0.73","..0.80","..0.73","..0.80","371"
03/28/2023,"..0.73","..0.73","..0.73","..0.80","14"
03/27/2023,"..0.73","..0.73","..0.73","..0.80","7"
03/22/2023,"..0.80","..0.80","..0.72","..0.80","8,428"
03/21/2023,"..0.80","..0.80","..0.80","..0.80","70"
03/16/2023,"..0.80","..0.80","..0.80","..0.80","7"
03/15/2023,"..0.72","..0.72","..0.72","..0.80","20,713"
03/14/2023,"..0.72","..0.80","..0.72","..0.80","13,342"
03/13/2023,"..0.74","..0.79","..0.72","..0.80","130,277"
03/09/2023,"..0.72","..0.88","..0.72","..0.80","216,090"
03/08/2023,"..0.72","..0.72","..0.72","..0.80","7,014"
03/07/2023,"..0.72","..0.72","..0.72","..0.80","14"
03/06/2023,"..0.72","..0.72","..0.72","..0.80","82,733"
03/01/2023,"..0.72","..0.72","..0.72","..0.80","79,485"
02/20/2023,"..0.72","..0.72","..0.72","..0.80","28"
02/16/2023,"..0.72","..0.72","..0.72","..0.80","42"
02/15/2023,"..0.72","..0.72","..0.72","..0.80","1,603"
02/14/2023,"..0.72","..0.72","..0.72","..0.80","6,902"
01/30/2023,"..0.72","..0.72","..0.72","..0.80","1,442"
01/25/2023,"..0.72","..0.72","..0.72","..0.80","5,404"
01/23/2023,"..0.72","..0.72","..0.72","..0.80","28"
01/17/2023,"..0.72","..0.72","..0.72","..0.80","7"
01/16/2023,"..0.72","..0.72","..0.72","..0.80","8,323"
01/10/2023,"..0.72","..0.72","..0.72","..0.80","70"
01/09/2023,"..0.72","..0.72","..0.72","..0.80","7"
01/03/2023,"..0.72","..0.72","..0.72","..0.80","2,779"
01/02/2023,"..0.72","..0.72","..0.72","..0.80","17,500"
12/29/2022,"..0.72","..0.72","..0.72","..0.80","7"
12/21/2022,"..0.72","..0.72","..0.72","..0.80","259"
12/15/2022,"..0.72","..0.72","..0.72","..0.80","32,648"
12/08/2022,"..0.72","..0.72","..0.72","..0.80","1,050"
12/07/2022,"..0.72","..0.72","..0.72","..0.80","70"
12/05/2022,"..0.72","..0.72","..0.72","..0.80","5,236"
12/01/2022,"..0.72","..0.72","..0.72","..0.80","2,436"
11/28/2022,"..0.72","..0.72","..0.72","..0.80","105"
11/21/2022,"..0.72","..0.72","..0.72","..0.80","1,036"
11/16/2022,"..0.72","..0.72","..0.72","..0.80","189"
11/07/2022,"..0.72","..0.72","..0.72","..0.80","35"
11/03/2022,"..0.72","..0.78","..0.72","..0.80","70,021"
11/02/2022,"..0.74","..0.74","..0.72","..0.80","420"
11/01/2022,"..0.79","..0.79","..0.72","..0.80","21,735"
10/31/2022,"..0.82","..0.82","..0.82","..0.80","140"
10/27/2022,"..0.79","..0.79","..0.72","..0.80","38,269"
10/25/2022,"..0.80","..0.80","..0.79","..0.80","147"
10/20/2022,"..0.73","..0.73","..0.73","..0.80","29,393"
10/19/2022,"..0.73","..0.73","..0.73","..0.80","70"
10/11/2022,"..0.72","..0.72","..0.72","..0.80","14,000"
10/05/2022,"..0.72","..0.72","..0.72","..0.80","105"
09/29/2022,"..0.76","..0.88","..0.72","..0.80","560"
09/28/2022,"..0.88","..0.88","..0.88","..0.80","35"
