Date,Open,High,Low,Close,Volume
09/21/2023,"..163.20","..191.63","..190.00","..163.20","65"
09/20/2023,"..163.20","..190.00","..184.60","..163.20","133"
09/19/2023,"..163.20","..189.00","..180.50","..163.20","75"
09/18/2023,"..163.20","..188.33","..187.50","..163.20","549"
09/14/2023,"..163.20","..190.50","..187.50","..163.20","1,205"
09/13/2023,"..163.20","..190.75","..188.05","..163.20","457"
09/12/2023,"..163.20","..192.00","..188.10","..163.20","478"
09/11/2023,"..163.20","..191.99","..191.49","..163.20","178"
09/06/2023,"..163.20","..194.00","..188.01","..163.20","525"
09/05/2023,"..185.00","..195.00","..185.00","..163.20","185"
09/04/2023,"..163.20","..195.84","..175.24","..163.20","995"
08/31/2023,"..163.20","..187.00","..173.00","..163.20","437"
08/30/2023,"..163.20","..181.40","..173.25","..163.20","371"
08/29/2023,"..163.20","..183.05","..174.00","..163.20","228"
08/23/2023,"..163.20","..177.50","..168.20","..163.20","18"
08/22/2023,"..163.20","..171.00","..171.00","..163.20","81"
08/21/2023,"..163.20","..174.23","..168.50","..163.20","124"
08/16/2023,"..163.20","..170.00","..169.50","..163.20","162"
08/15/2023,"..163.20","..168.00","..163.02","..163.20","94"
08/14/2023,"..163.20","..167.00","..160.15","..163.20","80"
08/10/2023,"..163.20","..165.00","..163.00","..163.20","31"
08/09/2023,"..163.20","..167.14","..162.50","..163.20","11"
08/08/2023,"..163.20","..163.20","..163.20","..163.20","50"
08/07/2023,"..163.20","..163.00","..160.00","..163.20","217"
08/03/2023,"..163.20","..163.00","..162.01","..163.20","47"
08/01/2023,"..163.20","..165.00","..162.00","..163.20","140"
07/31/2023,"..163.20","..162.47","..156.51","..163.20","443"
07/26/2023,"..163.20","..160.00","..157.00","..163.20","61"
07/25/2023,"..163.20","..162.00","..155.07","..163.20","102"
07/24/2023,"..163.20","..160.99","..160.99","..163.20","4"
07/19/2023,"..163.20","..157.10","..157.10","..163.20","129"
07/18/2023,"..163.20","..157.02","..157.00","..163.20","64"
07/17/2023,"..163.20","..162.48","..162.48","..163.20","8"
07/13/2023,"..163.20","..153.00","..152.06","..163.20","3"
07/12/2023,"..163.20","..163.16","..158.00","..163.20","420"
07/10/2023,"..163.20","..161.29","..147.00","..163.20","1,576"
07/06/2023,"..163.20","..152.58","..152.50","..163.20","342"
07/05/2023,"..163.20","..173.00","..152.54","..163.20","17"
07/04/2023,"..145.32","..174.37","..148.83","..163.20","2,199"
06/26/2023,"..145.32","..153.31","..153.31","..145.32","3"
06/22/2023,"..145.32","..153.50","..153.48","..145.32","39"
06/21/2023,"..145.32","..153.99","..148.56","..145.32","52"
06/20/2023,"..145.32","..158.00","..147.01","..145.32","600"
06/19/2023,"..145.32","..150.05","..147.90","..145.32","364"
06/15/2023,"..145.32","..159.90","..150.16","..145.32","366"
06/14/2023,"..145.32","..160.00","..157.99","..145.32","513"
06/13/2023,"..145.32","..155.00","..152.27","..145.32","501"
06/12/2023,"..145.32","..155.00","..155.00","..145.32","48"
06/08/2023,"..145.32","..152.50","..152.50","..145.32","1"
06/07/2023,"..145.32","..154.00","..154.00","..145.32","100"
06/05/2023,"..145.32","..159.50","..154.00","..145.32","307"
06/01/2023,"..145.32","..158.25","..158.00","..145.32","63"
05/31/2023,"..145.32","..159.96","..158.00","..145.32","502"
05/30/2023,"..145.32","..159.00","..156.03","..145.32","4"
05/29/2023,"..145.32","..159.49","..153.00","..145.32","427"
05/25/2023,"..145.32","..152.99","..150.00","..145.32","163"
05/24/2023,"..145.32","..148.03","..148.02","..145.32","93"
05/23/2023,"..145.32","..147.80","..147.65","..145.32","23"
05/22/2023,"..145.32","..157.00","..147.63","..145.32","3"
05/18/2023,"..145.32","..153.98","..153.93","..145.32","5"
05/17/2023,"..145.32","..154.01","..148.00","..145.32","442"
05/16/2023,"..145.32","..154.00","..147.50","..145.32","93"
05/15/2023,"..145.32","..154.70","..148.20","..145.32","53"
05/11/2023,"..145.32","..147.98","..145.40","..145.32","305"
05/10/2023,"..145.32","..145.55","..145.02","..145.32","625"
05/09/2023,"..145.32","..148.00","..146.00","..145.32","628"
05/08/2023,"..145.32","..144.65","..144.60","..145.32","500"
05/03/2023,"..145.32","..156.45","..145.75","..145.32","414"
05/02/2023,"..145.32","..159.49","..154.98","..145.32","417"
05/01/2023,"..145.32","..154.00","..149.45","..145.32","441"
04/27/2023,"..145.32","..149.75","..149.75","..145.32","6"
04/26/2023,"..145.32","..149.99","..141.30","..145.32","230"
04/19/2023,"..145.32","..145.01","..145.01","..145.32","36"
04/18/2023,"..145.32","..145.32","..141.24","..145.32","424"
04/06/2023,"..145.32","..143.81","..143.75","..145.32","271"
04/05/2023,"..145.32","..143.60","..141.03","..145.32","200"
04/04/2023,"..145.32","..148.00","..143.50","..145.32","69"
04/03/2023,"..145.32","..145.00","..144.99","..145.32","257"
03/30/2023,"..145.32","..144.88","..141.81","..145.32","179"
03/29/2023,"..145.32","..145.32","..142.03","..145.32","152"
03/27/2023,"..145.32","..142.05","..142.05","..145.32","500"
03/23/2023,"..145.32","..145.32","..141.63","..145.32","29"
03/21/2023,"..145.32","..146.60","..144.00","..145.32","60"
03/20/2023,"..145.32","..146.65","..141.61","..145.32","17"
03/16/2023,"..145.32","..143.48","..139.00","..145.32","121"
03/15/2023,"..145.32","..143.88","..139.06","..145.32","40"
03/14/2023,"..145.32","..143.98","..138.18","..145.32","614"
03/13/2023,"..145.32","..145.00","..140.07","..145.32","348"
03/09/2023,"..145.32","..148.87","..148.87","..145.32","1"
03/08/2023,"..145.32","..149.00","..145.00","..145.32","335"
03/07/2023,"..145.32","..147.00","..145.06","..145.32","285"
03/06/2023,"..145.32","..150.90","..150.00","..145.32","132"
03/02/2023,"..145.32","..154.80","..146.00","..145.32","38"
03/01/2023,"..145.32","..154.97","..139.01","..145.32","1,085"
02/28/2023,"..145.32","..145.05","..138.00","..145.32","641"
02/27/2023,"..145.32","..148.50","..145.15","..145.32","70"
02/23/2023,"..160.00","..150.98","..145.24","..160.00","271"
02/22/2023,"..160.00","..152.70","..146.50","..160.00","202"
02/21/2023,"..160.00","..154.81","..148.11","..160.00","338"
02/20/2023,"..160.00","..151.55","..151.00","..160.00","63"
02/16/2023,"..160.00","..155.80","..150.50","..160.00","321"
02/15/2023,"..160.00","..155.85","..150.04","..160.00","86"
02/14/2023,"..160.00","..154.00","..150.02","..160.00","71"
02/13/2023,"..160.00","..155.99","..145.11","..160.00","256"
02/09/2023,"..160.00","..156.50","..150.12","..160.00","23"
02/08/2023,"..160.00","..155.50","..150.07","..160.00","102"
02/07/2023,"..160.00","..155.00","..153.59","..160.00","330"
02/06/2023,"..160.00","..153.67","..140.00","..160.00","536"
02/02/2023,"..160.00","..156.86","..150.00","..160.00","1,179"
02/01/2023,"..160.00","..156.89","..150.00","..160.00","1,212"
01/31/2023,"..160.00","..156.98","..152.51","..160.00","53"
01/30/2023,"..160.00","..157.00","..155.00","..160.00","1,519"
01/25/2023,"..162.00","..157.85","..153.31","..162.00","150"
01/24/2023,"..162.00","..158.00","..153.30","..162.00","262"
01/23/2023,"..162.00","..157.98","..152.21","..162.00","32"
01/19/2023,"..162.00","..158.47","..150.25","..162.00","247"
01/18/2023,"..162.00","..159.99","..150.10","..162.00","253"
01/17/2023,"..162.00","..159.99","..157.02","..162.00","97"
01/16/2023,"..162.00","..159.99","..157.99","..162.00","259"
01/12/2023,"..162.00","..157.00","..150.01","..162.00","172"
01/11/2023,"..162.00","..161.13","..157.00","..162.00","186"
01/10/2023,"..162.00","..168.96","..161.11","..162.00","128"
01/09/2023,"..162.00","..165.00","..165.00","..162.00","21"
01/05/2023,"..135.00","..162.00","..162.00","..162.00","2,427"
01/04/2023,"..135.00","..162.00","..162.00","..135.00","476"
01/03/2023,"..135.00","..162.00","..162.00","..135.00","138"
01/02/2023,"..135.00","..162.00","..162.00","..135.00","117"
