Date,Open,High,Low,Close,Volume
09/21/2023,"..36.17","..36.95","..35.77","..36.17","7,754"
09/20/2023,"..37.09","..37.12","..35.75","..36.17","14,643"
09/19/2023,"..37.09","..37.07","..37.00","..37.09","4,356"
09/18/2023,"..37.33","..37.40","..37.00","..37.09","9,278"
09/14/2023,"..37.33","..37.50","..36.32","..37.33","460"
09/13/2023,"..35.94","..37.90","..36.99","..37.33","18,773"
09/12/2023,"..35.94","..36.50","..35.94","..35.94","4,677"
09/11/2023,"..36.84","..36.95","..35.65","..35.94","15,564"
09/07/2023,"..36.84","..36.51","..36.31","..36.84","2,215"
09/06/2023,"..38.04","..37.50","..36.25","..36.84","8,506"
09/05/2023,"..38.04","..38.00","..37.16","..38.04","7,123"
09/04/2023,"..37.30","..39.40","..37.01","..38.04","21,974"
08/31/2023,"..36.20","..36.84","..36.22","..36.20","6,718"
08/30/2023,"..36.20","..36.60","..36.10","..36.20","7,452"
08/29/2023,"..36.33","..37.34","..36.00","..36.20","43,202"
08/28/2023,"..36.33","..37.00","..35.64","..36.33","7,491"
08/24/2023,"..36.62","..37.00","..35.56","..36.62","5,407"
08/23/2023,"..35.84","..38.50","..36.00","..36.62","19,124"
08/22/2023,"..37.09","..37.03","..35.56","..35.84","22,641"
08/21/2023,"..37.53","..38.00","..36.55","..37.09","11,645"
08/17/2023,"..34.26","..40.25","..34.10","..37.65","108,171"
08/16/2023,"..34.26","..34.99","..34.15","..34.26","1,305"
08/15/2023,"..34.26","..34.60","..34.00","..34.26","4,424"
08/14/2023,"..34.26","..34.05","..34.05","..34.26","10"
08/10/2023,"..34.26","..34.00","..33.82","..34.26","3,129"
08/09/2023,"..34.26","..35.00","..33.75","..34.26","4,900"
08/08/2023,"..33.84","..35.75","..33.71","..34.26","34,385"
08/07/2023,"..33.84","..33.95","..33.52","..33.84","1,105"
08/03/2023,"..33.84","..33.99","..33.55","..33.84","1,495"
08/02/2023,"..33.84","..34.00","..33.60","..33.84","1,168"
08/01/2023,"..33.84","..34.34","..33.60","..33.84","1,379"
07/31/2023,"..33.84","..34.25","..33.75","..33.84","1,184"
07/27/2023,"..33.84","..34.20","..33.40","..33.84","6,509"
07/26/2023,"..33.84","..33.84","..33.36","..33.84","1,383"
07/25/2023,"..33.84","..34.32","..33.33","..33.84","2,800"
07/24/2023,"..33.84","..34.40","..33.45","..33.84","3,772"
07/19/2023,"..33.84","..34.55","..33.50","..33.84","4,439"
07/18/2023,"..33.84","..34.00","..33.41","..33.84","1,787"
07/17/2023,"..33.88","..34.35","..33.80","..33.84","14,659"
07/13/2023,"..35.26","..34.99","..33.50","..33.88","9,516"
07/12/2023,"..35.26","..35.26","..33.30","..35.26","6,110"
07/11/2023,"..35.26","..35.35","..34.01","..35.26","1,886"
07/10/2023,"..35.26","..34.80","..32.51","..35.26","439"
07/06/2023,"..35.26","..35.31","..34.55","..35.26","6,759"
07/05/2023,"..35.31","..35.84","..34.43","..35.26","16,885"
07/04/2023,"..35.31","..35.31","..34.50","..35.31","2,920"
06/26/2023,"..35.31","..35.31","..34.10","..35.31","2,095"
06/22/2023,"..35.31","..35.99","..35.00","..35.31","2,595"
06/21/2023,"..35.31","..36.00","..34.10","..35.31","8,140"
06/20/2023,"..35.31","..35.90","..34.95","..35.31","4,276"
06/19/2023,"..35.31","..35.47","..34.52","..35.31","6,832"
06/15/2023,"..35.31","..35.87","..35.03","..35.31","4,818"
06/14/2023,"..37.16","..35.85","..35.00","..35.31","11,558"
06/13/2023,"..37.16","..37.16","..35.50","..37.16","3,966"
06/08/2023,"..37.16","..37.16","..35.01","..37.16","5,103"
06/07/2023,"..37.16","..37.16","..35.02","..37.16","7,383"
06/06/2023,"..37.16","..36.00","..35.50","..37.16","6,673"
06/05/2023,"..37.16","..36.36","..35.50","..37.16","3,214"
06/01/2023,"..37.16","..37.00","..36.36","..37.16","4,334"
05/31/2023,"..37.16","..37.65","..36.34","..37.16","7,263"
05/30/2023,"..37.16","..37.60","..36.50","..37.16","6,756"
05/29/2023,"..35.97","..37.75","..35.46","..37.16","17,545"
05/25/2023,"..35.97","..36.00","..35.03","..35.97","6,040"
05/24/2023,"..35.94","..36.50","..34.77","..35.97","17,667"
05/23/2023,"..35.94","..34.93","..33.50","..35.94","5,244"
05/22/2023,"..35.94","..34.94","..34.20","..35.94","4,236"
05/18/2023,"..35.94","..34.03","..33.10","..35.94","1,000"
05/17/2023,"..35.94","..35.10","..34.27","..35.94","7,945"
05/16/2023,"..35.94","..34.55","..34.10","..35.94","4,850"
05/15/2023,"..35.94","..36.00","..34.50","..35.94","4,730"
05/11/2023,"..35.94","..36.19","..35.80","..35.94","3,525"
05/10/2023,"..36.92","..36.40","..35.76","..35.94","9,896"
05/09/2023,"..34.90","..37.70","..35.00","..36.92","31,305"
05/08/2023,"..36.08","..35.63","..34.79","..34.90","13,038"
05/03/2023,"..36.08","..35.50","..34.51","..36.08","2,410"
05/02/2023,"..36.08","..35.49","..34.00","..36.08","3,903"
05/01/2023,"..36.08","..35.90","..34.85","..36.08","4,672"
04/27/2023,"..36.55","..36.11","..35.01","..36.08","11,051"
04/26/2023,"..36.55","..36.62","..35.50","..36.55","5,954"
04/19/2023,"..36.55","..36.70","..36.00","..36.55","3,079"
04/18/2023,"..36.55","..37.38","..36.21","..36.55","7,336"
04/13/2023,"..36.73","..36.61","..36.41","..36.55","14,051"
04/12/2023,"..37.13","..37.79","..36.50","..36.73","8,261"
04/11/2023,"..37.13","..37.38","..36.43","..37.13","3,622"
04/10/2023,"..37.13","..36.83","..36.41","..37.13","5,117"
04/06/2023,"..37.13","..37.90","..36.52","..37.13","5,786"
04/05/2023,"..37.91","..39.00","..37.02","..37.13","24,528"
04/04/2023,"..36.35","..38.00","..36.40","..37.91","16,399"
04/03/2023,"..36.35","..37.40","..36.35","..36.35","6,235"
03/30/2023,"..35.61","..36.00","..34.73","..34.99","11,902"
03/29/2023,"..35.95","..36.80","..35.50","..35.61","8,903"
03/28/2023,"..36.17","..36.99","..35.66","..35.95","16,424"
03/27/2023,"..37.33","..37.50","..36.01","..36.17","21,351"
03/23/2023,"..36.91","..37.85","..36.21","..37.00","11,990"
03/22/2023,"..37.81","..38.90","..36.20","..36.91","19,166"
03/21/2023,"..37.27","..38.35","..37.50","..37.81","18,920"
03/20/2023,"..36.60","..37.90","..36.01","..37.27","15,864"
03/16/2023,"..36.26","..37.20","..34.60","..35.92","15,735"
03/15/2023,"..38.82","..41.46","..35.10","..36.26","62,098"
03/14/2023,"..37.52","..39.87","..35.41","..38.82","36,422"
03/13/2023,"..44.38","..45.10","..37.11","..37.52","86,322"
03/09/2023,"..44.84","..48.00","..44.60","..46.38","73,222"
03/08/2023,"..44.86","..46.00","..43.00","..44.84","41,159"
03/07/2023,"..43.72","..47.50","..44.00","..44.86","83,010"
03/06/2023,"..45.14","..46.05","..43.53","..43.72","31,786"
03/02/2023,"..44.16","..46.00","..43.20","..45.16","28,562"
03/01/2023,"..46.99","..48.79","..44.00","..44.16","55,531"
02/28/2023,"..44.30","..49.39","..45.00","..46.99","87,170"
02/27/2023,"..37.12","..44.30","..37.01","..44.30","125,775"
02/23/2023,"..36.97","..37.93","..36.33","..36.97","6,389"
02/22/2023,"..39.30","..39.44","..36.57","..36.97","24,908"
02/21/2023,"..39.90","..40.75","..39.00","..39.30","19,957"
02/20/2023,"..39.57","..42.00","..38.50","..39.90","51,573"
02/16/2023,"..36.10","..36.50","..35.00","..35.61","13,153"
02/15/2023,"..36.10","..36.97","..35.82","..36.10","6,797"
02/14/2023,"..36.10","..36.15","..35.55","..36.10","6,410"
02/13/2023,"..36.10","..36.65","..35.17","..36.10","6,118"
02/09/2023,"..36.21","..37.00","..35.55","..36.21","6,285"
02/08/2023,"..36.21","..36.70","..36.00","..36.21","3,044"
02/07/2023,"..36.02","..37.00","..36.00","..36.21","10,761"
02/06/2023,"..37.36","..36.89","..35.50","..36.02","9,281"
02/02/2023,"..38.06","..40.50","..37.00","..37.36","45,087"
02/01/2023,"..35.08","..38.80","..35.00","..38.06","50,789"
01/31/2023,"..36.66","..37.90","..34.20","..35.08","8,534"
01/30/2023,"..38.31","..38.49","..36.05","..36.66","19,290"
01/25/2023,"..38.22","..39.99","..39.00","..39.19","32,076"
01/24/2023,"..38.21","..40.00","..37.60","..38.22","27,009"
01/23/2023,"..40.70","..42.00","..37.51","..38.21","60,187"
01/19/2023,"..32.41","..34.98","..32.13","..34.85","37,860"
01/18/2023,"..33.00","..33.88","..32.05","..32.41","16,824"
01/17/2023,"..31.94","..33.02","..32.00","..33.00","20,554"
01/16/2023,"..31.94","..32.50","..31.54","..31.94","7,885"
01/12/2023,"..31.94","..31.87","..31.32","..31.94","2,219"
01/11/2023,"..32.27","..32.80","..31.82","..31.94","10,265"
01/10/2023,"..32.27","..32.75","..31.80","..32.27","4,520"
01/09/2023,"..32.53","..33.07","..32.10","..32.27","10,689"
01/05/2023,"..32.91","..33.77","..32.16","..32.53","14,670"
01/04/2023,"..34.16","..34.00","..32.70","..32.91","19,614"
01/03/2023,"..32.83","..35.50","..32.16","..34.16","83,485"
01/02/2023,"..32.83","..32.83","..32.00","..32.83","863"
12/29/2022,"..32.83","..32.83","..31.90","..32.83","5,929"
12/28/2022,"..32.83","..32.63","..32.00","..32.83","1,435"
12/27/2022,"..32.83","..32.70","..31.84","..32.83","1,986"
12/26/2022,"..32.83","..32.83","..31.50","..32.83","2,196"
12/22/2022,"..32.83","..32.99","..32.50","..32.83","4,972"
12/21/2022,"..31.90","..33.65","..31.70","..32.83","16,610"
12/20/2022,"..31.90","..32.24","..31.82","..31.90","5,801"
12/19/2022,"..33.30","..32.50","..31.82","..31.90","18,112"
12/15/2022,"..33.64","..34.00","..33.20","..33.30","16,975"
12/14/2022,"..33.87","..34.90","..33.00","..33.64","18,270"
12/13/2022,"..33.87","..33.57","..32.90","..33.87","6,885"
12/12/2022,"..33.87","..33.87","..32.32","..33.87","6,756"
12/08/2022,"..33.65","..34.50","..33.45","..33.87","15,499"
12/07/2022,"..33.94","..35.30","..33.56","..33.65","20,501"
12/06/2022,"..32.07","..35.50","..32.00","..33.94","66,077"
12/05/2022,"..32.78","..33.00","..32.01","..32.07","11,380"
12/01/2022,"..32.55","..33.00","..32.25","..32.55","5,416"
11/30/2022,"..32.55","..33.00","..32.25","..32.55","2,280"
11/29/2022,"..32.55","..32.75","..32.53","..32.55","5,310"
11/28/2022,"..33.77","..33.99","..32.51","..32.55","14,800"
11/24/2022,"..32.19","..33.50","..32.90","..32.96","13,829"
11/23/2022,"..32.19","..33.19","..32.60","..32.19","3,050"
11/22/2022,"..32.19","..33.49","..32.20","..32.19","2,331"
11/21/2022,"..32.34","..33.49","..32.16","..32.19","12,350"
11/17/2022,"..32.58","..33.46","..32.20","..32.94","9,950"
11/16/2022,"..32.58","..32.79","..32.00","..32.58","6,140"
11/15/2022,"..32.58","..33.40","..31.77","..32.58","4,461"
11/14/2022,"..33.98","..34.48","..32.51","..32.58","20,745"
11/10/2022,"..30.08","..31.44","..30.01","..30.08","4,224"
11/09/2022,"..32.00","..31.50","..29.22","..30.08","10,580"
11/08/2022,"..32.00","..32.00","..30.57","..32.00","2,328"
11/07/2022,"..32.00","..32.00","..30.36","..32.00","3,814"
11/03/2022,"..32.00","..32.00","..30.10","..32.00","939"
11/02/2022,"..32.00","..32.00","..30.81","..32.00","4,371"
11/01/2022,"..32.00","..32.00","..31.53","..32.00","1,070"
10/31/2022,"..32.00","..32.00","..31.00","..32.00","2,550"
10/27/2022,"..31.77","..32.82","..31.51","..32.00","9,643"
10/26/2022,"..31.77","..32.00","..31.12","..31.77","4,064"
