Date,Open,High,Low,Close,Volume
09/21/2023,"..1.95","..1.90","..1.85","..1.95","30,240"
09/20/2023,"..1.95","..1.89","..1.86","..1.95","37,030"
09/19/2023,"..1.95","..1.88","..1.87","..1.95","57,701"
09/18/2023,"..1.95","..1.93","..1.88","..1.95","33,034"
09/14/2023,"..1.95","..1.93","..1.86","..1.95","24,200"
09/13/2023,"..1.95","..1.93","..1.86","..1.95","31,106"
09/12/2023,"..1.95","..1.92","..1.86","..1.95","58,035"
09/11/2023,"..1.95","..1.93","..1.85","..1.95","30,667"
09/07/2023,"..1.95","..1.99","..1.94","..1.95","19,598"
09/06/2023,"..1.97","..1.99","..1.94","..1.95","165,329"
09/05/2023,"..2.02","..2.04","..1.95","..1.97","353,015"
09/04/2023,"..2.02","..2.05","..1.95","..2.02","144,832"
08/31/2023,"..2.00","..2.00","..1.96","..1.99","170,799"
08/30/2023,"..1.94","..2.04","..1.94","..2.00","410,647"
08/29/2023,"..1.91","..1.95","..1.92","..1.94","214,636"
08/28/2023,"..1.88","..1.95","..1.87","..1.91","168,287"
08/24/2023,"..1.88","..1.90","..1.85","..1.88","153,448"
08/23/2023,"..1.88","..1.89","..1.84","..1.88","60,582"
08/22/2023,"..1.85","..1.89","..1.86","..1.88","254,078"
08/21/2023,"..1.85","..1.88","..1.81","..1.85","126,722"
08/17/2023,"..1.79","..1.82","..1.77","..1.79","122,127"
08/16/2023,"..1.79","..1.79","..1.77","..1.79","117,350"
08/15/2023,"..1.79","..1.80","..1.77","..1.79","31,047"
08/14/2023,"..1.79","..1.79","..1.77","..1.79","32,492"
08/10/2023,"..1.79","..1.81","..1.77","..1.79","113,432"
08/09/2023,"..1.79","..1.82","..1.79","..1.79","38,553"
08/08/2023,"..1.79","..1.83","..1.78","..1.79","81,518"
08/07/2023,"..1.79","..1.85","..1.78","..1.79","216,397"
08/03/2023,"..1.86","..2.10","..1.77","..1.88","656,567"
08/02/2023,"..1.86","..1.80","..1.77","..1.86","27,704"
08/01/2023,"..1.86","..1.80","..1.77","..1.86","37,910"
07/31/2023,"..1.86","..1.82","..1.79","..1.86","2,579"
07/27/2023,"..1.86","..1.80","..1.79","..1.86","16,978"
07/26/2023,"..1.86","..1.82","..1.79","..1.86","75,312"
07/25/2023,"..1.86","..1.83","..1.77","..1.86","27,580"
07/24/2023,"..1.86","..1.83","..1.78","..1.86","42,654"
07/19/2023,"..1.86","..1.84","..1.78","..1.86","69,020"
07/18/2023,"..1.86","..1.83","..1.78","..1.86","51,094"
07/17/2023,"..1.86","..1.82","..1.78","..1.86","11,293"
07/13/2023,"..1.86","..1.80","..1.76","..1.86","52,046"
07/12/2023,"..1.86","..1.82","..1.76","..1.86","41,675"
07/11/2023,"..1.86","..1.80","..1.76","..1.86","73,926"
07/10/2023,"..1.86","..1.80","..1.75","..1.86","72,052"
07/06/2023,"..1.86","..1.85","..1.80","..1.86","33,593"
07/05/2023,"..1.86","..1.86","..1.83","..1.86","11,481"
07/04/2023,"..1.86","..1.87","..1.83","..1.86","79,596"
06/26/2023,"..1.86","..1.88","..1.82","..1.86","69,644"
06/22/2023,"..1.86","..1.87","..1.84","..1.86","131,450"
06/21/2023,"..1.91","..1.94","..1.84","..1.86","436,186"
06/20/2023,"..1.98","..2.00","..1.90","..1.91","1,289,216"
06/19/2023,"..2.00","..2.04","..1.95","..1.98","540,005"
06/15/2023,"..1.92","..1.95","..1.86","..1.93","267,667"
06/14/2023,"..1.92","..1.90","..1.85","..1.92","33,993"
06/13/2023,"..1.92","..1.91","..1.54","..1.92","133,189"
06/12/2023,"..1.92","..1.92","..1.89","..1.92","109,584"
06/08/2023,"..1.92","..1.93","..1.90","..1.92","15,340"
06/07/2023,"..1.92","..1.93","..1.87","..1.92","54,958"
06/06/2023,"..1.92","..1.94","..1.92","..1.92","26,686"
06/05/2023,"..1.91","..1.95","..1.92","..1.92","177,598"
06/01/2023,"..1.91","..1.97","..1.90","..1.91","37,291"
05/31/2023,"..1.97","..1.98","..1.91","..1.91","445,366"
05/30/2023,"..1.97","..1.98","..1.93","..1.97","38,308"
05/29/2023,"..1.97","..1.97","..1.94","..1.97","39,321"
05/25/2023,"..1.97","..1.97","..1.93","..1.97","30,858"
05/24/2023,"..1.97","..1.97","..1.91","..1.97","151,054"
05/23/2023,"..1.97","..2.00","..1.91","..1.97","61,844"
05/22/2023,"..1.96","..2.00","..1.90","..1.97","185,739"
05/18/2023,"..1.96","..1.93","..1.87","..1.96","23,869"
05/17/2023,"..1.96","..1.95","..1.87","..1.96","80,855"
05/16/2023,"..1.96","..1.99","..1.90","..1.96","106,220"
05/15/2023,"..1.96","..2.01","..1.92","..1.96","322,799"
05/11/2023,"..1.98","..2.00","..1.92","..1.96","299,321"
05/10/2023,"..1.98","..2.00","..1.93","..1.98","114,050"
05/09/2023,"..1.98","..2.03","..1.93","..1.98","76,088"
05/08/2023,"..1.98","..2.02","..1.97","..1.98","102,333"
05/03/2023,"..2.16","..2.19","..2.05","..2.06","377,739"
05/02/2023,"..2.10","..2.22","..2.05","..2.16","244,130"
05/01/2023,"..2.10","..2.16","..2.02","..2.10","314,270"
04/27/2023,"..2.00","..2.05","..1.92","..2.05","242,253"
04/26/2023,"..2.00","..1.96","..1.93","..2.00","32,295"
04/19/2023,"..2.00","..2.04","..1.85","..2.00","94,237"
04/18/2023,"..2.00","..1.99","..1.95","..2.00","19,230"
04/13/2023,"..2.00","..2.00","..1.93","..2.00","14,068"
04/12/2023,"..1.97","..2.09","..1.93","..2.00","214,671"
04/11/2023,"..1.81","..2.02","..1.84","..1.97","225,524"
04/10/2023,"..1.81","..1.94","..1.83","..1.81","19,323"
04/06/2023,"..1.81","..1.90","..1.85","..1.81","100,592"
04/05/2023,"..1.81","..1.88","..1.81","..1.81","73,510"
04/04/2023,"..1.81","..1.84","..1.78","..1.81","78,836"
04/03/2023,"..1.73","..1.84","..1.72","..1.81","172,893"
03/30/2023,"..1.73","..1.80","..1.73","..1.73","77,350"
03/29/2023,"..1.73","..1.79","..1.71","..1.73","46,453"
03/28/2023,"..1.72","..1.81","..1.70","..1.73","195,471"
03/27/2023,"..1.72","..1.81","..1.76","..1.72","130,762"
03/23/2023,"..1.86","..1.79","..1.62","..1.72","286,505"
03/22/2023,"..1.86","..1.73","..1.71","..1.86","25,261"
03/21/2023,"..1.86","..1.83","..1.71","..1.86","66,567"
03/20/2023,"..1.86","..1.75","..1.63","..1.86","34,007"
03/16/2023,"..1.86","..1.70","..1.60","..1.86","41,185"
03/15/2023,"..1.86","..1.76","..1.65","..1.86","48,382"
03/14/2023,"..1.86","..1.85","..1.62","..1.86","41,533"
03/13/2023,"..1.86","..1.82","..1.68","..1.86","38,522"
03/09/2023,"..1.86","..1.86","..1.76","..1.86","5,511"
03/08/2023,"..1.86","..1.79","..1.76","..1.86","7,884"
03/07/2023,"..1.86","..1.82","..1.79","..1.86","24,625"
03/06/2023,"..1.86","..1.84","..1.80","..1.86","30,846"
03/02/2023,"..1.86","..1.83","..1.81","..1.86","4,420"
03/01/2023,"..1.86","..1.86","..1.78","..1.86","68,941"
02/28/2023,"..1.86","..1.86","..1.80","..1.86","27,333"
02/27/2023,"..1.86","..1.86","..1.77","..1.86","20,807"
02/23/2023,"..1.86","..1.85","..1.78","..1.86","25,757"
02/22/2023,"..1.86","..1.85","..1.78","..1.86","19,467"
02/21/2023,"..1.86","..1.84","..1.72","..1.86","29,678"
02/20/2023,"..1.86","..1.87","..1.82","..1.86","27,856"
02/16/2023,"..1.86","..1.89","..1.81","..1.86","8,818"
02/15/2023,"..1.86","..1.88","..1.85","..1.86","88,796"
02/14/2023,"..1.86","..1.87","..1.76","..1.86","28,027"
02/13/2023,"..1.86","..1.86","..1.76","..1.86","107,389"
02/09/2023,"..1.86","..1.80","..1.72","..1.86","46,938"
02/08/2023,"..1.86","..1.78","..1.74","..1.86","5,621"
02/07/2023,"..1.86","..1.78","..1.74","..1.86","60,207"
02/06/2023,"..1.86","..1.78","..1.70","..1.86","32,319"
02/02/2023,"..1.86","..1.86","..1.75","..1.86","55,166"
02/01/2023,"..1.86","..1.82","..1.73","..1.86","100,302"
01/31/2023,"..1.86","..1.86","..1.80","..1.86","34,006"
01/30/2023,"..1.86","..1.90","..1.82","..1.86","44,015"
01/25/2023,"..1.86","..1.90","..1.84","..1.86","73,771"
01/24/2023,"..1.86","..1.89","..1.85","..1.86","27,838"
