Date,Open,High,Low,Close,Volume
09/21/2023,"..5.70","..5.76","..5.66","..5.68","2,793,031"
09/20/2023,"..5.88","..5.98","..5.67","..5.70","2,220,353"
09/19/2023,"..5.96","..6.07","..5.88","..5.88","3,252,860"
09/18/2023,"..5.86","..6.02","..5.84","..5.96","4,131,788"
09/14/2023,"..5.72","..5.88","..5.73","..5.81","3,235,257"
09/13/2023,"..5.66","..5.74","..5.65","..5.72","1,939,079"
09/12/2023,"..5.79","..5.82","..5.64","..5.66","2,611,308"
09/11/2023,"..5.87","..5.90","..5.79","..5.79","2,277,173"
09/07/2023,"..5.86","..5.92","..5.78","..5.86","4,324,273"
09/06/2023,"..6.04","..6.18","..5.80","..5.86","15,600,160"
09/05/2023,"..6.11","..6.20","..6.03","..6.04","2,740,538"
09/04/2023,"..6.12","..6.20","..6.08","..6.11","2,487,893"
08/31/2023,"..6.04","..6.16","..5.98","..6.04","4,122,994"
08/30/2023,"..6.19","..6.24","..5.96","..6.04","3,934,798"
08/29/2023,"..6.26","..6.35","..6.15","..6.19","4,727,354"
08/28/2023,"..6.46","..6.56","..6.26","..6.26","6,678,568"
08/24/2023,"..6.40","..6.47","..6.23","..6.33","9,029,263"
08/23/2023,"..6.37","..6.65","..6.28","..6.40","28,289,670"
08/22/2023,"..5.93","..6.37","..5.95","..6.37","14,106,260"
08/21/2023,"..5.82","..6.05","..5.84","..5.93","7,932,911"
08/17/2023,"..5.81","..5.89","..5.75","..5.78","4,261,345"
08/16/2023,"..5.95","..6.07","..5.81","..5.81","8,072,687"
08/15/2023,"..5.85","..6.12","..5.89","..5.95","15,801,160"
08/14/2023,"..5.65","..6.07","..5.68","..5.85","19,334,180"
08/10/2023,"..5.46","..5.50","..5.41","..5.48","13,814,650"
08/09/2023,"..5.52","..5.56","..5.45","..5.46","1,069,448"
08/08/2023,"..5.53","..5.59","..5.49","..5.52","1,108,362"
08/07/2023,"..5.55","..5.60","..5.50","..5.53","857,299"
08/03/2023,"..5.45","..5.49","..5.41","..5.44","527,155"
08/02/2023,"..5.56","..5.60","..5.42","..5.45","1,473,503"
08/01/2023,"..5.59","..5.67","..5.55","..5.56","752,839"
07/31/2023,"..5.56","..5.74","..5.56","..5.59","2,915,530"
07/27/2023,"..5.48","..5.65","..5.40","..5.61","1,442,487"
07/26/2023,"..5.51","..5.50","..5.40","..5.48","871,058"
07/25/2023,"..5.62","..5.66","..5.50","..5.51","1,244,213"
